"Agency.Name","Murder","Rape","Robbery","Agg.Assault","Burglary","Larceny","MVT","Arson","Month","Year","State"
"Glendale PD",1,10,14,79,63,485,72,1,5,2022,"Arizona"
"Goodyear PD",1,2,4,3,35,105,19,1,5,2022,"Arizona"
"Mesa PD",1,21,43,136,114,655,104,2,5,2022,"Arizona"
"Queen Creek Police Department",0,0,0,6,8,63,3,0,5,2022,"Arizona"
"Peoria PD",1,1,3,27,31,226,24,1,5,2022,"Arizona"
"Phoenix PD",22,75,295,904,530,NA,632,28,5,2022,"Arizona"
"Scottsdale PD",0,7,3,27,64,428,32,0,5,2022,"Arizona"
"Surprise PD",0,1,0,11,22,182,12,4,5,2022,"Arizona"
"Tempe PD",1,13,10,71,72,559,70,0,5,2022,"Arizona"
"Lake Havasu City PD",0,6,0,6,6,58,10,0,5,2022,"Arizona"
"Tucson PD",0,0,0,0,0,0,0,0,5,2022,"Arizona"
"Marana PD",0,0,2,2,8,108,1,2,5,2022,"Arizona"
"Casa Grande PD",0,2,5,38,27,107,24,1,5,2022,"Arizona"
"Maricopa PD",0,1,2,14,2,45,3,0,5,2022,"Arizona"
"Yuma PD",1,3,1,41,39,61,19,3,5,2022,"Arizona"
"Flagstaff PD",2,4,3,32,20,109,15,2,6,2022,"Arizona"
"Avondale PD",0,3,9,26,24,149,24,0,6,2022,"Arizona"
"Buckeye PD",0,9,0,11,7,110,9,0,6,2022,"Arizona"
"Chandler PD",0,10,5,34,38,376,37,2,6,2022,"Arizona"
"Gilbert PD",1,6,2,23,30,185,17,1,6,2022,"Arizona"
"Glendale PD",1,20,13,85,87,353,88,3,6,2022,"Arizona"
"Goodyear PD",1,0,2,6,25,144,9,1,6,2022,"Arizona"
"Mesa PD",3,25,20,152,83,594,99,3,6,2022,"Arizona"
"Queen Creek Police Department",0,1,0,5,6,34,1,0,6,2022,"Arizona"
"Peoria PD",0,9,3,19,16,171,13,0,6,2022,"Arizona"
"Phoenix PD",16,84,271,820,528,NA,595,15,6,2022,"Arizona"
"Scottsdale PD",0,7,5,23,40,369,34,1,6,2022,"Arizona"
"Surprise PD",0,2,4,9,8,142,11,2,6,2022,"Arizona"
"Tempe PD",0,11,9,52,97,531,69,1,6,2022,"Arizona"
"Lake Havasu City PD",0,7,1,15,10,47,2,0,6,2022,"Arizona"
"Tucson PD",0,0,0,0,0,0,0,0,6,2022,"Arizona"
