"Agency.Name","Murder","Rape","Robbery","Agg.Assault","Burglary","Larceny","MVT","Arson","Month","Year","State"
"PANOLA CO SO",0,0,0,1,5,16,1,0,1,2022,"Texas"
"SULPHUR SPRINGS PD",0,1,0,2,2,7,0,0,1,2022,"Texas"
"HUMBLE PD",0,5,7,7,16,93,12,1,1,2022,"Texas"
"MOUNT PLEASANT PD",0,1,1,0,5,15,7,0,1,2022,"Texas"
"BUDA PD",0,0,1,2,0,40,7,0,1,2022,"Texas"
"HIGHLAND VILLAGE PD",0,0,0,0,0,9,1,0,1,2022,"Texas"
"PALMVIEW PD",0,1,0,2,4,3,1,0,1,2022,"Texas"
"LIVE OAK PD",0,0,1,1,1,31,8,0,1,2022,"Texas"
"RIO GRANDE CITY PD",0,0,0,1,8,9,2,0,1,2022,"Texas"
"CANYON PD",0,0,0,1,4,10,0,0,1,2022,"Texas"
"SOUTH HOUSTON PD",0,0,5,4,4,19,10,0,1,2022,"Texas"
"UVALDE PD",0,2,1,4,11,27,3,1,1,2022,"Texas"
"TITUS CO SO",0,0,0,1,4,4,2,2,1,2022,"Texas"
"BROWN CO SO",0,0,0,1,1,2,0,0,1,2022,"Texas"
"LOCKHART PD",0,0,0,1,1,3,1,0,1,2022,"Texas"
"MINERAL WELLS PD",0,1,0,0,6,23,6,1,1,2022,"Texas"
"LLANO CO SO",0,1,0,1,4,14,3,1,1,2022,"Texas"
"MANVEL PD",0,0,0,1,1,5,1,0,1,2022,"Texas"
"HEREFORD PD",0,0,1,3,3,13,1,1,1,2022,"Texas"
"HOUSTON CO SO",0,0,0,0,0,3,1,0,1,2022,"Texas"
"WEST UNIVERSITY PLACE PD",0,0,0,0,0,9,3,0,1,2022,"Texas"
"HIDALGO PD",0,0,0,0,5,9,2,0,1,2022,"Texas"
"MATAGORDA CO SO",1,0,1,3,15,19,0,0,1,2022,"Texas"
"PALO PINTO CO SO",0,1,0,0,0,2,1,0,1,2022,"Texas"
"JACKSONVILLE PD",0,2,0,5,6,21,4,1,1,2022,"Texas"
"DUMAS PD",0,1,0,1,5,23,2,0,1,2022,"Texas"
"ZAPATA CO SO",0,0,0,0,1,2,0,0,1,2022,"Texas"
"LUMBERTON PD",0,0,0,2,1,10,1,0,1,2022,"Texas"
"TROPHY CLUB PD",0,1,0,0,0,13,0,0,1,2022,"Texas"
"FOREST HILL PD",4,0,3,2,5,17,5,0,1,2022,"Texas"
"AZLE PD",0,1,0,3,7,19,2,0,1,2022,"Texas"
"BEEVILLE PD",0,0,1,2,5,37,2,0,1,2022,"Texas"
"HENDERSON PD",0,0,2,2,0,8,9,0,1,2022,"Texas"
"SEABROOK PD",0,3,0,2,0,11,0,0,1,2022,"Texas"
"MILAM CO SO",0,0,0,0,1,1,2,0,1,2022,"Texas"
"KILGORE PD",0,1,0,2,8,14,1,0,1,2022,"Texas"
"VAL VERDE CO SO",0,1,0,2,3,12,2,0,1,2022,"Texas"
"TOMBALL PD",0,1,2,4,1,23,4,0,1,2022,"Texas"
"PORT NECHES PD",0,1,0,0,0,7,1,0,1,2022,"Texas"
"ANDREWS PD",0,1,0,2,6,14,1,0,1,2022,"Texas"
"LEON CO SO",0,0,0,1,7,13,1,0,1,2022,"Texas"
"ATHENS PD",0,1,0,3,3,18,3,1,1,2022,"Texas"
"BURLESON CO SO",0,0,0,1,2,2,0,0,1,2022,"Texas"
"GAINES CO SO",0,0,0,0,0,5,3,0,1,2022,"Texas"
"ROBINSON PD",0,3,0,2,2,1,1,0,1,2022,"Texas"
"RICHMOND PD",0,0,1,1,7,10,2,0,1,2022,"Texas"
"SANTA FE PD",0,3,0,1,2,4,1,0,1,2022,"Texas"
"FREESTONE CO SO",0,1,0,2,4,8,2,0,1,2022,"Texas"
"BOSQUE CO SO",0,1,0,1,2,2,1,0,1,2022,"Texas"
"LEVELLAND PD",0,0,0,13,11,14,1,0,1,2022,"Texas"
"PECOS PD",0,1,1,2,1,10,0,0,1,2022,"Texas"
"BORGER PD",0,0,0,3,2,3,0,0,1,2022,"Texas"
"LAMPASAS CO SO",0,0,0,0,2,3,1,0,1,2022,"Texas"
"ARANSAS CO SO",0,0,0,4,4,8,1,0,1,2022,"Texas"
"EL CAMPO PD",0,1,0,2,4,44,6,0,1,2022,"Texas"
"GRANBURY PD",0,1,0,0,5,36,0,0,1,2022,"Texas"
"WEBSTER PD",0,1,0,4,14,53,16,0,1,2022,"Texas"
"SELMA PD",0,0,0,0,4,30,3,0,1,2022,"Texas"
"LIMESTONE CO SO",0,1,0,1,3,10,0,0,1,2022,"Texas"
"TRINITY CO SO",0,0,0,2,3,3,0,0,1,2022,"Texas"
"COLORADO CO SO",0,1,0,0,2,3,0,0,1,2022,"Texas"
"LEE CO SO",0,0,0,1,2,2,2,0,1,2022,"Texas"
"ROMA PD",0,1,0,4,1,3,1,0,1,2022,"Texas"
"RAINS CO SO",0,0,0,2,0,5,0,0,1,2022,"Texas"
"LEON VALLEY PD",0,0,3,2,8,53,11,0,1,2022,"Texas"
"FREDERICKSBURG PD",0,0,0,1,2,6,0,0,1,2022,"Texas"
"MONTAGUE CO SO",0,1,0,1,5,7,0,0,1,2022,"Texas"
"ELGIN PD",0,1,0,0,3,9,1,0,1,2022,"Texas"
"SNYDER PD",0,0,0,16,8,9,0,0,1,2022,"Texas"
"LAVACA CO SO",0,1,1,0,1,0,0,0,1,2022,"Texas"
"FAIR OAKS RANCH PD",0,0,0,0,0,13,0,0,1,2022,"Texas"
"BASTROP PD",0,1,0,3,1,22,4,0,1,2022,"Texas"
"BURKBURNETT PD",0,0,0,1,0,8,1,0,1,2022,"Texas"
"IOWA COLONY PD",0,0,0,1,2,5,3,0,1,2022,"Texas"
"PORT LAVACA PD",0,0,0,2,3,7,1,0,1,2022,"Texas"
"MEMORIAL VILLAGES PD",0,0,0,0,0,8,1,0,1,2022,"Texas"
"PLEASANTON PD",0,0,0,0,3,16,1,0,1,2022,"Texas"
"FAIRVIEW PD",0,0,0,0,0,4,0,0,1,2022,"Texas"
"ROCKPORT PD",0,1,1,2,8,28,3,0,1,2022,"Texas"
"HEATH PD",0,1,0,0,1,8,0,0,1,2022,"Texas"
"BELLMEAD PD",0,1,1,2,5,23,4,0,1,2022,"Texas"
"CLUTE PD",0,2,1,0,12,10,4,0,1,2022,"Texas"
"RAYMONDVILLE PD",0,0,0,4,2,16,0,0,1,2022,"Texas"
"FREEPORT PD",0,0,2,3,3,10,0,0,1,2022,"Texas"
"SWEETWATER PD",0,0,1,2,5,5,4,0,1,2022,"Texas"
"NEWTON CO SO",0,0,0,3,1,2,0,0,1,2022,"Texas"
"CLAY CO SO",0,1,0,0,0,0,0,0,1,2022,"Texas"
"GALENA PARK PD",0,0,0,0,4,4,2,0,1,2022,"Texas"
"INGLESIDE PD",0,0,0,3,2,6,2,0,1,2022,"Texas"
"ROBSTOWN PD",0,0,0,1,5,19,1,0,1,2022,"Texas"
"SAN ELIZARIO MARSHALS OFFICE",0,0,0,1,1,0,0,0,1,2022,"Texas"
"ROANOKE PD",0,0,1,0,1,10,2,0,1,2022,"Texas"
"VERNON PD",0,0,0,3,0,5,1,0,1,2022,"Texas"
"SANGER PD",0,0,0,0,0,10,2,0,1,2022,"Texas"
"SOMERVELL CO SO",0,0,0,0,5,1,0,1,1,2022,"Texas"
"VIDOR PD",0,2,0,1,4,14,2,0,1,2022,"Texas"
"LAGO VISTA PD",0,0,0,0,0,4,0,1,1,2022,"Texas"
"WOODWAY PD",0,0,0,0,0,3,0,0,1,2022,"Texas"
"BRIDGE CITY PD",0,0,0,1,2,6,1,0,1,2022,"Texas"
"DAYTON PD",0,0,0,1,3,6,1,0,1,2022,"Texas"
"MADISON CO SO",0,0,0,1,0,0,0,0,1,2022,"Texas"
"HELOTES PD",0,0,0,0,2,8,0,0,1,2022,"Texas"
"JACINTO CITY PD",0,0,0,0,4,28,4,0,1,2022,"Texas"
"WHITEHOUSE PD",0,0,0,0,0,5,1,0,1,2022,"Texas"
"ROBERTSON CO SO",0,0,0,1,1,6,1,0,1,2022,"Texas"
"CALLAHAN CO SO",0,0,0,0,0,0,0,0,1,2022,"Texas"
"WEBB CO SO",0,2,0,5,3,6,3,0,1,2022,"Texas"
"MONT BELVIEU PD",0,0,0,0,0,9,5,0,1,2022,"Texas"
"GONZALES CO SO",1,0,0,2,2,1,0,0,1,2022,"Texas"
"BROWNFIELD PD",0,0,1,1,2,5,1,0,1,2022,"Texas"
"COMMERCE PD",0,1,0,1,0,7,2,0,1,2022,"Texas"
"BEE CAVE PD",0,0,0,0,0,0,0,0,1,2022,"Texas"
"GRAHAM PD",0,0,0,0,1,7,3,0,1,2022,"Texas"
"LIBERTY PD",0,0,0,1,3,14,3,0,1,2022,"Texas"
"BLANCO CO SO",0,0,0,2,2,6,3,0,1,2022,"Texas"
"HIGHLAND PARK PD",0,0,1,0,1,8,0,0,1,2022,"Texas"
"LAMESA PD",0,0,0,2,1,14,3,1,1,2022,"Texas"
"WHARTON PD",0,1,0,0,2,17,3,0,1,2022,"Texas"
"HONDO PD",0,0,1,2,2,12,5,0,1,2022,"Texas"
"NORTHLAKE PD",0,0,0,0,1,6,1,0,1,2022,"Texas"
"NAVASOTA PD",1,0,0,1,3,12,2,0,1,2022,"Texas"
"CAMP CO SO",0,1,0,1,2,3,0,0,1,2022,"Texas"
"HOWARD CO SO",0,0,0,3,3,13,2,0,1,2022,"Texas"
"KENNEDALE PD",0,0,0,0,5,6,0,0,1,2022,"Texas"
"FORT STOCKTON PD",0,0,0,1,0,2,4,1,1,2022,"Texas"
"DALHART PD",0,1,0,3,0,5,1,0,1,2022,"Texas"
"HILLSBORO PD",0,0,0,0,1,7,3,0,1,2022,"Texas"
"RICHLAND HILLS PD",0,0,0,4,3,7,1,0,1,2022,"Texas"
"SUNNYVALE PD",0,0,0,0,1,14,5,0,1,2022,"Texas"
"SABINE CO SO",0,0,0,0,1,3,0,0,1,2022,"Texas"
"CUERO PD",0,0,0,4,0,9,1,0,1,2022,"Texas"
"JOSHUA PD",0,3,0,0,0,1,0,0,1,2022,"Texas"
"UVALDE CO SO",0,1,0,1,3,2,2,0,1,2022,"Texas"
"LOS FRESNOS PD",0,0,0,1,0,8,0,0,1,2022,"Texas"
"PERRYTON PD",0,1,0,5,1,10,0,0,1,2022,"Texas"
"WICHITA CO SO",0,0,0,0,2,3,0,0,1,2022,"Texas"
"KIRBY PD",0,0,0,11,1,4,5,0,1,2022,"Texas"
"ARANSAS PASS PD",0,2,1,0,6,7,3,0,1,2022,"Texas"
"KARNES CO SO",0,0,0,1,2,6,1,0,1,2022,"Texas"
"DEWITT CO SO",0,0,0,0,1,0,0,0,1,2022,"Texas"
"FLORESVILLE PD",0,2,0,0,5,4,3,0,1,2022,"Texas"
"HOCKLEY CO SO",0,0,0,1,3,4,1,0,1,2022,"Texas"
"AUBREY PD",0,0,0,1,2,2,0,0,1,2022,"Texas"
"VENUS PD",0,1,0,4,0,0,0,0,1,2022,"Texas"
"KAUFMAN PD",0,0,0,1,0,1,1,0,1,2022,"Texas"
"MARION CO SO",0,0,0,5,1,5,0,0,1,2022,"Texas"
"RED RIVER CO SO",0,1,0,0,2,3,3,0,1,2022,"Texas"
"LAKE DALLAS PD",0,0,0,1,0,1,1,0,1,2022,"Texas"
"LAMPASAS PD",0,0,0,3,1,5,0,0,1,2022,"Texas"
"JASPER PD",0,0,0,2,2,16,3,0,1,2022,"Texas"
"PEARSALL PD",0,0,0,1,4,2,2,1,1,2022,"Texas"
"WILLACY CO SO",0,0,0,1,3,5,0,1,1,2022,"Texas"
"JERSEY VILLAGE PD",0,0,0,3,2,34,14,0,1,2022,"Texas"
"HITCHCOCK PD",0,0,0,0,2,4,4,1,1,2022,"Texas"
"COMANCHE CO SO",0,0,0,0,0,4,0,0,1,2022,"Texas"
"RIVER OAKS PD",0,1,0,4,1,9,2,0,1,2022,"Texas"
"ALAMO HEIGHTS PD",0,0,0,2,2,20,1,0,1,2022,"Texas"
"MARBLE FALLS PD",0,1,0,6,3,8,1,0,1,2022,"Texas"
"GOLIAD CO SO",0,0,0,1,1,6,2,0,1,2022,"Texas"
"JACKSON CO SO",0,0,0,1,3,2,3,0,1,2022,"Texas"
"FRANKLIN CO SO",0,0,0,0,0,1,0,0,1,2022,"Texas"
"MONAHANS PD",0,0,0,0,1,1,2,0,1,2022,"Texas"
"DECATUR PD",0,0,0,2,2,23,0,1,1,2022,"Texas"
"LACY LAKEVIEW PD",0,0,0,0,1,10,4,0,1,2022,"Texas"
"GONZALES PD",0,2,0,11,0,7,0,0,1,2022,"Texas"
"SEMINOLE PD",0,0,0,2,0,4,0,0,1,2022,"Texas"
"JONES CO SO",0,0,0,1,2,3,1,0,1,2022,"Texas"
"PRAIRIE VIEW PD",0,0,0,0,3,0,0,0,1,2022,"Texas"
"WILLIS PD",0,0,1,0,2,13,6,1,1,2022,"Texas"
"CALHOUN CO SO",0,1,0,0,2,5,0,0,1,2022,"Texas"
"LIBERTY HILL PD",0,0,0,1,2,1,1,0,1,2022,"Texas"
"MEXIA PD",0,0,0,0,4,7,1,0,1,2022,"Texas"
"BURNET PD",0,0,0,1,0,2,0,0,1,2022,"Texas"
"SILSBEE PD",0,1,0,1,0,4,1,0,1,2022,"Texas"
"LA FERIA PD",0,3,0,8,0,10,0,0,1,2022,"Texas"
"SEALY PD",0,0,0,0,1,6,3,0,1,2022,"Texas"
"IOWA PARK PD",0,0,0,0,0,1,1,0,1,2022,"Texas"
"HUTCHINSON CO SO",0,0,0,0,2,0,0,0,1,2022,"Texas"
"NOLANVILLE PD",0,0,0,0,0,3,0,0,1,2022,"Texas"
"CARTHAGE PD",0,0,1,0,4,13,0,0,1,2022,"Texas"
"GUN BARREL CITY PD",0,0,0,0,0,4,0,0,1,2022,"Texas"
"LINDALE PD",0,0,1,1,0,3,1,0,1,2022,"Texas"
"EASTLAND CO SO",0,0,0,0,0,0,1,0,1,2022,"Texas"
"LAKEVIEW PD",0,0,0,0,0,1,1,0,1,2022,"Texas"
"WOLFFORTH PD",0,0,0,1,0,3,0,0,1,2022,"Texas"
"CROCKETT PD",0,0,1,0,2,7,0,0,1,2022,"Texas"
"HEMPSTEAD PD",1,0,0,3,2,1,1,0,1,2022,"Texas"
"YOUNG CO SO",0,0,0,2,1,0,1,0,1,2022,"Texas"
"KEENE PD",1,0,0,1,2,1,1,0,1,2022,"Texas"
"PENITAS PD",0,1,0,0,0,0,0,0,1,2022,"Texas"
"LAVON PD",0,0,0,0,0,6,2,0,1,2022,"Texas"
"BULVERDE PD",0,0,0,1,1,6,0,0,1,2022,"Texas"
"CRYSTAL CITY PD",0,0,0,0,0,2,0,0,1,2022,"Texas"
"LA SALLE CO SO",0,0,0,0,3,1,0,0,1,2022,"Texas"
"BRIDGEPORT PD",0,0,0,0,1,2,0,0,1,2022,"Texas"
"GLADEWATER PD",0,0,0,1,2,6,2,0,1,2022,"Texas"
"WHITE OAK PD",0,0,1,1,1,2,2,0,1,2022,"Texas"
"PARKER PD",0,0,0,0,0,1,0,0,1,2022,"Texas"
"SAN AUGUSTINE CO SO",0,0,0,2,4,5,0,0,1,2022,"Texas"
"VAN ALSTYNE PD",0,4,0,0,0,0,0,0,1,2022,"Texas"
"EVERMAN PD",0,0,0,0,1,9,0,0,1,2022,"Texas"
"EDNA PD",0,0,0,5,0,0,0,0,1,2022,"Texas"
"GARZA CO SO",0,0,0,0,2,2,0,0,1,2022,"Texas"
"YOAKUM PD",0,0,0,1,0,2,0,0,1,2022,"Texas"
"LIVINGSTON PD",0,1,0,1,1,33,0,1,1,2022,"Texas"
"CHILDRESS PD",0,0,0,1,2,2,0,0,1,2022,"Texas"
"MORRIS CO SO",0,0,0,0,0,0,1,0,1,2022,"Texas"
"WAKE VILLAGE PD",0,0,0,0,0,4,0,0,1,2022,"Texas"
"LITTLEFIELD PD",0,0,0,0,5,5,0,0,1,2022,"Texas"
"WINDCREST PD",0,0,1,0,0,30,4,0,1,2022,"Texas"
"HICKORY CREEK PD",0,1,0,0,1,4,0,0,1,2022,"Texas"
"ALPINE PD",0,0,0,1,0,0,0,0,1,2022,"Texas"
"SLATON PD",0,1,0,0,2,4,0,0,1,2022,"Texas"
"KERMIT PD",0,0,0,1,0,0,0,0,1,2022,"Texas"
"BROOKSHIRE PD",0,0,0,0,1,2,2,0,1,2022,"Texas"
"KLEBERG CO SO",0,0,0,0,0,1,0,0,1,2022,"Texas"
"ELSA PD",0,0,0,1,3,9,2,0,1,2022,"Texas"
"BOWIE PD",0,0,0,0,0,2,1,0,1,2022,"Texas"
"SCURRY CO SO",0,1,0,0,3,5,0,0,1,2022,"Texas"
"MARLIN PD",0,0,0,0,1,2,0,0,1,2022,"Texas"
"HUTCHINS PD",0,1,0,3,4,21,5,0,1,2022,"Texas"
"WILMER PD",0,0,0,0,4,7,2,0,1,2022,"Texas"
"DELTA CO SO",0,0,0,0,2,1,1,0,1,2022,"Texas"
"RUSK PD",0,0,0,1,0,9,0,0,1,2022,"Texas"
"LULING PD",0,0,0,0,0,1,0,0,1,2022,"Texas"
"ALVARADO PD",0,1,0,0,0,6,1,0,1,2022,"Texas"
"ROCKDALE PD",0,0,1,5,1,3,3,0,1,2022,"Texas"
"ATLANTA PD",0,1,0,1,1,6,0,0,1,2022,"Texas"
"WILLOW PARK PD",0,0,0,1,2,6,0,0,1,2022,"Texas"
"CAMERON PD",0,0,0,0,2,0,0,0,1,2022,"Texas"
"SANSOM PARK PD",0,2,0,3,1,6,1,0,1,2022,"Texas"
"PRIMERA PD",0,0,0,2,0,1,0,0,1,2022,"Texas"
"BRECKENRIDGE PD",0,0,0,0,0,4,2,1,1,2022,"Texas"
"PORT ISABEL PD",0,0,0,2,0,0,0,0,1,2022,"Texas"
"ANDREWS CO SO",0,0,0,0,2,3,1,0,1,2022,"Texas"
"GIDDINGS PD",0,0,0,0,0,2,0,0,1,2022,"Texas"
"CENTER PD",0,0,0,1,2,6,0,0,1,2022,"Texas"
"NASSAU BAY PD",0,1,0,0,0,7,0,0,1,2022,"Texas"
"MULESHOE PD",0,0,0,1,0,3,0,0,1,2022,"Texas"
"TERRELL HILLS PD",0,0,0,0,0,5,1,0,1,2022,"Texas"
"MINEOLA PD",0,1,1,1,0,5,0,0,1,2022,"Texas"
"BRADY PD",1,0,0,1,0,4,1,0,1,2022,"Texas"
"GILMER PD",0,0,0,1,1,11,1,0,1,2022,"Texas"
"ARGYLE PD",0,0,0,0,0,2,1,0,1,2022,"Texas"
"PILOT POINT PD",0,0,0,0,1,1,0,0,1,2022,"Texas"
"JIM HOGG CO SO",0,0,0,1,1,2,0,0,1,2022,"Texas"
"MORGANS POINT RESORT PD",0,0,0,0,0,1,0,0,1,2022,"Texas"
"FALFURRIAS PD",0,0,0,1,2,3,0,0,1,2022,"Texas"
"RICHWOOD PD",0,0,0,0,0,0,2,0,1,2022,"Texas"
"JOSEPHINE PD",0,0,0,0,0,2,0,0,1,2022,"Texas"
"HALLSVILLE PD",0,0,0,0,1,0,0,0,1,2022,"Texas"
"JACK CO SO",0,0,0,1,0,1,2,0,1,2022,"Texas"
"HORSESHOE BAY PD",0,0,0,0,0,2,0,0,1,2022,"Texas"
"CRANDALL PD",0,1,0,5,1,3,0,0,1,2022,"Texas"
"MADISONVILLE PD",0,0,0,0,2,3,1,0,1,2022,"Texas"
"LA JOYA PD",0,0,0,1,0,0,0,0,1,2022,"Texas"
"GRAY CO SO",0,0,1,0,1,1,0,0,1,2022,"Texas"
"LAKE WORTH PD",0,1,0,1,3,16,1,0,1,2022,"Texas"
"MEADOWS PLACE PD",0,0,0,0,0,8,2,0,1,2022,"Texas"
"NEW BOSTON PD",0,0,1,2,0,7,4,0,1,2022,"Texas"
"MILLS CO SO",0,0,0,0,1,0,0,0,1,2022,"Texas"
"HEARNE PD",0,0,0,8,2,2,1,0,1,2022,"Texas"
"TULIA PD",1,0,0,2,3,6,1,0,1,2022,"Texas"
"DEVINE PD",0,0,1,0,1,14,1,0,1,2022,"Texas"
"DIBOLL PD",0,0,0,0,1,0,0,0,1,2022,"Texas"
"LA GRANGE PD",0,1,0,0,0,5,0,0,1,2022,"Texas"
"GARDEN RIDGE PD",0,0,0,0,0,1,0,0,1,2022,"Texas"
"PITTSBURG PD",1,1,0,2,2,6,1,0,1,2022,"Texas"
"PALACIOS PD",0,0,1,0,0,4,1,0,1,2022,"Texas"
"CANTON PD",0,1,1,0,3,12,4,0,1,2022,"Texas"
"MATHIS PD",0,0,0,3,3,3,1,2,1,2022,"Texas"
"OVILLA PD",0,0,1,0,0,4,1,0,1,2022,"Texas"
"DENVER CITY PD",0,0,0,0,1,2,0,0,1,2022,"Texas"
"DUVAL CO SO",0,1,0,1,3,3,0,0,1,2022,"Texas"
"JACKSBORO PD",0,0,0,1,0,0,0,0,1,2022,"Texas"
"COMANCHE PD",0,0,0,0,2,6,2,0,1,2022,"Texas"
"CALDWELL PD",0,0,0,0,1,1,0,0,1,2022,"Texas"
"SPRING VALLEY VILLAGE PD",0,0,0,0,0,7,0,0,1,2022,"Texas"
"DIMMITT PD",0,1,0,0,2,0,0,0,1,2022,"Texas"
"JOURDANTON PD",0,0,0,0,0,1,3,0,1,2022,"Texas"
"SMITHVILLE PD",0,0,0,0,0,3,0,0,1,2022,"Texas"
"FRIONA PD",0,0,0,0,0,2,0,0,1,2022,"Texas"
"BELLVILLE PD",0,4,0,2,1,3,0,0,1,2022,"Texas"
"BULLARD PD",0,0,0,1,0,0,0,0,1,2022,"Texas"
"HAMILTON CO SO",0,0,0,0,2,0,0,0,1,2022,"Texas"
"CLYDE PD",0,0,0,0,2,1,0,0,1,2022,"Texas"
"STEPHENS CO SO",0,0,0,0,1,1,0,0,1,2022,"Texas"
"FARMERSVILLE PD",0,0,0,1,3,3,1,0,1,2022,"Texas"
"WILLS POINT PD",0,0,0,0,0,0,0,0,1,2022,"Texas"
"KRUGERVILLE PD",0,0,0,0,0,1,0,0,1,2022,"Texas"
"MASON CO SO",0,0,0,0,0,1,0,0,1,2022,"Texas"
"COLEMAN PD",0,0,0,0,0,1,1,0,1,2022,"Texas"
"CASTLE HILLS PD",0,0,1,1,5,12,2,0,1,2022,"Texas"
"CISCO PD",0,0,0,0,1,2,0,0,1,2022,"Texas"
"SULLIVAN CITY PD",0,0,0,0,0,1,0,0,1,2022,"Texas"
"NASH PD",0,0,0,0,1,1,0,0,1,2022,"Texas"
"FISHER CO SO",0,0,0,1,1,0,0,0,1,2022,"Texas"
"COCKRELL HILL PD",0,0,0,0,0,6,2,0,1,2022,"Texas"
"SHENANDOAH PD",0,0,0,0,0,33,5,0,1,2022,"Texas"
"LAGUNA VISTA PD",0,0,0,0,0,0,0,0,1,2022,"Texas"
"ANTHONY PD",0,2,0,0,0,0,1,0,1,2022,"Texas"
"HOWE PD",0,0,0,0,0,2,0,0,1,2022,"Texas"
"DEAF SMITH CO SO",0,0,0,2,0,1,0,0,1,2022,"Texas"
"GROESBECK PD",1,1,0,0,1,4,0,0,1,2022,"Texas"
"SPRINGTOWN PD",0,0,0,0,0,2,0,0,1,2022,"Texas"
"BREWSTER CO SO",0,0,1,0,0,1,2,0,1,2022,"Texas"
"EASTLAND PD",0,0,0,1,0,0,0,0,1,2022,"Texas"
"WARD CO SO",0,0,0,1,2,5,2,0,1,2022,"Texas"
"DAWSON CO SO",0,0,0,0,2,5,0,0,1,2022,"Texas"
"SHAVANO PARK PD",0,0,0,0,0,6,0,0,1,2022,"Texas"
"COLUMBUS PD",0,2,0,0,1,6,0,0,1,2022,"Texas"
"KENEDY PD",0,0,0,0,2,3,1,1,1,2022,"Texas"
"WEST COLUMBIA PD",0,1,0,0,0,3,0,0,1,2022,"Texas"
"WINNSBORO PD",0,0,0,0,1,0,0,0,1,2022,"Texas"
"BALLINGER PD",0,0,0,0,3,1,0,0,1,2022,"Texas"
"CADDO MILLS PD",0,0,0,0,3,1,0,0,1,2022,"Texas"
"SWEENY PD",0,1,0,2,0,3,0,0,1,2022,"Texas"
"CHANDLER PD",0,0,0,0,1,2,0,0,1,2022,"Texas"
"CLIFTON PD",0,0,0,0,0,1,0,0,1,2022,"Texas"
"TEAGUE PD",0,0,1,0,1,2,0,0,1,2022,"Texas"
"CRANE PD",0,0,0,0,0,1,0,0,1,2022,"Texas"
"DUBLIN PD",0,0,0,0,0,0,0,0,1,2022,"Texas"
"RENO PD (LAMAR CO)",0,0,0,0,0,5,0,0,1,2022,"Texas"
"WEST ORANGE PD",0,1,0,1,0,7,0,0,1,2022,"Texas"
"CARSON CO SO",0,0,0,0,0,0,0,0,1,2022,"Texas"
"LLANO PD",0,0,0,0,0,0,0,0,1,2022,"Texas"
"HUDSPETH CO SO",0,0,0,0,0,0,0,0,1,2022,"Texas"
"CONCHO CO SO",0,0,0,0,0,0,0,0,1,2022,"Texas"
"COKE CO SO",0,0,0,0,1,3,0,0,1,2022,"Texas"
"SHACKELFORD CO SO",0,0,0,1,0,4,0,0,1,2022,"Texas"
"DILLEY PD",0,0,0,0,0,0,0,0,1,2022,"Texas"
"DONLEY CO SO",0,0,0,2,0,1,0,0,1,2022,"Texas"
"PORT ARANSAS PD",0,0,0,1,2,11,1,0,1,2022,"Texas"
"LAMB CO SO",0,0,1,0,1,1,0,0,1,2022,"Texas"
"CASTRO CO SO",0,0,0,0,0,2,0,0,1,2022,"Texas"
"KARNES CITY PD",0,1,0,0,1,0,1,0,1,2022,"Texas"
"UPTON CO SO",0,0,0,0,1,0,0,0,1,2022,"Texas"
"YOAKUM CO SO",0,0,0,0,0,1,0,0,1,2022,"Texas"
"GRAND SALINE PD",0,0,0,0,0,0,0,0,1,2022,"Texas"
"ONALASKA PD",0,0,0,0,1,3,4,0,1,2022,"Texas"
"ZAVALA CO SO",0,0,0,4,1,4,1,0,1,2022,"Texas"
"WEST LAKE HILLS PD",0,0,0,0,0,3,0,0,1,2022,"Texas"
"SAN SABA PD",0,0,0,0,3,1,0,0,1,2022,"Texas"
"HEMPHILL CO SO",0,0,0,0,0,0,0,0,1,2022,"Texas"
"EARLY PD",0,0,0,1,1,2,0,0,1,2022,"Texas"
"RUNNELS CO SO",0,0,0,0,0,0,0,0,1,2022,"Texas"
"WHEELER CO SO",0,0,0,0,0,1,1,0,1,2022,"Texas"
"REAGAN CO SO",0,0,0,0,0,1,0,0,1,2022,"Texas"
"HOLLYWOOD PARK PD",0,0,0,0,1,3,0,0,1,2022,"Texas"
"COMBES PD",0,0,0,0,0,0,2,0,1,2022,"Texas"
"CACTUS PD",0,1,0,0,1,0,0,0,1,2022,"Texas"
"DOUBLE OAK PD",0,0,0,0,0,1,0,0,1,2022,"Texas"
"CASTROVILLE PD",0,0,0,0,1,4,0,0,1,2022,"Texas"
"CROCKETT CO SO",0,0,0,0,1,2,0,0,1,2022,"Texas"
"NEEDVILLE PD",0,0,0,0,0,2,0,0,1,2022,"Texas"
"LYTLE PD",0,0,0,0,0,10,2,0,1,2022,"Texas"
"HASKELL PD",0,0,0,0,0,1,3,0,1,2022,"Texas"
"OLNEY PD",0,0,0,0,3,1,0,0,1,2022,"Texas"
"HARDEMAN CO SO",0,0,0,0,1,1,0,0,1,2022,"Texas"
"OAK RIDGE NORTH PD",0,0,0,0,0,9,2,0,1,2022,"Texas"
"STAMFORD PD",0,0,0,0,0,0,3,0,1,2022,"Texas"
"POTEET PD",1,0,0,1,3,2,0,0,1,2022,"Texas"
"FAIRFIELD PD",0,0,0,0,1,2,0,0,1,2022,"Texas"
"REAL CO SO",0,0,0,0,1,3,1,0,1,2022,"Texas"
"SHALLOWATER PD",0,0,0,0,1,3,0,0,1,2022,"Texas"
"NOLAN CO SO",0,0,0,0,1,4,0,0,1,2022,"Texas"
