"","pds","Total","Note"
"24","Aurora,CO,City",10,"Rape_pri8 | Robbery_pri8 | Agg.Assault_pri8 | Burglary_pri8 | Theft_pri8 | MVT_pri8 | Agg.Assault_pri1 | Burglary_pri1 | Theft_pri1 | MVT_pri1"
"25","Baltimore,MD,City",10,"Murder_pri8 | Robbery_pri8 | Agg.Assault_pri8 | Burglary_pri8 | Theft_pri8 | MVT_pri8 | Robbery_pri1 | Agg.Assault_pri1 | Theft_pri1 | MVT_pri1"
"26","Denver,CO,City",10,"Robbery_pri8 | Agg.Assault_pri8 | Burglary_pri8 | Theft_pri8 | MVT_pri8 | Robbery_pri1 | Agg.Assault_pri1 | Burglary_pri1 | Theft_pri1 | MVT_pri1"
"27","State Sample Counts_NV",10,"Robbery_pri8 | Agg.Assault_pri8 | Burglary_pri8 | Theft_pri8 | MVT_pri8 | Robbery_pri1 | Agg.Assault_pri1 | Burglary_pri1 | Theft_pri1 | MVT_pri1"
"28","State Sample Counts_VA",10,"Rape_pri8 | Agg.Assault_pri8 | Burglary_pri8 | Theft_pri8 | MVT_pri8 | Rape_pri1 | Agg.Assault_pri1 | Burglary_pri1 | Theft_pri1 | MVT_pri1"
"29","State Sample Counts_WA",10,"Robbery_pri8 | Agg.Assault_pri8 | Burglary_pri8 | Theft_pri8 | MVT_pri8 | Robbery_pri1 | Agg.Assault_pri1 | Burglary_pri1 | Theft_pri1 | MVT_pri1"
"30","Austin,TX,City",9,"Robbery_pri8 | Agg.Assault_pri8 | Burglary_pri8 | Theft_pri8 | MVT_pri8 | Agg.Assault_pri1 | Burglary_pri1 | Theft_pri1 | MVT_pri1"
"31","Detroit,MI,City",9,"Robbery_pri8 | Agg.Assault_pri8 | Burglary_pri8 | Theft_pri8 | MVT_pri8 | Agg.Assault_pri1 | Burglary_pri1 | Theft_pri1 | MVT_pri1"
"32","Fremont,CA,City",9,"Robbery_pri8 | Agg.Assault_pri8 | Burglary_pri8 | Theft_pri8 | Robbery_pri1 | Agg.Assault_pri1 | Burglary_pri1 | Theft_pri1 | MVT_pri1"
"33","New Orleans,LA,City",9,"Murder_pri8 | Robbery_pri8 | Agg.Assault_pri8 | Burglary_pri8 | Theft_pri8 | MVT_pri8 | Agg.Assault_pri1 | Theft_pri1 | MVT_pri1"
"34","Omaha,NE,City",9,"Robbery_pri8 | Agg.Assault_pri8 | Burglary_pri8 | Theft_pri8 | MVT_pri8 | Agg.Assault_pri1 | Burglary_pri1 | Theft_pri1 | MVT_pri1"
"35","San Antonio,TX,City",9,"Rape_pri8 | Robbery_pri8 | Agg.Assault_pri8 | Burglary_pri8 | Theft_pri8 | MVT_pri8 | Agg.Assault_pri1 | Theft_pri1 | MVT_pri1"
"36","St. Paul,MN,City",9,"Robbery_pri8 | Agg.Assault_pri8 | Burglary_pri8 | Theft_pri8 | MVT_pri8 | Agg.Assault_pri1 | Burglary_pri1 | Theft_pri1 | MVT_pri1"
"37","State Sample Counts_IN",9,"Robbery_pri8 | Agg.Assault_pri8 | Burglary_pri8 | Theft_pri8 | Robbery_pri1 | Agg.Assault_pri1 | Burglary_pri1 | Theft_pri1 | MVT_pri1"
"38","State Sample Counts_LA",9,"Murder_pri8 | Robbery_pri8 | Agg.Assault_pri8 | Burglary_pri8 | Theft_pri8 | MVT_pri8 | Murder_pri1 | Theft_pri1 | MVT_pri1"
"39","State Sample Counts_MO",9,"Rape_pri8 | Agg.Assault_pri8 | Burglary_pri8 | Theft_pri8 | MVT_pri8 | Agg.Assault_pri1 | Burglary_pri1 | Theft_pri1 | MVT_pri1"
"40","State Sample Counts_NC",9,"Robbery_pri8 | Agg.Assault_pri8 | Burglary_pri8 | Theft_pri8 | Robbery_pri1 | Agg.Assault_pri1 | Burglary_pri1 | Theft_pri1 | MVT_pri1"
"41","Tucson,AZ,City",9,"Robbery_pri8 | Burglary_pri8 | Theft_pri8 | MVT_pri8 | Robbery_pri1 | Agg.Assault_pri1 | Burglary_pri1 | Theft_pri1 | MVT_pri1"
"42","Charlotte,NC,City",8,"Robbery_pri8 | Agg.Assault_pri8 | Burglary_pri8 | Theft_pri8 | Robbery_pri1 | Agg.Assault_pri1 | Theft_pri1 | MVT_pri1"
"43","Dallas,TX,City",8,"Rape_pri8 | Robbery_pri8 | Agg.Assault_pri8 | Burglary_pri8 | Theft_pri8 | Agg.Assault_pri1 | Theft_pri1 | MVT_pri1"
"44","Fort Worth,TX,City",8,"Robbery_pri8 | Agg.Assault_pri8 | Burglary_pri8 | Theft_pri8 | Robbery_pri1 | Agg.Assault_pri1 | Theft_pri1 | MVT_pri1"
"45","Harris,TX,County",8,"Robbery_pri8 | Agg.Assault_pri8 | Burglary_pri8 | Theft_pri8 | MVT_pri8 | Agg.Assault_pri1 | Theft_pri1 | MVT_pri1"
"46","Indianapolis,IN,City",8,"Robbery_pri8 | Agg.Assault_pri8 | Burglary_pri8 | Theft_pri8 | Agg.Assault_pri1 | Burglary_pri1 | Theft_pri1 | MVT_pri1"
"47","Minneapolis,MN,City",8,"Robbery_pri8 | Burglary_pri8 | Theft_pri8 | Robbery_pri1 | Agg.Assault_pri1 | Burglary_pri1 | Theft_pri1 | MVT_pri1"
