"","pds","Total","Note"
"175","Middletown,OH,City",3,"Burglary_pri8 | Theft_pri8 | Theft_pri1"
"176","New Haven,CT,City",3,"Agg.Assault_pri8 | Agg.Assault_pri1 | MVT_pri1"
"177","Pasadena,TX,City",3,"Theft_pri8 | MVT_pri8 | Theft_pri1"
"178","Pawtucket,RI,City",3,"Burglary_pri8 | Theft_pri8 | Theft_pri1"
"179","Peoria,AZ,City",3,"Burglary_pri8 | Theft_pri8 | Theft_pri1"
"180","Plano,TX,City",3,"Burglary_pri8 | Theft_pri8 | MVT_pri8"
"181","Pocatello,ID,City",3,"Burglary_pri8 | Theft_pri8 | Theft_pri1"
"182","Portsmouth,VA,City",3,"Burglary_pri8 | Theft_pri8 | Theft_pri1"
"183","Providence,RI,City",3,"Burglary_pri8 | Theft_pri8 | MVT_pri8"
"184","Pueblo,CO,City",3,"Burglary_pri8 | Theft_pri8 | Theft_pri1"
"185","Salem,OR,City",3,"Theft_pri8 | Agg.Assault_pri1 | Theft_pri1"
"186","Southaven,MS,City",3,"Burglary_pri8 | Theft_pri8 | Theft_pri1"
"187","Springfield,IL,City",3,"Robbery_pri8 | Burglary_pri8 | Burglary_pri1"
"188","St Charles,MO,City",3,"Burglary_pri8 | Theft_pri8 | Theft_pri1"
"189","St Louis,MO,County",3,"Theft_pri8 | MVT_pri8 | Theft_pri1"
"190","Stamford,CT,City",3,"Theft_pri8 | Theft_pri1 | MVT_pri1"
"191","Stark,OH,County",3,"Burglary_pri8 | Theft_pri8 | Theft_pri1"
"192","State Sample Counts_MS",3,"Burglary_pri8 | Theft_pri8 | Theft_pri1"
"193","State Sample Counts_WY",3,"Theft_pri8 | MVT_pri8 | Theft_pri1"
"194","Waco,TX,City",3,"Agg.Assault_pri8 | Theft_pri8 | Theft_pri1"
"195","Warren,OH,County",3,"Burglary_pri8 | Theft_pri8 | Theft_pri1"
"196","Will,IL,County",3,"Burglary_pri8 | Burglary_pri1 | MVT_pri1"
"197","Yuma,AZ,City",3,"Agg.Assault_pri8 | Burglary_pri8 | Theft_pri8"
"198","Abilene,TX,City",2,"Theft_pri8 | MVT_pri8"
"199","Adams,CO,County",2,"Agg.Assault_pri8 | Agg.Assault_pri1"
"200","Akron,OH,City",2,"Burglary_pri8 | Burglary_pri1"
"201","Arlington,VA,County",2,"Theft_pri1 | MVT_pri1"
"202","Arvada,CO,City",2,"Theft_pri8 | Theft_pri1"
"203","Baton Rouge,LA,City",2,"Burglary_pri8 | Burglary_pri1"
"204","Beaumont,TX,City",2,"Theft_pri8 | Theft_pri1"
"205","Beaverton,OR,City",2,"Agg.Assault_pri1 | Burglary_pri1"
"206","Bend,OR,City",2,"Theft_pri8 | Theft_pri1"
"207","Bexar,TX,County",2,"Burglary_pri1 | MVT_pri1"
"208","Bismarck,ND,City",2,"Theft_pri8 | Theft_pri1"
"209","Blaine,MN,City",2,"Theft_pri8 | Theft_pri1"
"210","Bridgeport,CT,City",2,"Robbery_pri8 | Burglary_pri8"
"211","Brockton,MA,City",2,"Theft_pri8 | MVT_pri8"
"212","Broomfield,CO,City",2,"Theft_pri8 | Theft_pri1"
"213","Canton,OH,City",2,"Burglary_pri8 | Theft_pri8"
"214","Carrollton,TX,City",2,"Theft_pri8 | Theft_pri1"
"215","Chula Vista,CA,City",2,"MVT_pri8 | MVT_pri1"
"216","Clackamas,OR,County",2,"Theft_pri8 | MVT_pri8"
"217","College Station,TX,City",2,"Burglary_pri8 | Theft_pri8"
"218","Coon Rapids,MN,City",2,"Theft_pri8 | Theft_pri1"
"219","Decatur,IL,City",2,"Theft_pri8 | Theft_pri1"
"220","Delaware,OH,County",2,"Theft_pri8 | Theft_pri1"
"221","Des Plaines,IL,City",2,"Theft_pri8 | Burglary_pri1"
"222","Desoto,TX,City",2,"Burglary_pri8 | Theft_pri8"
"223","Eagan,MN,City",2,"Theft_pri8 | Theft_pri1"
"224","Eden Prairie,MN,City",2,"Theft_pri8 | Theft_pri1"
"225","Edinburg,TX,City",2,"Burglary_pri8 | Theft_pri8"
"226","Escondido,CA,City",2,"Theft_pri8 | Theft_pri1"
"227","Eugene,OR,City",2,"Burglary_pri8 | Burglary_pri1"
"228","Flagstaff,AZ,City",2,"Burglary_pri8 | Burglary_pri1"
"229","Fort Collins,CO,City",2,"Theft_pri8 | Theft_pri1"
"230","Garland,TX,City",2,"Theft_pri8 | MVT_pri8"
"231","Glendale,AZ,City",2,"Burglary_pri8 | Theft_pri8"
"232","Grand Prairie,TX,City",2,"Burglary_pri8 | Theft_pri8"
"233","Hamilton,OH,County",2,"Burglary_pri8 | Theft_pri8"
"234","Hampton,VA,City",2,"Burglary_pri8 | Burglary_pri1"
"235","Hidalgo,TX,County",2,"Burglary_pri8 | Theft_pri8"
"236","Irving,TX,City",2,"Theft_pri8 | MVT_pri1"
"237","Kentwood,MI,City",2,"Theft_pri8 | Theft_pri1"
"238","Knox,TN,County",2,"Theft_pri8 | Theft_pri1"
"239","Laredo,TX,City",2,"Theft_pri8 | Theft_pri1"
"240","Leander,TX,City",2,"Theft_pri8 | Theft_pri1"
"241","Loudoun,VA,County",2,"Theft_pri8 | Theft_pri1"
"242","Maple Grove,MN,City",2,"Theft_pri8 | Theft_pri1"
"243","McAllen,TX,City",2,"Theft_pri8 | Theft_pri1"
"244","Meridian,ID,City",2,"Theft_pri8 | Theft_pri1"
"245","Montgomery,TX,County",2,"Theft_pri8 | Theft_pri1"
"246","Nampa,ID,City",2,"Theft_pri8 | Theft_pri1"
"247","Newark,OH,City",2,"Burglary_pri8 | Theft_pri8"
"248","Norwalk,CT,City",2,"Theft_pri8 | Theft_pri1"
"249","Oak Lawn,IL,City",2,"Burglary_pri8 | Burglary_pri1"
"250","Odessa,TX,City",2,"Agg.Assault_pri8 | Theft_pri8"
"251","Pearland,TX,City",2,"Theft_pri8 | Theft_pri1"
"252","Redlands,CA,City",2,"Theft_pri8 | MVT_pri8"
"253","Richardson,TX,City",2,"Theft_pri8 | Theft_pri1"
"254","Roanoke,VA,City",2,"Theft_pri8 | Theft_pri1"
"255","Round Rock,TX,City",2,"Theft_pri8 | Theft_pri1"
"256","San Bernardino,CA,City",2,"Agg.Assault_pri8 | MVT_pri8"
"257","Schaumburg,IL,City",2,"Theft_pri8 | Theft_pri1"
"258","Scottsdale,AZ,City",2,"Burglary_pri8 | Theft_pri8"
"259","Skokie,IL,City",2,"Burglary_pri8 | Burglary_pri1"
"260","Spotsylvania,VA,County",2,"Theft_pri8 | Theft_pri1"
"261","St. Cloud,MN,City",2,"Theft_pri8 | Theft_pri1"
"262","State Sample Counts_FL",2,"Theft_pri8 | Theft_pri1"
"263","Tigard,OR,City",2,"MVT_pri8 | Theft_pri1"
"264","West Hartford,CT,City",2,"Theft_pri8 | Theft_pri1"
"265","Westland,MI,City",2,"Theft_pri8 | Theft_pri1"
"266","Wichita Falls,TX,City",2,"Theft_pri8 | Theft_pri1"
"267","Woodbury,MN,City",2,"Burglary_pri8 | Theft_pri8"
"268","Worcester,MA,City",2,"Burglary_pri8 | Burglary_pri1"
"269","Youngstown,OH,City",2,"Theft_pri8 | Theft_pri1"
"270","Ada,ID,County",1,"Theft_pri8"
"271","Albany,OR,City",1,"Theft_pri8"
"272","Allen,TX,City",1,"Theft_pri8"
"273","Ann Arbor,MI,City",1,"Theft_pri1"
"274","Apple Valley,MN,City",1,"Theft_pri8"
"275","Avondale,AZ,City",1,"Theft_pri8"
"276","Blue Springs,MO,City",1,"Theft_pri1"
"277","Bolingbrook,IL,City",1,"Burglary_pri1"
"278","Brazoria,TX,County",1,"Theft_pri8"
"279","Bristol,CT,City",1,"Theft_pri8"
"280","Brownsville,TX,City",1,"Theft_pri8"
"281","Castle Rock,CO,City",1,"Theft_pri8"
"282","Centennial,CO,City",1,"Theft_pri8"
"283","Chicopee,MA,City",1,"Burglary_pri8"
"284","Coeur D Alene,ID,City",1,"Theft_pri8"
"285","Conroe,TX,City",1,"Burglary_pri8"
"286","Corvallis,OR,City",1,"Theft_pri8"
"287","Dearborn,MI,City",1,"Burglary_pri8"
"288","East Hartford,CT,City",1,"Theft_pri8"
"289","Elyria,OH,City",1,"Agg.Assault_pri1"
"290","Erie,PA,City",1,"Burglary_pri8"
"291","Fairfield,CT,City",1,"Theft_pri1"
"292","Fall River,MA,City",1,"Burglary_pri8"
"293","Fort Wayne,IN,City",1,"Burglary_pri8"
"294","Framingham,MA,City",1,"MVT_pri1"
"295","Grand Island,NE,City",1,"Theft_pri8"
"296","Grapevine,TX,City",1,"Theft_pri8"
"297","Greeley,CO,City",1,"Agg.Assault_pri1"
"298","Hamilton,OH,City",1,"Agg.Assault_pri8"
"299","Haverhill,MA,City",1,"Theft_pri1"
"300","Hillsboro,OR,City",1,"Theft_pri1"
"301","Idaho Falls,ID,City",1,"Theft_pri8"
"302","Jefferson,CO,County",1,"Theft_pri8"
"303","Killeen,TX,City",1,"Theft_pri8"
"304","Lake Havasu City,AZ,City",1,"Burglary_pri1"
"305","Lakewood,CO,City",1,"Burglary_pri8"
"306","Lancaster,PA,City",1,"Theft_pri8"
"307","Lawrence,MA,City",1,"Theft_pri1"
"308","Lee's Summit,MO,City",1,"Theft_pri1"
"309","Livonia,MI,City",1,"Burglary_pri8"
"310","Longmont,CO,City",1,"MVT_pri8"
"311","Longview,TX,City",1,"Burglary_pri8"
"312","Lowell,MA,City",1,"Agg.Assault_pri1"
"313","Lower Merion,PA,City",1,"Theft_pri1"
"314","Medford,MA,City",1,"Theft_pri1"
"315","National City,CA,City",1,"Theft_pri8"
"316","New Bedford,MA,City",1,"Agg.Assault_pri8"
"317","New Braunfels,TX,City",1,"Theft_pri1"
"318","New Britain,CT,City",1,"Theft_pri8"
"319","O'Fallon,MO,City",1,"Theft_pri8"
"320","Oceanside,CA,City",1,"Theft_pri8"
"321","Oshkosh,WI,City",1,"Theft_pri8"
"322","Parker,CO,City",1,"Theft_pri1"
"323","Pharr,TX,City",1,"Theft_pri8"
"324","Pinal,AZ,County",1,"Theft_pri8"
"325","Plymouth,MN,City",1,"Theft_pri8"
"326","Port Arthur,TX,City",1,"Theft_pri8"
"327","Prescott Valley,AZ,City",1,"Theft_pri8"
"328","Sarasota,FL,County",1,"Theft_pri8"
"329","Scranton,PA,City",1,"Agg.Assault_pri8"
"330","Smith,TX,County",1,"Theft_pri8"
"331","Somerville,MA,City",1,"Burglary_pri1"
"332","Sonoma,CA,County",1,"Burglary_pri8"
"333","Springfield,OH,City",1,"Theft_pri8"
"334","St Charles,MO,County",1,"Theft_pri8"
"335","St Peters,MO,City",1,"Theft_pri8"
"336","State Sample Counts_WI",1,"Theft_pri8"
"337","Suffolk,VA,City",1,"Theft_pri8"
"338","Surprise,AZ,City",1,"Theft_pri8"
"339","Twin Falls,ID,City",1,"Theft_pri8"
"340","Tyler,TX,City",1,"Theft_pri8"
"341","Warwick,RI,City",1,"Theft_pri8"
"342","Washtenaw,MI,County",1,"Theft_pri8"
"343","West Haven,CT,City",1,"Theft_pri8"
"344","Wyoming,MI,City",1,"MVT_pri8"
"345","Abington,PA,City",0,""
"346","Aguadilla",0,""
"347","Albemarle,VA,County",0,""
"348","Alhambra,CA,City",0,""
"349","Arecibo",0,""
"350","Arlington Heights,IL,City",0,""
"351","Barnstable,MA,City",0,""
"352","Baytown,TX,City",0,""
"353","Bellevue,NE,City",0,""
"354","Bensalem,PA,City",0,""
"355","Bethlehem,PA,City",0,""
"356","Brookline,MA,City",0,""
"357","Buckeye,AZ,City",0,""
"358","Burbank,CA,City",0,""
"359","Burleson,TX,City",0,""
"360","Burnsville,MN,City",0,""
"361","Caguas",0,""
"362","Caldwell,ID,City",0,""
"363","Cambridge,MA,City",0,""
"364","Canton Township,MI,City",0,""
"365","Carlsbad,CA,City",0,""
"366","Carolina",0,""
"367","Casa Grande,AZ,City",0,""
"368","Cedar Park,TX,City",0,""
"369","Clinton Township,MI,City",0,""
"370","Colerain Township,OH,City",0,""
"371","Commerce City,CO,City",0,""
"372","Concord,CA,City",0,""
"373","Cranston,RI,City",0,""
"374","Cuyahoga Falls,OH,City",0,""
"375","Dearborn Heights,MI,City",0,""
"376","Denton,TX,County",0,""
"377","Dublin,OH,City",0,""
"378","Dunwoody,GA,City",0,""
"379","Edina,MN,City",0,""
"380","El Paso,TX,County",0,""
"381","Euless,TX,City",0,""
"382","Evanston,IL,City",0,""
"383","Everett,MA,City",0,""
"384","Fairfax,VA,County",0,""
"385","Farmington Hills,MI,City",0,""
"386","Florissant,MO,City",0,""
"387","Flower Mound,TX,City",0,""
"388","Fort Bend,TX,County",0,""
"389","Galveston,TX,City",0,""
"390","Georgetown,TX,City",0,""
"391","Gilbert,AZ,City",0,""
"392","Glendale,CA,City",0,""
"393","Goodyear,AZ,City",0,""
"394","Green Township,OH,City",0,""
"395","Greenwich,CT,City",0,""
"396","Guaynabo",0,""
"397","Hamilton,TN,County",0,""
"398","Hanover,VA,County",0,""
"399","Harrisburg,PA,City",0,""
"400","Harrisonburg,VA,City",0,""
"401","Haverford,PA,City",0,""
"402","Hays,TX,County",0,""
"403","Kalamazoo,MI,County",0,""
"404","Kaufman,TX,County",0,""
"405","Kettering,OH,City",0,""
"406","Kyle,TX,City",0,""
"407","La Mesa,CA,City",0,""
"408","Lakeville,MN,City",0,""
"409","Lakewood,OH,City",0,""
"410","League City,TX,City",0,""
"411","Little Elm,TX,City",0,""
"412","Lorain,OH,City",0,""
"413","Loveland,CO,City",0,""
"414","Lower Paxton,PA,City",0,""
"415","Lynn,MA,City",0,""
"416","Macomb,MI,County",0,""
"417","Malden,MA,City",0,""
"418","Manchester,CT,City",0,""
"419","Mansfield,TX,City",0,""
"420","Marana,AZ,City",0,""
"421","Maricopa,AZ,City",0,""
"422","Mckinney,TX,City",0,""
"423","Methuen,MA,City",0,""
"424","Midland,TX,City",0,""
"425","Milford,CT,City",0,""
"426","Millcreek,PA,City",0,""
"427","Minnetonka,MN,City",0,""
"428","Mission,TX,City",0,""
"429","Missouri City,TX,City",0,""
"430","Mount Prospect,IL,City",0,""
"431","Mount Vernon,NY,City",0,""
"432","Nashua,NH,City",0,""
"433","Newport News,VA,City",0,""
"434","Newton,MA,City",0,""
"435","Normal,IL,City",0,""
"436","North Bergen Township,NJ,City",0,""
"437","North Richland Hills,TX,City",0,""
"438","Novi,MI,City",0,""
"439","Ottawa,MI,County",0,""
"440","Palatine,IL,City",0,""
"441","Parker,TX,County",0,""
"442","Parma,OH,City",0,""
"443","Peabody,MA,City",0,""
"444","Pflugerville,TX,City",0,""
"445","Pima,AZ,County",0,""
"446","Plymouth,MA,City",0,""
"447","Ponce",0,""
"448","Quincy,MA,City",0,""
"449","Rapid City,SD,City",0,""
"450","Revere,MA,City",0,""
"451","Rockwall,TX,City",0,""
"452","Rowlett,TX,City",0,""
"453","Royal Oak,MI,City",0,""
"454","Rutherford,TN,County",0,""
"455","San Juan",0,""
"456","San Marcos,TX,City",0,""
"457","Shelby Township,MI,City",0,""
"458","Shelby,TN,County",0,""
"459","Southfield,MI,City",0,""
"460","Sparks,NV,City",0,""
"461","Springfield,MA,City",0,""
"462","Springfield,OR,City",0,""
"463","St. Clair Shores,MI,City",0,""
"464","Stafford,VA,County",0,""
"465","State College,PA,City",0,""
"466","State Sample Counts_NM",0,""
"467","Sterling Heights,MI,City",0,""
"468","Stratford,CT,City",0,""
"469","Sugar Land,TX,City",0,""
"470","Taunton,MA,City",0,""
"471","Taylor,MI,City",0,""
"472","Temple,TX,City",0,""
"473","Texas City,TX,City",0,""
"474","Tinley Park,IL,City",0,""
"475","Toa Alta",0,""
"476","Toa Baja",0,""
"477","Tracy,CA,City",0,""
"478","Travis,TX,County",0,""
"479","Troy,MI,City",0,""
"480","Trujillo Alto",0,""
"481","Upper Darby,PA,City",0,""
"482","Vega Baja",0,""
"483","Victoria,TX,City",0,""
"484","Waltham,MA,City",0,""
"485","Warren,MI,City",0,""
"486","Washington,MD,County",0,""
"487","Washington,OR,County",0,""
"488","Washoe,NV,County",0,""
"489","Waterford Township,MI,City",0,""
"490","West Bloomfield Township,MI,City",0,""
"491","West Chester Township,OH,City",0,""
"492","Westminster,CA,City",0,""
"493","Weymouth,MA,City",0,""
"494","Williamson,TX,County",0,""
"495","Wright,MN,County",0,""
"496","Wylie,TX,City",0,""
