"","city_state","Agency Name","Murder","Rape","Robbery","Aggravated Assault","Burglary","Theft","Motor Vehicle Theft","Year","Month","State","vio_crime","prop_crime","Agency","Source.Link","Source.Type","Source.Method","Population","pop23","Latitude","Longitude","Comment","pub_agency_name","state_abbr","region_name","division_name","agency_type_name","population","State_ref"
"19","Austin, TX","Austin",5,42,63,242,374,1848,561,2024,1,"TX",352,2783,"Austin","https://txucr.nibrs.com/SRSReport/CrimeTrends, rape data for 2023 on from https://app.powerbigov.us/view?r=eyJrIjoiYmYyNTQ4NjgtNjhlMC00YjNiLWE0MDAtZTUwNWU5ZGIwNTk4IiwidCI6IjVjNWUxOWY2LWE2YWItNGI0NS1iMWQwLWJlNDYwOGE5YTY3ZiJ9","State UCR","Open Source",965234,978816,NA,NA,"","Austin","TX","South","West South Central","City",978816,"TX"
"20","Avondale, AZ","Avondale",0,2,4,12,19,152,26,2024,1,"AZ",18,197,"Avondale","https://azcrimestatistics.azdps.gov/","State UCR","Open Source",91467,92661,NA,NA,"","Avondale","AZ","West","Mountain","City",92661,"AZ"
"21","Bakersfield, CA","Bakersfield",1,4,61,74,285,967,284,2017,1,"CA",140,1536,"Bakersfield","https://www.bakersfieldcity.us/","Agency Aggregated","Provided by Agency",NA,413409,NA,NA,"","Bakersfield","CA","West","Pacific","City",413409,"CA"
"22","Baltimore, MD","Baltimore",32,31,586,580,736,1453,498,2017,1,"MD",1229,2687,"Baltimore","https://data.baltimorecity.gov/datasets/part-1-crime-data/explore","Agency RMS","Open Source",570546,565192,NA,NA,"","Baltimore","MD","South","South Atlantic","City",565192,"MD"
"23","Bartlett, TN","Bartlett",0,1,1,15,7,56,4,2017,1,"TN",17,67,"Bartlett","https://crimeinsight.tbi.tn.gov/public/View/dispview.aspx","State UCR","Open Source",56324,56324,NA,NA,"","Bartlett","TN","South","East South Central","City",56324,"TN"
"24","Battle Creek, MI","Battle Creek",0,9,2,27,24,81,6,2019,2,"MI",38,111,"Battle Creek","https://www.michigan.gov/msp/divisions/cjic/dashboard-portal/crime-dashboard","State UCR","Open Source",NA,60969,NA,NA,"","Battle Creek","MI","Midwest","East North Central","City",60969,"MI"
"25","Baytown, TX","Baytown",0,7,4,19,27,141,41,2024,1,"TX",30,209,"Baytown","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",81477,83809,NA,NA,"","Baytown","TX","South","West South Central","City",83809,"TX"
"26","Beaumont, TX","Beaumont",0,10,14,83,53,225,33,2024,1,"TX",107,311,"Beaumont","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",110898,110671,NA,NA,"","Beaumont","TX","South","West South Central","City",110671,"TX"
"27","Bellevue, NE","Bellevue",0,5,1,0,2,42,9,2024,1,"NE",6,53,"Bellevue","https://crimestats.ne.gov/public/View/RSReport.aspx?ReportId=1082","State UCR","Open Source",63178,62372,NA,NA,"","Bellevue","NE","Midwest","West North Central","City",62372,"NE"
"28","Bellingham, WA","Bellingham",0,NA,7,NA,NA,273,17,2017,1,"WA",7,290,"Bellingham","https://cob.org/gov/dept/police/news-police/crime-stats","Agency Aggregated","Open Source",93014,94968,NA,NA,"","Bellingham","WA","West","Pacific","City",94968,"WA"
"29","Bethlehem, PA","Bethlehem",0,6,1,6,12,60,9,2022,2,"PA",13,81,"Bethlehem","https://www.ucr.pa.gov/PAUCRSPUBLIC/SRSReport/CrimeTrends","State UCR","Open Source",75619,78606,NA,NA,"Inferred Dec 2019 from annual average","Bethlehem","PA","Northeast","Middle Atlantic","City",78606,"PA"
"30","Blaine, MN","Blaine",0,1,3,5,8,107,8,2018,2,"MN",9,123,"Blaine","https://cde.state.mn.us/","State UCR","Open Source",71368,72384,NA,NA,"","Blaine","MN","Midwest","West North Central","City",72384,"MN"
"31","Bloomington, MN","Bloomington",2,4,4,5,13,230,32,2023,2,"MN",15,275,"Bloomington","https://cde.state.mn.us/","State UCR","Open Source",88745,86793,NA,NA,"","Bloomington","MN","Midwest","West North Central","City",86793,"MN"
"32","Blue Springs, MO","Blue Springs",0,3,0,11,9,95,7,2024,1,"MO",14,111,"Blue Springs","https://showmecrime.mo.gov/","State UCR","Open Source",60093,59896,NA,NA,"","Blue Springs","MO","Midwest","West North Central","City",59896,"MO"
"33","Bolingbrook, IL","Bolingbrook",0,0,2,11,7,56,10,2017,1,"IL",13,73,"Bolingbrook","https://ilucr.nibrs.com/AdvancedSearch/AdvancedSearch","State UCR","Open Source",73364,74138,NA,NA,"","Bolingbrook","IL","Midwest","East North Central","City",74138,"IL"
"34","Boston, MA","Boston",0,12,61,227,141,822,76,2024,1,"MA",300,1039,"Boston","https://www.mass.gov/crime-statistics","State UCR","Provided by State UCR Program",638925,642823,NA,NA,"","Boston","MA","Northeast","New England","City",642823,"MA"
"35","Bridgeport, CT","Bridgeport",0,5,20,32,23,92,38,2024,1,"CT",57,153,"Bridgeport","https://ct.beyond2020.com/ct_public/Dim/dimension.aspx","State UCR","Open Source",148395,148483,NA,NA,"","Bridgeport","CT","Northeast","New England","City",148483,"CT"
"36","Bristol, CT","Bristol",0,0,3,2,6,28,12,2023,2,"CT",5,46,"Bristol","https://ct.beyond2020.com/ct_public/Dim/dimension.aspx","State UCR","Open Source",60657,61609,NA,NA,"","Bristol","CT","Northeast","New England","City",61609,"CT"
"37","Brockton, MA","Brockton",1,5,16,46,18,97,28,2018,4,"MA",68,143,"Brockton","https://www.mass.gov/crime-statistics","State UCR","Provided by State UCR Program",110084,108938,NA,NA,"","Brockton","MA","Northeast","New England","City",108938,"MA"
"38","Brooklyn Park, MN","Brooklyn Park",0,2,6,17,20,113,34,2024,1,"MN",25,167,"Brooklyn Park","https://cde.state.mn.us/","State UCR","Open Source",82682,81920,NA,NA,"","Brooklyn Park","MN","Midwest","West North Central","City",81920,"MN"
"39","Broomfield, CO","Broomfield",0,7,0,3,13,140,18,2018,5,"CO",10,171,"Broomfield","https://coloradocrimestats.state.co.us/public/View/dispview.aspx","State UCR","Open Source",76137,77072,NA,NA,"","Broomfield","CO","West","Mountain","City",77072,"CO"
"40","Brownsville, TX","Brownsville",0,4,12,61,24,210,90,2024,1,"TX",77,324,"Brownsville","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",188906,190590,NA,NA,"","Brownsville","TX","South","West South Central","City",190590,"TX"
"41","Buckeye, AZ","Buckeye",0,5,2,10,4,56,10,2023,2,"AZ",17,70,"Buckeye","https://azcrimestatistics.azdps.gov/","State UCR","Open Source",110002,112048,NA,NA,"","Buckeye","AZ","West","Mountain","City",112048,"AZ"
"42","Buffalo, NY","Buffalo",8,15,75,94,165,496,63,2017,1,"NY",192,724,"Buffalo","https://data.buffalony.gov/Public-Safety/Monthly-Uniform-Crime-Reporting-UCR-Program-Statis/xxu9-yrhd/data","Agency Aggregated","Open Source",275710,275922,NA,NA,"","Buffalo","NY","Northeast","Middle Atlantic","City",275922,"NY"
"43","Burbank, CA","Burbank",0,0,7,13,33,247,27,2017,1,"CA",20,307,"Burbank","https://www.burbankpd.org/crime-information/crime-statistics/","Agency Aggregated","Open Source",103516,102345,NA,NA,"","Burbank","CA","West","Pacific","City",102345,"CA"
"44","Burleson, TX","Burleson",0,2,0,5,3,31,7,2024,1,"TX",7,41,"Burleson","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",55356,56307,NA,NA,"","Burleson","TX","South","West South Central","City",56307,"TX"
"45","Burnsville, MN","Burnsville",0,2,2,9,7,125,15,2021,2,"MN",13,147,"Burnsville","https://cde.state.mn.us/","State UCR","Open Source",63361,63650,NA,NA,"","Burnsville","MN","Midwest","West North Central","City",63650,"MN"
"46","Caldwell, ID","Caldwell",0,2,0,16,3,25,8,2024,1,"ID",18,36,"Caldwell","https://nibrs.isp.idaho.gov/CrimeInIdaho/AdvancedSearch/AdvancedSearch","State UCR","Open Source",66940,68731,NA,NA,"","Caldwell","ID","West","Mountain","City",68731,"ID"
"47","Cambridge, MA","Cambridge",0,4,7,18,23,153,12,2018,5,"MA",29,188,"Cambridge","https://www.mass.gov/crime-statistics","State UCR","Provided by State UCR Program",117044,118960,NA,NA,"","Cambridge","MA","Northeast","New England","City",118960,"MA"
"48","Canton Township, MI","Canton Township",1,2,0,9,2,69,10,2024,1,"MI",12,81,"Canton Township","https://www.michigan.gov/msp/divisions/cjic/dashboard-portal/crime-dashboard","State UCR","Open Source",NA,98915,NA,NA,"","Canton Township","MI","Midwest","East North Central","City",98915,"MI"
"49","Canton, OH","Canton",1,12,9,66,49,187,30,2021,1,"OH",88,266,"Canton","https://ocjs.ohio.gov/","State UCR","Provided by State UCR Program",70070,69164,NA,NA,"","Canton","OH","Midwest","East North Central","City",69164,"OH"
"50","Carlsbad, CA","Carlsbad",0,2,3,14,34,147,10,2024,1,"CA",19,191,"Carlsbad","https://crimestats.arjis.org/default.aspx","Agency Aggregated","Open Source",115531,113796,NA,NA,"","Carlsbad","CA","West","Pacific","City",113796,"CA"
"51","Carrollton, TX","Carrollton",1,1,8,6,16,133,34,2024,1,"TX",16,183,"Carrollton","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",133610,134261,NA,NA,"Inferred Aug-Dec 2019 from annual average","Carrollton","TX","South","West South Central","City",134261,"TX"
"52","Castle Rock, CO","Castle Rock",0,0,0,1,4,65,0,2022,2,"CO",1,69,"Castle Rock","https://coloradocrimestats.state.co.us/public/View/dispview.aspx","State UCR","Open Source",79102,83546,NA,NA,"","Castle Rock","CO","West","Mountain","City",83546,"CO"
"53","Cedar Park, TX","Cedar Park",0,3,0,2,4,80,12,2024,1,"TX",5,96,"Cedar Park","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",79353,77464,NA,NA,"","Cedar Park","TX","South","West South Central","City",77464,"TX"
"54","Centennial, CO","Centennial",0,1,2,6,25,142,27,2018,6,"CO",9,194,"Centennial","https://coloradocrimestats.state.co.us/public/View/dispview.aspx","State UCR","Open Source",105849,104724,NA,NA,"","Centennial","CO","West","Mountain","City",104724,"CO"
"55","Champaign, IL","Champaign",0,5,12,36,66,177,16,2017,1,"IL",53,259,"Champaign","https://ilucr.nibrs.com/AdvancedSearch/AdvancedSearch","State UCR","Open Source",89815,89687,NA,NA,"","Champaign","IL","Midwest","East North Central","City",89687,"IL"
"56","Chandler, AZ","Chandler",0,11,5,27,33,364,41,2022,2,"AZ",43,438,"Chandler","https://azcrimestatistics.azdps.gov/","State UCR","Open Source",281373,282419,NA,NA,"","Chandler","AZ","West","Mountain","City",282419,"AZ"
"57","Charlotte, NC","Charlotte",9,35,190,182,577,2055,268,2017,1,"NC",416,2900,"Charlotte","https://data.charlottenc.gov/search?q=CMPD","Agency RMS","Open Source",955466,979304,NA,NA,"","Charlotte-Mecklenburg","NC","South","South Atlantic","City",979304,"NC"
"58","Chattanooga, TN","Chattanooga",2,3,43,98,135,567,81,2017,1,"TN",146,783,"Chattanooga","https://crimeinsight.tbi.tn.gov/public/View/dispview.aspx","Agency RMS","Open Source",182603,185370,NA,NA,"","Chattanooga","TN","South","East South Central","City",185370,"TN"
"59","Chesapeake, VA","Chesapeake",1,6,18,72,50,447,24,2017,10,"VA",97,521,"Chesapeake","https://vsp.virginia.gov/","State UCR","Provided by State UCR Program",253745,254051,NA,NA,"","Chesapeake","VA","South","South Atlantic","City",254051,"VA"
