"","city_state","Agency Name","Murder","Rape","Robbery","Aggravated Assault","Burglary","Theft","Motor Vehicle Theft","Year","Month","State","Population","pop23","Violent Crime","Property Crime","agency_num"
"106","Glendale, CA","Glendale",1,2,18,11,34,197,22,2017,6,"CA",188599,"185923",32,253,1
"107","Goodyear, AZ","Goodyear",0,0,2,9,7,134,11,2022,10,"AZ",107212,"109929",11,152,1
"108","Grand Island, NE","Grand Island",0,5,0,19,37,127,7,2017,7,"NE",51733,"52264",24,171,1
"109","Grand Junction, CO","Grand Junction",0,6,3,42,17,200,19,2024,8,"CO",68126,"69240",51,236,1
"110","Grand Prairie, TX","Grand Prairie",0,2,9,24,22,249,51,2021,1,"TX",199663,"205487",35,322,1
"111","Grand Rapids, MI","Grand Rapids",1,6,17,60,44,173,25,2019,11,"MI",196662,"196019",84,242,1
"112","Grapevine, TX","Grapevine",0,0,1,4,7,69,12,2019,1,"TX",50988,"51458",5,88,1
"113","Greeley, CO","Greeley",1,6,8,22,34,117,18,2019,3,"CO",109258,"109183",37,169,1
"114","Green Township, OH","Green Township",0,0,0,2,6,41,1,2021,3,"OH",59568,"59277",2,48,1
"115","Greensboro, NC","Greensboro",1,6,57,120,211,712,87,2019,7,"NC",298719,"303237",184,1010,1
"116","Gresham, OR","Gresham",2,6,5,13,39,175,69,2017,4,"OR",111590,"110225",26,283,1
"117","Harlingen, TX","Harlingen",0,1,1,17,24,168,8,2018,3,"TX",72047,"71581",19,200,1
"118","Harrisburg, PA","Harrisburg",1,2,4,33,13,32,21,2023,3,"PA",50201,"50229",40,66,1
"119","Haverford, PA","Haverford",0,0,2,0,6,33,-1,2017,1,"PA",50505,"50505",2,38,1
"120","Haverhill, MA","Haverhill",0,2,0,51,22,71,13,2019,7,"MA",67359,"67133",53,106,1
"121","Henderson, NV","Henderson",0,10,19,45,85,414,70,2021,11,"NV",325332,"337794",74,569,1
"122","Hillsboro, OR","Hillsboro",0,9,1,10,17,153,15,2017,6,"OR",106345,"107459",20,185,1
"123","Honolulu, HI","Honolulu",0,NA,72,115,347,1921,321,2018,7,"HI",994799,"987546",187,2589,1
"124","Houston, TX","Houston",25,107,531,1434,1203,6116,1633,2023,4,"TX",2276533,"2304406",2097,8952,1
"125","Idaho Falls, ID","Idaho Falls",0,2,0,12,20,50,4,2019,9,"ID",68162,"68662",14,74,1
"126","Independence, MO","Independence",2,4,8,18,57,391,117,2018,3,"MO",121255,"120326",32,565,1
"127","Indianapolis, IN","Indianapolis",13,49,271,593,631,1854,376,2018,12,"IN",886455,"887131",926,2861,1
"128","Irving, TX","Irving",0,10,27,25,74,439,74,2020,1,"TX",254141,"255203",62,587,1
"129","Jackson, MI","Jackson",0,5,3,11,6,71,7,2018,3,"MI",31206,"Not Found",19,84,1
"130","Joplin, MO","Joplin",0,6,3,14,39,210,25,2019,2,"MO",51989,"52881",23,274,1
"131","Kansas City, MO","Kansas City",6,28,147,510,348,1002,302,2017,3,"MO",508856,"509855",691,1652,1
"132","Killeen, TX","Killeen",3,6,7,75,22,94,35,2024,8,"TX",159546,"161968",91,151,1
"133","Knoxville, TN","Knoxville",3,14,23,123,146,623,82,2017,8,"TN",194724,"198132",163,851,1
"134","Kyle, TX","Kyle",0,1,2,1,6,42,9,2017,3,"TX",57724,"63931",4,57,1
"135","La Mesa, CA","La Mesa",0,1,3,9,13,47,11,2019,1,"CA",60333,"60008",13,71,1
"136","Lake Havasu City, AZ","Lake Havasu City",0,3,2,6,14,58,2,2018,7,"AZ",59166,"59720",11,74,1
"137","Lakeville, MN","Lakeville",0,0,0,0,9,39,1,2017,5,"MN",75548,"76929",0,49,1
"138","Lancaster, PA","Lancaster",1,2,7,11,7,70,34,2023,5,"PA",57295,"57213",21,111,1
"139","Laredo, TX","Laredo",1,11,6,39,16,236,14,2021,7,"TX",256973,"256542",57,266,1
"140","Las Vegas, NV","Las Vegas",11,NA,173,433,934,2325,610,2019,7,"NV",1667961,"1670226",617,3869,1
"141","League City, TX","League City",1,5,0,3,8,67,8,2021,6,"TX",116511,"115791",9,83,1
"142","Leander, TX","Leander",0,0,1,1,3,47,1,2018,1,"TX",73905,"82228",2,51,1
"143","Lee's Summit, MO","Lee's Summit",0,2,1,3,16,162,11,2018,8,"MO",103976,"104402",6,189,1
"144","Lewisville, TX","Lewisville",0,3,15,14,22,181,20,2019,1,"TX",113568,"133694",32,223,1
"145","Lexington, KY","Lexington",4,15,25,35,84,663,140,2022,8,"KY",320983,"319994",79,887,1
"146","Lincoln, NE","Lincoln",0,28,11,70,44,533,57,2023,4,"NE",293937,"293155",109,634,1
"147","Little Elm, TX","Little Elm",0,1,1,1,1,12,1,2019,2,"TX",55340,"59954",3,14,1
"148","Little Rock, AR","Little Rock",3,22,16,184,146,740,80,2018,4,"AR",201513,"202986",225,966,1
"149","Long Beach, CA","Long Beach",2,29,59,131,181,671,270,2020,11,"CA",447528,"444415",221,1122,1
"150","Longmont, CO","Longmont",0,3,4,27,30,199,37,2021,3,"CO",101159,"98444",34,266,1
"151","Longview, TX","Longview",0,7,0,21,44,133,19,2018,4,"TX",81811,"82981",28,196,1
"152","Lorain, OH","Lorain",0,0,4,31,28,86,8,2021,9,"OH",65536,"65436",35,122,1
"153","Los Angeles, CA","Los Angeles",41,NA,NA,NA,NA,NA,NA,2020,10,"CA",3809182,"3786018",41,0,1
"154","Louisville, KY","Louisville",4,28,111,241,448,1821,397,2018,10,"KY",677554,"669468",384,2666,1
"155","Lower Merion, PA","Lower Merion",0,0,2,3,5,49,4,2022,2,"PA",64642,"64350",5,58,1
"156","Lower Paxton, PA","Lower Paxton",0,2,2,7,9,33,9,2023,8,"PA",54552,"55204",11,51,1
"157","Lubbock, TX","Lubbock",2,29,52,165,191,724,103,2019,6,"TX",264142,"266960",248,1018,1
"158","Lynn, MA","Lynn",1,1,5,38,22,58,18,2024,4,"MA",101056,"101144",45,98,1
"159","Manchester, NH","Manchester",0,8,8,53,34,211,18,2017,8,"NH",114650,"114963",69,263,1
"160","Mansfield, TX","Mansfield",0,2,2,1,3,42,5,2020,2,"TX",75993,"78788",5,50,1
"161","Maple Grove, MN","Maple Grove",0,0,0,2,14,100,6,2017,5,"MN",70935,"70729",2,120,1
