"","city_state","Agency Name","Murder","Rape","Robbery","Aggravated Assault","Burglary","Theft","Motor Vehicle Theft","Year","Month","State","Population","pop23","Violent Crime","Property Crime","agency_num"
"1","Abilene, TX","Abilene",1,2,5,35,29,138,13,2024,3,"TX",125186,"128387",43,180,1
"2","Abington, PA","Abington",0,2,5,2,1,60,1,2022,2,"PA",58432,"58433",9,62,1
"3","Albany, GA","Albany",0,2,14,78,58,170,18,2019,2,"GA",68613,"66281",94,246,1
"4","Allen, TX","Allen",0,4,0,8,7,69,6,2018,2,"TX",108135,"114696",12,82,1
"5","Allentown, PA","Allentown",0,3,18,26,46,170,20,2017,2,"PA",125917,"124782",47,236,1
"6","Antioch, CA","Antioch",0,3,16,33,35,94,40,2021,12,"CA",114338,"115271",52,169,1
"7","Apple Valley, MN","Apple Valley",0,1,1,7,4,76,5,2023,3,"MN",55145,"54995",9,85,1
"8","Arlington Heights, IL","Arlington Heights",0,0,0,1,13,31,10,2024,3,"IL",74094,"74094",1,54,1
"9","Arlington, TX","Arlington",3,33,39,123,162,828,115,2017,5,"TX",391591,"394799",198,1105,1
"10","Arvada, CO","Arvada",0,2,4,13,42,203,45,2020,4,"CO",122403,"120200",19,290,1
"11","Asheville, NC","Asheville",1,NA,15,19,27,246,33,2018,5,"NC",93729,"93471",35,306,1
"12","Atlanta, GA","Atlanta",17,NA,114,261,171,1367,379,2020,10,"GA",495707,"500212",392,1917,1
"13","Aurora, CO","Aurora",2,28,81,181,154,716,498,2021,2,"CO",392134,"396976",292,1368,1
"14","Austin, TX","Austin",1,52,73,158,356,1906,150,2017,2,"TX",965234,"978816",284,2412,1
"15","Baltimore, MD","Baltimore",20,13,303,539,215,1252,548,2023,3,"MD",570546,"565192",875,2015,1
"16","Baytown, TX","Baytown",0,4,5,16,26,139,37,2019,3,"TX",81477,"83809",25,202,1
"17","Beaumont, TX","Beaumont",3,12,12,72,64,193,16,2024,3,"TX",110898,"110671",99,273,1
"18","Beaverton, OR","Beaverton",0,3,5,6,20,109,18,2017,1,"OR",98991,"96840",14,147,1
"19","Bellevue, NE","Bellevue",1,3,1,1,7,68,9,2019,12,"NE",63178,"62372",6,84,1
"20","Bellingham, WA","Bellingham",1,NA,16,NA,NA,293,62,2022,2,"WA",93014,"94968",17,355,1
"21","Bend, OR","Bend",0,2,1,7,17,140,7,2018,5,"OR",104649,"105099",10,164,1
"22","Bensalem, PA","Bensalem",0,0,7,3,6,64,4,2019,2,"PA",62782,"62595",10,74,1
"23","Bethlehem, PA","Bethlehem",0,2,2,10,7,69,0,2019,3,"PA",75619,"78606",14,76,1
"24","Blaine, MN","Blaine",0,1,0,5,5,85,6,2023,4,"MN",71368,"72384",6,96,1
"25","Bloomington, MN","Bloomington",0,9,5,14,18,164,17,2020,6,"MN",88745,"86793",28,199,1
"26","Blue Springs, MO","Blue Springs",0,1,2,6,11,78,7,2019,3,"MO",60093,"59896",9,96,1
"27","Boise, ID","Boise",0,3,5,32,11,143,17,2024,2,"ID",239074,"236949",40,171,1
"28","Bolingbrook, IL","Bolingbrook",0,3,0,3,4,14,1,2021,6,"IL",73364,"74138",6,19,1
"29","Boston, MA","Boston",0,21,71,305,92,877,98,2024,6,"MA",638925,"642823",397,1067,1
"30","Boulder, CO","Boulder",0,2,4,19,35,244,24,2024,8,"CO",103099,"104232",25,303,1
"31","Bridgeport, CT","Bridgeport",1,6,56,57,52,202,79,2017,6,"CT",148395,"148483",120,333,1
"32","Bristol, CT","Bristol",0,0,2,2,7,48,9,2022,2,"CT",60657,"61609",4,64,1
"33","Brockton, MA","Brockton",0,8,9,47,30,93,44,2024,5,"MA",110084,"108938",64,167,1
"34","Brooklyn Park, MN","Brooklyn Park",0,1,12,12,31,175,26,2021,11,"MN",82682,"81920",25,232,1
"35","Broomfield, CO","Broomfield",0,1,0,5,13,147,15,2017,6,"CO",76137,"77072",6,175,1
"36","Buckeye, AZ","Buckeye",0,3,0,8,12,96,7,2020,12,"AZ",110002,"112048",11,115,1
"37","Buffalo, NY","Buffalo",2,18,77,144,175,647,65,2017,6,"NY",275710,"275922",241,887,1
"38","Burbank, CA","Burbank",0,1,8,27,39,212,28,2024,7,"CA",103516,"102345",36,279,1
"39","Burleson, TX","Burleson",0,4,2,6,1,41,9,2024,7,"TX",55356,"56307",12,51,1
"40","Burnsville, MN","Burnsville",0,0,3,3,7,113,3,2017,2,"MN",63361,"63650",6,123,1
"41","Cambridge, MA","Cambridge",0,4,7,23,12,175,6,2021,5,"MA",117044,"118960",34,193,1
"42","Carlsbad, CA","Carlsbad",0,4,3,4,24,140,16,2021,4,"CA",115531,"113796",11,180,1
"43","Casper, WY","Casper",0,NA,NA,NA,NA,NA,NA,2017,1,"WY",58543,"58169",0,0,1
"44","Castle Rock, CO","Castle Rock",0,2,0,1,4,70,0,2019,9,"CO",79102,"83546",3,74,1
"45","Cedar Park, TX","Cedar Park",0,0,0,1,2,31,5,2024,8,"TX",79353,"77464",1,38,1
"46","Centennial, CO","Centennial",1,0,2,6,48,202,47,2021,12,"CO",105849,"104724",9,297,1
"47","Champaign, IL","Champaign",1,7,5,33,36,182,13,2020,1,"IL",89815,"89687",46,231,1
"48","Chandler, AZ","Chandler",2,5,2,21,36,398,38,2022,12,"AZ",281373,"282419",30,472,1
