ID,agency,month,year,date,crime,value
1659,Salem PD MIP,1,2022,1/1/2022,Burglary,26
1660,Salem PD MIP,1,2022,1/1/2022,Larceny,80
1661,Salem PD MIP,1,2022,1/1/2022,MVT,30
1662,Salem PD MIP,1,2022,1/1/2022,Murder,2
1663,Salem PD MIP,1,2022,1/1/2022,Rape,2
1664,Salem PD MIP,1,2022,1/1/2022,Robbery,11
1665,Salem PD MIP,1,2023,1/1/2023,Agg Assault,26
1666,Salem PD MIP,1,2023,1/1/2023,Arson,8
1667,Salem PD MIP,1,2023,1/1/2023,Burglary,23
1668,Salem PD MIP,1,2023,1/1/2023,Larceny,77
1669,Salem PD MIP,1,2023,1/1/2023,MVT,30
1670,Salem PD MIP,1,2023,1/1/2023,Murder,1
1671,Salem PD MIP,1,2023,1/1/2023,Rape,1
1672,Salem PD MIP,1,2023,1/1/2023,Robbery,11
1673,Salem PD MIP,2,2022,2/1/2022,Agg Assault,24
1674,Salem PD MIP,2,2022,2/1/2022,Arson,7
1675,Salem PD MIP,2,2022,2/1/2022,Burglary,24
1676,Salem PD MIP,2,2022,2/1/2022,Larceny,72
1677,Salem PD MIP,2,2022,2/1/2022,MVT,28
1678,Salem PD MIP,2,2022,2/1/2022,Murder,0
1679,Salem PD MIP,2,2022,2/1/2022,Rape,2
1680,Salem PD MIP,2,2022,2/1/2022,Robbery,12
1681,Salem PD MIP,2,2023,2/1/2023,Agg Assault,19
1682,Salem PD MIP,2,2023,2/1/2023,Arson,7
1683,Salem PD MIP,2,2023,2/1/2023,Burglary,26
1684,Salem PD MIP,2,2023,2/1/2023,Larceny,71
1685,Salem PD MIP,2,2023,2/1/2023,MVT,23
1686,Salem PD MIP,2,2023,2/1/2023,Murder,1
1687,Salem PD MIP,2,2023,2/1/2023,Rape,0
1688,Salem PD MIP,2,2023,2/1/2023,Robbery,10
1689,Salem PD MIP,3,2022,3/1/2022,Agg Assault,23
1690,Salem PD MIP,3,2022,3/1/2022,Arson,9
1691,Salem PD MIP,3,2022,3/1/2022,Burglary,26
1692,Salem PD MIP,3,2022,3/1/2022,Larceny,75
1693,Salem PD MIP,3,2022,3/1/2022,MVT,30
1694,Salem PD MIP,3,2022,3/1/2022,Murder,0
1695,Salem PD MIP,3,2022,3/1/2022,Rape,3
1696,Salem PD MIP,3,2022,3/1/2022,Robbery,16
1697,Salem PD MIP,3,2023,3/1/2023,Agg Assault,20
1698,Salem PD MIP,3,2023,3/1/2023,Arson,9
1699,Salem PD MIP,3,2023,3/1/2023,Burglary,28
1700,Salem PD MIP,3,2023,3/1/2023,Larceny,82
1701,Salem PD MIP,3,2023,3/1/2023,MVT,27
1702,Salem PD MIP,3,2023,3/1/2023,Murder,0
1703,Salem PD MIP,3,2023,3/1/2023,Rape,1
1704,Salem PD MIP,3,2023,3/1/2023,Robbery,16
1705,Salem PD MIP,4,2022,4/1/2022,Agg Assault,26
1706,Salem PD MIP,4,2022,4/1/2022,Arson,5
1707,Salem PD MIP,4,2022,4/1/2022,Burglary,27
1708,Salem PD MIP,4,2022,4/1/2022,Larceny,76
1709,Salem PD MIP,4,2022,4/1/2022,MVT,29
1710,Salem PD MIP,4,2022,4/1/2022,Murder,2
1711,Salem PD MIP,4,2022,4/1/2022,Rape,3
1712,Salem PD MIP,4,2022,4/1/2022,Robbery,10
1713,Salem PD MIP,4,2023,4/1/2023,Agg Assault,23
1714,Salem PD MIP,4,2023,4/1/2023,Arson,2
1715,Salem PD MIP,4,2023,4/1/2023,Burglary,24
1716,Salem PD MIP,4,2023,4/1/2023,Larceny,79
1717,Salem PD MIP,4,2023,4/1/2023,MVT,27
1718,Salem PD MIP,4,2023,4/1/2023,Murder,0
1719,Salem PD MIP,4,2023,4/1/2023,Rape,1
1720,Salem PD MIP,4,2023,4/1/2023,Robbery,8
1721,Salem PD MIP,5,2022,5/1/2022,Agg Assault,24
1722,Salem PD MIP,5,2022,5/1/2022,Arson,13
1723,Salem PD MIP,5,2022,5/1/2022,Burglary,27
1724,Salem PD MIP,5,2022,5/1/2022,Larceny,77
1725,Salem PD MIP,5,2022,5/1/2022,MVT,29
1726,Salem PD MIP,5,2022,5/1/2022,Murder,0
1727,Salem PD MIP,5,2022,5/1/2022,Rape,5
1728,Salem PD MIP,5,2022,5/1/2022,Robbery,16
1729,Salem PD MIP,5,2023,5/1/2023,Agg Assault,25
1730,Salem PD MIP,5,2023,5/1/2023,Arson,12
1731,Salem PD MIP,5,2023,5/1/2023,Burglary,24
1732,Salem PD MIP,5,2023,5/1/2023,Larceny,77
1733,Salem PD MIP,5,2023,5/1/2023,MVT,27
1734,Salem PD MIP,5,2023,5/1/2023,Murder,2
1735,Salem PD MIP,5,2023,5/1/2023,Rape,2
1736,Salem PD MIP,5,2023,5/1/2023,Robbery,10
1737,Salem PD MIP,6,2022,6/1/2022,Agg Assault,23
1738,Salem PD MIP,6,2022,6/1/2022,Arson,3
1739,Salem PD MIP,6,2022,6/1/2022,Burglary,24
1740,Salem PD MIP,6,2022,6/1/2022,Larceny,73
1741,Salem PD MIP,6,2022,6/1/2022,MVT,29
1742,Salem PD MIP,6,2022,6/1/2022,Murder,0
1743,Salem PD MIP,6,2022,6/1/2022,Rape,4
1744,Salem PD MIP,6,2022,6/1/2022,Robbery,14
1745,Salem PD MIP,6,2023,6/1/2023,Agg Assault,24
1746,Salem PD MIP,6,2023,6/1/2023,Arson,8
1747,Salem PD MIP,6,2023,6/1/2023,Burglary,26
1748,Salem PD MIP,6,2023,6/1/2023,Larceny,74
1749,Salem PD MIP,6,2023,6/1/2023,MVT,27
1750,Salem PD MIP,6,2023,6/1/2023,Murder,1
1751,Salem PD MIP,6,2023,6/1/2023,Rape,1
1752,Salem PD MIP,6,2023,6/1/2023,Robbery,13
1753,Salem PD MIP,7,2022,7/1/2022,Agg Assault,25
1754,Salem PD MIP,7,2022,7/1/2022,Arson,15
1755,Salem PD MIP,7,2022,7/1/2022,Burglary,25
1756,Salem PD MIP,7,2022,7/1/2022,Larceny,78
1757,Salem PD MIP,7,2022,7/1/2022,MVT,29
1758,Salem PD MIP,7,2022,7/1/2022,Murder,1
1759,Salem PD MIP,7,2022,7/1/2022,Rape,4
1760,Salem PD MIP,7,2022,7/1/2022,Robbery,8
1761,Salem PD MIP,7,2023,7/1/2023,Agg Assault,24
1762,Salem PD MIP,7,2023,7/1/2023,Arson,11
1763,Salem PD MIP,7,2023,7/1/2023,Burglary,25
1764,Salem PD MIP,7,2023,7/1/2023,Larceny,81
1765,Salem PD MIP,7,2023,7/1/2023,MVT,29
1766,Salem PD MIP,7,2023,7/1/2023,Murder,1
1767,Salem PD MIP,7,2023,7/1/2023,Rape,1
1768,Salem PD MIP,7,2023,7/1/2023,Robbery,16
1769,Salem PD MIP,8,2022,8/1/2022,Agg Assault,26
1770,Salem PD MIP,8,2022,8/1/2022,Arson,13
1771,Salem PD MIP,8,2022,8/1/2022,Burglary,29
1772,Salem PD MIP,8,2022,8/1/2022,Larceny,81
1773,Salem PD MIP,8,2022,8/1/2022,MVT,31
1774,Salem PD MIP,8,2022,8/1/2022,Murder,2
1775,Salem PD MIP,8,2022,8/1/2022,Rape,3
1776,Salem PD MIP,8,2022,8/1/2022,Robbery,14
1777,Salem PD MIP,8,2023,8/1/2023,Agg Assault,26
1778,Salem PD MIP,8,2023,8/1/2023,Arson,11
1779,Salem PD MIP,8,2023,8/1/2023,Burglary,24
1780,Salem PD MIP,8,2023,8/1/2023,Larceny,79
1781,Salem PD MIP,8,2023,8/1/2023,MVT,25
1782,Salem PD MIP,8,2023,8/1/2023,Murder,1
1783,Salem PD MIP,8,2023,8/1/2023,Rape,1
1784,Salem PD MIP,8,2023,8/1/2023,Robbery,15
1785,Salem PD MIP,9,2022,9/1/2022,Agg Assault,25
1786,Salem PD MIP,9,2022,9/1/2022,Arson,12
1787,Salem PD MIP,9,2022,9/1/2022,Burglary,27
1788,Salem PD MIP,9,2022,9/1/2022,Larceny,79
1789,Salem PD MIP,9,2022,9/1/2022,MVT,26
1790,Salem PD MIP,9,2022,9/1/2022,Murder,1
1791,Salem PD MIP,9,2022,9/1/2022,Rape,2
1792,Salem PD MIP,9,2022,9/1/2022,Robbery,12
1793,Salem PD MIP,9,2023,9/1/2023,Agg Assault,21
1794,Salem PD MIP,9,2023,9/1/2023,Arson,5
1795,Salem PD MIP,9,2023,9/1/2023,Burglary,27
1796,Salem PD MIP,9,2023,9/1/2023,Larceny,77
1797,Salem PD MIP,9,2023,9/1/2023,MVT,28
1798,Salem PD MIP,9,2023,9/1/2023,Murder,0
1799,Salem PD MIP,9,2023,9/1/2023,Rape,0
1800,Salem PD MIP,9,2023,9/1/2023,Robbery,10
1801,Salem PD MIP,10,2022,10/1/2022,Agg Assault,22
1802,Salem PD MIP,10,2022,10/1/2022,Arson,10
1803,Salem PD MIP,10,2022,10/1/2022,Burglary,28
1804,Salem PD MIP,10,2022,10/1/2022,Larceny,79
1805,Salem PD MIP,10,2022,10/1/2022,MVT,30
1806,Salem PD MIP,10,2022,10/1/2022,Murder,0
1807,Salem PD MIP,10,2022,10/1/2022,Rape,1
1808,Salem PD MIP,10,2022,10/1/2022,Robbery,12
1809,Salem PD MIP,10,2023,10/1/2023,Agg Assault,19
1810,Salem PD MIP,10,2023,10/1/2023,Arson,4
1811,Salem PD MIP,10,2023,10/1/2023,Burglary,30
1812,Salem PD MIP,10,2023,10/1/2023,Larceny,76
1813,Salem PD MIP,10,2023,10/1/2023,MVT,29
1814,Salem PD MIP,10,2023,10/1/2023,Murder,1
1815,Salem PD MIP,10,2023,10/1/2023,Rape,2
1816,Salem PD MIP,10,2023,10/1/2023,Robbery,9
1817,Salem PD MIP,11,2022,11/1/2022,Agg Assault,19
1818,Salem PD MIP,11,2022,11/1/2022,Arson,8
1819,Salem PD MIP,11,2022,11/1/2022,Burglary,25
1820,Salem PD MIP,11,2022,11/1/2022,Larceny,78
1821,Salem PD MIP,11,2022,11/1/2022,MVT,28
1822,Salem PD MIP,11,2022,11/1/2022,Murder,0
1823,Salem PD MIP,11,2022,11/1/2022,Rape,2
1824,Salem PD MIP,11,2022,11/1/2022,Robbery,7
1825,Salem PD MIP,11,2023,11/1/2023,Agg Assault,20
1826,Salem PD MIP,11,2023,11/1/2023,Arson,11
1827,Salem PD MIP,11,2023,11/1/2023,Burglary,25
1828,Salem PD MIP,11,2023,11/1/2023,Larceny,72
1829,Salem PD MIP,11,2023,11/1/2023,MVT,29
1830,Salem PD MIP,11,2023,11/1/2023,Murder,1
1831,Salem PD MIP,11,2023,11/1/2023,Rape,1
1832,Salem PD MIP,11,2023,11/1/2023,Robbery,13
1833,Salem PD MIP,12,2022,12/1/2022,Agg Assault,22
1834,Salem PD MIP,12,2022,12/1/2022,Arson,10
1835,Salem PD MIP,12,2022,12/1/2022,Burglary,25
1836,Salem PD MIP,12,2022,12/1/2022,Larceny,75
1837,Salem PD MIP,12,2022,12/1/2022,MVT,31
1838,Salem PD MIP,12,2022,12/1/2022,Murder,0
1839,Salem PD MIP,12,2022,12/1/2022,Rape,2
1840,Salem PD MIP,12,2022,12/1/2022,Robbery,7
1841,Springfield PD,1,2022,1/1/2022,Agg Assault,10
1842,Springfield PD,1,2022,1/1/2022,Arson,4
1843,Springfield PD,1,2022,1/1/2022,Burglary,19
1844,Springfield PD,1,2022,1/1/2022,Larceny,50
1845,Springfield PD,1,2022,1/1/2022,MVT,18
1846,Springfield PD,1,2022,1/1/2022,Murder,0
1847,Springfield PD,1,2022,1/1/2022,Rape,2
1848,Springfield PD,1,2022,1/1/2022,Robbery,1
1849,Springfield PD,1,2023,1/1/2023,Agg Assault,11
1850,Springfield PD,1,2023,1/1/2023,Arson,0
1851,Springfield PD,1,2023,1/1/2023,Burglary,14
1852,Springfield PD,1,2023,1/1/2023,Larceny,52
1853,Springfield PD,1,2023,1/1/2023,MVT,13
1854,Springfield PD,1,2023,1/1/2023,Murder,0
1855,Springfield PD,1,2023,1/1/2023,Rape,2
1856,Springfield PD,1,2023,1/1/2023,Robbery,7
1857,Springfield PD,2,2022,2/1/2022,Agg Assault,3
1858,Springfield PD,2,2022,2/1/2022,Arson,2
1859,Springfield PD,2,2022,2/1/2022,Burglary,15
1860,Springfield PD,2,2022,2/1/2022,Larceny,45
1861,Springfield PD,2,2022,2/1/2022,MVT,19
1862,Springfield PD,2,2022,2/1/2022,Murder,0
1863,Springfield PD,2,2022,2/1/2022,Rape,1
1864,Springfield PD,2,2022,2/1/2022,Robbery,4
1865,Springfield PD,2,2023,2/1/2023,Agg Assault,5
1866,Springfield PD,2,2023,2/1/2023,Arson,0
1867,Springfield PD,2,2023,2/1/2023,Burglary,13
1868,Springfield PD,2,2023,2/1/2023,Larceny,55
1869,Springfield PD,2,2023,2/1/2023,MVT,7
1870,Springfield PD,2,2023,2/1/2023,Murder,0
1871,Springfield PD,2,2023,2/1/2023,Rape,0
1872,Springfield PD,2,2023,2/1/2023,Robbery,4
1873,Springfield PD,3,2022,3/1/2022,Agg Assault,9
1874,Springfield PD,3,2022,3/1/2022,Arson,2
1875,Springfield PD,3,2022,3/1/2022,Burglary,14
1876,Springfield PD,3,2022,3/1/2022,Larceny,47
1877,Springfield PD,3,2022,3/1/2022,MVT,10
1878,Springfield PD,3,2022,3/1/2022,Murder,0
1879,Springfield PD,3,2022,3/1/2022,Rape,1
1880,Springfield PD,3,2022,3/1/2022,Robbery,3
1881,Springfield PD,3,2023,3/1/2023,Agg Assault,9
1882,Springfield PD,3,2023,3/1/2023,Arson,2
1883,Springfield PD,3,2023,3/1/2023,Burglary,15
1884,Springfield PD,3,2023,3/1/2023,Larceny,62
1885,Springfield PD,3,2023,3/1/2023,MVT,10
1886,Springfield PD,3,2023,3/1/2023,Murder,0
1887,Springfield PD,3,2023,3/1/2023,Rape,2
1888,Springfield PD,3,2023,3/1/2023,Robbery,4
1889,Springfield PD,4,2022,4/1/2022,Agg Assault,4
1890,Springfield PD,4,2022,4/1/2022,Arson,1
1891,Springfield PD,4,2022,4/1/2022,Burglary,10
1892,Springfield PD,4,2022,4/1/2022,Larceny,46
1893,Springfield PD,4,2022,4/1/2022,MVT,9
1894,Springfield PD,4,2022,4/1/2022,Murder,1
1895,Springfield PD,4,2022,4/1/2022,Rape,1
1896,Springfield PD,4,2022,4/1/2022,Robbery,1
1897,Springfield PD,4,2023,4/1/2023,Agg Assault,9
1898,Springfield PD,4,2023,4/1/2023,Arson,1
1899,Springfield PD,4,2023,4/1/2023,Burglary,9
1900,Springfield PD,4,2023,4/1/2023,Larceny,59
1901,Springfield PD,4,2023,4/1/2023,MVT,12
1902,Springfield PD,4,2023,4/1/2023,Murder,0
1903,Springfield PD,4,2023,4/1/2023,Rape,1
1904,Springfield PD,4,2023,4/1/2023,Robbery,2
1905,Springfield PD,5,2022,5/1/2022,Agg Assault,7
1906,Springfield PD,5,2022,5/1/2022,Arson,2
1907,Springfield PD,5,2022,5/1/2022,Burglary,13
1908,Springfield PD,5,2022,5/1/2022,Larceny,55
1909,Springfield PD,5,2022,5/1/2022,MVT,16
1910,Springfield PD,5,2022,5/1/2022,Murder,0
1911,Springfield PD,5,2022,5/1/2022,Rape,1
1912,Springfield PD,5,2022,5/1/2022,Robbery,2
1913,Springfield PD,5,2023,5/1/2023,Agg Assault,7
1914,Springfield PD,5,2023,5/1/2023,Arson,0
1915,Springfield PD,5,2023,5/1/2023,Burglary,10
1916,Springfield PD,5,2023,5/1/2023,Larceny,47
1917,Springfield PD,5,2023,5/1/2023,MVT,10
1918,Springfield PD,5,2023,5/1/2023,Murder,0
1919,Springfield PD,5,2023,5/1/2023,Rape,2
1920,Springfield PD,5,2023,5/1/2023,Robbery,1
1921,Springfield PD,6,2022,6/1/2022,Agg Assault,8
1922,Springfield PD,6,2022,6/1/2022,Arson,1
1923,Springfield PD,6,2022,6/1/2022,Burglary,12
1924,Springfield PD,6,2022,6/1/2022,Larceny,52
1925,Springfield PD,6,2022,6/1/2022,MVT,9
1926,Springfield PD,6,2022,6/1/2022,Murder,0
1927,Springfield PD,6,2022,6/1/2022,Rape,1
1928,Springfield PD,6,2022,6/1/2022,Robbery,4
1929,Springfield PD,6,2023,6/1/2023,Agg Assault,7
1930,Springfield PD,6,2023,6/1/2023,Arson,3
1931,Springfield PD,6,2023,6/1/2023,Burglary,13
1932,Springfield PD,6,2023,6/1/2023,Larceny,55
1933,Springfield PD,6,2023,6/1/2023,MVT,9
1934,Springfield PD,6,2023,6/1/2023,Murder,0
1935,Springfield PD,6,2023,6/1/2023,Rape,3
1936,Springfield PD,6,2023,6/1/2023,Robbery,3
1937,Springfield PD,7,2022,7/1/2022,Agg Assault,9
1938,Springfield PD,7,2022,7/1/2022,Arson,2
1939,Springfield PD,7,2022,7/1/2022,Burglary,17
1940,Springfield PD,7,2022,7/1/2022,Larceny,56
1941,Springfield PD,7,2022,7/1/2022,MVT,11
1942,Springfield PD,7,2022,7/1/2022,Murder,0
1943,Springfield PD,7,2022,7/1/2022,Rape,0
1944,Springfield PD,7,2022,7/1/2022,Robbery,5
1945,Springfield PD,7,2023,7/1/2023,Agg Assault,11
1946,Springfield PD,7,2023,7/1/2023,Arson,4
1947,Springfield PD,7,2023,7/1/2023,Burglary,15
1948,Springfield PD,7,2023,7/1/2023,Larceny,49
1949,Springfield PD,7,2023,7/1/2023,MVT,6
1950,Springfield PD,7,2023,7/1/2023,Murder,0
1951,Springfield PD,7,2023,7/1/2023,Rape,0
1952,Springfield PD,7,2023,7/1/2023,Robbery,2
1953,Springfield PD,8,2022,8/1/2022,Agg Assault,6
1954,Springfield PD,8,2022,8/1/2022,Arson,3
1955,Springfield PD,8,2022,8/1/2022,Burglary,14
1956,Springfield PD,8,2022,8/1/2022,Larceny,56
1957,Springfield PD,8,2022,8/1/2022,MVT,17
1958,Springfield PD,8,2022,8/1/2022,Murder,0
1959,Springfield PD,8,2022,8/1/2022,Rape,1
1960,Springfield PD,8,2022,8/1/2022,Robbery,2
1961,Springfield PD,8,2023,8/1/2023,Agg Assault,5
1962,Springfield PD,8,2023,8/1/2023,Arson,4
1963,Springfield PD,8,2023,8/1/2023,Burglary,8
1964,Springfield PD,8,2023,8/1/2023,Larceny,47
1965,Springfield PD,8,2023,8/1/2023,MVT,7
1966,Springfield PD,8,2023,8/1/2023,Murder,0
1967,Springfield PD,8,2023,8/1/2023,Rape,1
1968,Springfield PD,8,2023,8/1/2023,Robbery,1
1969,Springfield PD,9,2022,9/1/2022,Agg Assault,9
1970,Springfield PD,9,2022,9/1/2022,Arson,1
1971,Springfield PD,9,2022,9/1/2022,Burglary,11
1972,Springfield PD,9,2022,9/1/2022,Larceny,49
1973,Springfield PD,9,2022,9/1/2022,MVT,9
1974,Springfield PD,9,2022,9/1/2022,Murder,0
1975,Springfield PD,9,2022,9/1/2022,Rape,0
1976,Springfield PD,9,2022,9/1/2022,Robbery,3
1977,Springfield PD,9,2023,9/1/2023,Agg Assault,6
1978,Springfield PD,9,2023,9/1/2023,Arson,4
1979,Springfield PD,9,2023,9/1/2023,Burglary,13
1980,Springfield PD,9,2023,9/1/2023,Larceny,50
1981,Springfield PD,9,2023,9/1/2023,MVT,7
1982,Springfield PD,9,2023,9/1/2023,Murder,1
1983,Springfield PD,9,2023,9/1/2023,Rape,0
1984,Springfield PD,9,2023,9/1/2023,Robbery,1
1985,Springfield PD,10,2022,10/1/2022,Agg Assault,11
1986,Springfield PD,10,2022,10/1/2022,Arson,0
1987,Springfield PD,10,2022,10/1/2022,Burglary,8
1988,Springfield PD,10,2022,10/1/2022,Larceny,51
1989,Springfield PD,10,2022,10/1/2022,MVT,9
1990,Springfield PD,10,2022,10/1/2022,Murder,1
1991,Springfield PD,10,2022,10/1/2022,Rape,4
1992,Springfield PD,10,2022,10/1/2022,Robbery,4
1993,Springfield PD,10,2023,10/1/2023,Agg Assault,8
1994,Springfield PD,10,2023,10/1/2023,Arson,5
1995,Springfield PD,10,2023,10/1/2023,Burglary,10
1996,Springfield PD,10,2023,10/1/2023,Larceny,46
1997,Springfield PD,10,2023,10/1/2023,MVT,4
1998,Springfield PD,10,2023,10/1/2023,Murder,0
1999,Springfield PD,10,2023,10/1/2023,Rape,2
2000,Springfield PD,10,2023,10/1/2023,Robbery,3
2001,Springfield PD,11,2022,11/1/2022,Agg Assault,17
2002,Springfield PD,11,2022,11/1/2022,Arson,1
2003,Springfield PD,11,2022,11/1/2022,Burglary,15
2004,Springfield PD,11,2022,11/1/2022,Larceny,51
2005,Springfield PD,11,2022,11/1/2022,MVT,20
2006,Springfield PD,11,2022,11/1/2022,Murder,1
2007,Springfield PD,11,2022,11/1/2022,Rape,1
2008,Springfield PD,11,2022,11/1/2022,Robbery,3
2009,Springfield PD,11,2023,11/1/2023,Agg Assault,5
2010,Springfield PD,11,2023,11/1/2023,Arson,1
2011,Springfield PD,11,2023,11/1/2023,Burglary,12
2012,Springfield PD,11,2023,11/1/2023,Larceny,47
2013,Springfield PD,11,2023,11/1/2023,MVT,8
2014,Springfield PD,11,2023,11/1/2023,Murder,0
2015,Springfield PD,11,2023,11/1/2023,Rape,1
2016,Springfield PD,11,2023,11/1/2023,Robbery,4
2017,Springfield PD,12,2022,12/1/2022,Agg Assault,7
2018,Springfield PD,12,2022,12/1/2022,Arson,3
2019,Springfield PD,12,2022,12/1/2022,Burglary,11
2020,Springfield PD,12,2022,12/1/2022,Larceny,51
2021,Springfield PD,12,2022,12/1/2022,MVT,12
2022,Springfield PD,12,2022,12/1/2022,Murder,0
2023,Springfield PD,12,2022,12/1/2022,Rape,0
2024,Springfield PD,12,2022,12/1/2022,Robbery,5
2025,Tigard PD,1,2022,1/1/2022,Agg Assault,7
2026,Tigard PD,1,2022,1/1/2022,Arson,3
2027,Tigard PD,1,2022,1/1/2022,Burglary,13
2028,Tigard PD,1,2022,1/1/2022,Larceny,51
2029,Tigard PD,1,2022,1/1/2022,MVT,20
2030,Tigard PD,1,2022,1/1/2022,Murder,0
2031,Tigard PD,1,2022,1/1/2022,Rape,2
2032,Tigard PD,1,2022,1/1/2022,Robbery,7
2033,Tigard PD,1,2023,1/1/2023,Agg Assault,5
2034,Tigard PD,1,2023,1/1/2023,Arson,0
2035,Tigard PD,1,2023,1/1/2023,Burglary,14
2036,Tigard PD,1,2023,1/1/2023,Larceny,40
2037,Tigard PD,1,2023,1/1/2023,MVT,18
2038,Tigard PD,1,2023,1/1/2023,Murder,0
2039,Tigard PD,1,2023,1/1/2023,Rape,2
2040,Tigard PD,1,2023,1/1/2023,Robbery,2
2041,Tigard PD,2,2022,2/1/2022,Agg Assault,6
2042,Tigard PD,2,2022,2/1/2022,Arson,2
2043,Tigard PD,2,2022,2/1/2022,Burglary,16
2044,Tigard PD,2,2022,2/1/2022,Larceny,48
2045,Tigard PD,2,2022,2/1/2022,MVT,15
2046,Tigard PD,2,2022,2/1/2022,Murder,0
2047,Tigard PD,2,2022,2/1/2022,Rape,2
2048,Tigard PD,2,2022,2/1/2022,Robbery,5
2049,Tigard PD,2,2023,2/1/2023,Agg Assault,6
2050,Tigard PD,2,2023,2/1/2023,Arson,2
2051,Tigard PD,2,2023,2/1/2023,Burglary,15
2052,Tigard PD,2,2023,2/1/2023,Larceny,34
2053,Tigard PD,2,2023,2/1/2023,MVT,13
2054,Tigard PD,2,2023,2/1/2023,Murder,1
2055,Tigard PD,2,2023,2/1/2023,Rape,1
2056,Tigard PD,2,2023,2/1/2023,Robbery,5
2057,Tigard PD,3,2022,3/1/2022,Agg Assault,10
2058,Tigard PD,3,2022,3/1/2022,Arson,1
2059,Tigard PD,3,2022,3/1/2022,Burglary,17
2060,Tigard PD,3,2022,3/1/2022,Larceny,49
2061,Tigard PD,3,2022,3/1/2022,MVT,17
2062,Tigard PD,3,2022,3/1/2022,Murder,0
2063,Tigard PD,3,2022,3/1/2022,Rape,2
2064,Tigard PD,3,2022,3/1/2022,Robbery,1
2065,Tigard PD,3,2023,3/1/2023,Agg Assault,5
2066,Tigard PD,3,2023,3/1/2023,Arson,0
2067,Tigard PD,3,2023,3/1/2023,Burglary,14
2068,Tigard PD,3,2023,3/1/2023,Larceny,52
2069,Tigard PD,3,2023,3/1/2023,MVT,8
2070,Tigard PD,3,2023,3/1/2023,Murder,1
2071,Tigard PD,3,2023,3/1/2023,Rape,0
2072,Tigard PD,3,2023,3/1/2023,Robbery,2
2073,Tigard PD,4,2022,4/1/2022,Agg Assault,11
2074,Tigard PD,4,2022,4/1/2022,Arson,1
2075,Tigard PD,4,2022,4/1/2022,Burglary,16
2076,Tigard PD,4,2022,4/1/2022,Larceny,47
2077,Tigard PD,4,2022,4/1/2022,MVT,22
2078,Tigard PD,4,2022,4/1/2022,Murder,0
2079,Tigard PD,4,2022,4/1/2022,Rape,1
2080,Tigard PD,4,2022,4/1/2022,Robbery,5
2081,Tigard PD,4,2023,4/1/2023,Agg Assault,6
2082,Tigard PD,4,2023,4/1/2023,Arson,0
2083,Tigard PD,4,2023,4/1/2023,Burglary,12
2084,Tigard PD,4,2023,4/1/2023,Larceny,49
2085,Tigard PD,4,2023,4/1/2023,MVT,16
2086,Tigard PD,4,2023,4/1/2023,Murder,0
2087,Tigard PD,4,2023,4/1/2023,Rape,0
2088,Tigard PD,4,2023,4/1/2023,Robbery,5
2089,Tigard PD,5,2022,5/1/2022,Agg Assault,8
2090,Tigard PD,5,2022,5/1/2022,Arson,1
2091,Tigard PD,5,2022,5/1/2022,Burglary,16
2092,Tigard PD,5,2022,5/1/2022,Larceny,50
2093,Tigard PD,5,2022,5/1/2022,MVT,20
2094,Tigard PD,5,2022,5/1/2022,Murder,1
2095,Tigard PD,5,2022,5/1/2022,Rape,2
2096,Tigard PD,5,2022,5/1/2022,Robbery,5
2097,Tigard PD,5,2023,5/1/2023,Agg Assault,8
2098,Tigard PD,5,2023,5/1/2023,Arson,1
2099,Tigard PD,5,2023,5/1/2023,Burglary,18
2100,Tigard PD,5,2023,5/1/2023,Larceny,53
2101,Tigard PD,5,2023,5/1/2023,MVT,12
2102,Tigard PD,5,2023,5/1/2023,Murder,0
2103,Tigard PD,5,2023,5/1/2023,Rape,1
2104,Tigard PD,5,2023,5/1/2023,Robbery,3
2105,Tigard PD,6,2022,6/1/2022,Agg Assault,10
2106,Tigard PD,6,2022,6/1/2022,Arson,0
2107,Tigard PD,6,2022,6/1/2022,Burglary,10
2108,Tigard PD,6,2022,6/1/2022,Larceny,48
2109,Tigard PD,6,2022,6/1/2022,MVT,11
2110,Tigard PD,6,2022,6/1/2022,Murder,1
2111,Tigard PD,6,2022,6/1/2022,Rape,0
2112,Tigard PD,6,2022,6/1/2022,Robbery,5
2113,Tigard PD,6,2023,6/1/2023,Agg Assault,11
2114,Tigard PD,6,2023,6/1/2023,Arson,2
2115,Tigard PD,6,2023,6/1/2023,Burglary,11
2116,Tigard PD,6,2023,6/1/2023,Larceny,44
2117,Tigard PD,6,2023,6/1/2023,MVT,12
2118,Tigard PD,6,2023,6/1/2023,Murder,0
2119,Tigard PD,6,2023,6/1/2023,Rape,1
2120,Tigard PD,6,2023,6/1/2023,Robbery,3
2121,Tigard PD,7,2022,7/1/2022,Agg Assault,8
2122,Tigard PD,7,2022,7/1/2022,Arson,1
2123,Tigard PD,7,2022,7/1/2022,Burglary,10
2124,Tigard PD,7,2022,7/1/2022,Larceny,42
2125,Tigard PD,7,2022,7/1/2022,MVT,15
2126,Tigard PD,7,2022,7/1/2022,Murder,0
2127,Tigard PD,7,2022,7/1/2022,Rape,0
2128,Tigard PD,7,2022,7/1/2022,Robbery,7
2129,Tigard PD,7,2023,7/1/2023,Agg Assault,8
2130,Tigard PD,7,2023,7/1/2023,Arson,1
2131,Tigard PD,7,2023,7/1/2023,Burglary,14
