"","crime_type","data_entry","reported","unfounded","actual","cleared","minor"
"1","HOMICIDE","11","2","0","2","2","0"
"2","RAPE","20","4","1","3","2","1"
"3","ROBBERY","30","13","0","13","5","0"
"4","ASSAULT","40","287","1","286","94","9"
"5","BURGLARY","50","49","3","46","7","0"
"6","LARCENY","60","254","2","252","62","1"
"7","MVT","70","51","1","50","7","1"
