"","crime_type","data_entry","reported","unfounded","actual","cleared","minor"
"1","HOMICIDE","11","0","0","0","0","0"
"2","RAPE","20","12","0","12","0","0"
"3","ROBBERY","30","10","1","9","3","0"
"4","ASSAULT","40","297","12","285","96","8"
"5","BURGLARY","50","43","2","41","8","0"
"6","LARCENY","60","368","11","357","115","10"
"7","MVT","70","64","0","64","16","1"
