"Agency Name","Murder","Rape","Robbery","Aggravated Assault","Burglary","Theft","Motor Vehicle Theft","Year","Month","State","Type","Source","city_state","city_state_id","Agency_Type"
"Normal",NA,NA,NA,NA,NA,NA,NA,2025,11,"IL","City","Scrape","Normal,IL","Normal,IL,City","City"
"Anderson",NA,NA,NA,NA,NA,NA,NA,2025,10,"IN","City","CDE","Anderson,IN","Anderson,IN,City","City"
"Anderson",NA,NA,NA,NA,NA,NA,NA,2025,11,"IN","City","CDE","Anderson,IN","Anderson,IN,City","City"
"Bloomington",NA,NA,NA,NA,NA,NA,NA,2025,6,"IN","City","CDE","Bloomington,IN","Bloomington,IN,City","City"
"Bloomington",NA,NA,NA,NA,NA,NA,NA,2025,7,"IN","City","CDE","Bloomington,IN","Bloomington,IN,City","City"
"Bloomington",NA,NA,NA,NA,NA,NA,NA,2025,8,"IN","City","CDE","Bloomington,IN","Bloomington,IN,City","City"
"Bloomington",NA,NA,NA,NA,NA,NA,NA,2025,9,"IN","City","CDE","Bloomington,IN","Bloomington,IN,City","City"
"Bloomington",NA,NA,NA,NA,NA,NA,NA,2025,10,"IN","City","CDE","Bloomington,IN","Bloomington,IN,City","City"
"Bloomington",NA,NA,NA,NA,NA,NA,NA,2025,11,"IN","City","CDE","Bloomington,IN","Bloomington,IN,City","City"
"Elkhart",NA,NA,NA,NA,NA,NA,NA,2025,11,"IN","City","CDE","Elkhart,IN","Elkhart,IN,City","City"
"Evansville",NA,NA,NA,NA,NA,NA,NA,2025,11,"IN","City","CDE","Evansville,IN","Evansville,IN,City","City"
"Hammond",NA,NA,NA,NA,NA,NA,NA,2025,3,"IN","City","CDE","Hammond,IN","Hammond,IN,City","City"
"Hammond",NA,NA,NA,NA,NA,NA,NA,2025,4,"IN","City","CDE","Hammond,IN","Hammond,IN,City","City"
"Hammond",NA,NA,NA,NA,NA,NA,NA,2025,5,"IN","City","CDE","Hammond,IN","Hammond,IN,City","City"
"Hammond",NA,NA,NA,NA,NA,NA,NA,2025,6,"IN","City","CDE","Hammond,IN","Hammond,IN,City","City"
"Hammond",NA,NA,NA,NA,NA,NA,NA,2025,7,"IN","City","CDE","Hammond,IN","Hammond,IN,City","City"
