"city_state_id","Agency Name","Murder","Rape","Robbery","Aggravated Assault","Burglary","Theft","Motor Vehicle Theft","Year","Month","State.x","city_state.x","Agency_Type.x","vio_crime","prop_crime","Agency","State.y","Source.Link","Source.Type","Source.Method","pop23","Latitude","Longitude","Comment","ori","pub_agency_name","state_abbr","region_name","division_name","population","city_state.y","Agency_Type.y","State"
"Arlington,VA,County","Arlington",1,4,3,14,17,195,12,2017,1,"VA","Arlington,VA","County",22,224,"Arlington","VA","From VA","State UCR","Provided by State UCR Program",231844,NA,NA,"","VA0070100","Arlington","VA","South","South Atlantic",231844,"Arlington, VA","County","South"
"Asheville,NC,City","Asheville",2,5,16,24,52,245,24,2017,1,"NC","Asheville,NC","City",47,321,"Asheville","NC","From NC","State UCR","Provided by State UCR Program",93471,NA,NA,"","NC0110100","Asheville","NC","South","South Atlantic",93471,"Asheville, NC","City","South"
"Atlanta,GA,City","Atlanta",12,NA,130,145,317,1224,267,2017,1,"GA","Atlanta,GA","City",287,1808,"Atlanta","GA","https://experience.arcgis.com/experience/d5dd2be2977d40acb340ef42f80671b8/","Agency RMS","Open Source",500212,NA,NA,"","GAAPD0000","Atlanta","GA","South","South Atlantic",500212,"Atlanta, GA","City","South"
"Aurora,CO,City","Aurora",2,47,75,76,174,635,178,2017,1,"CO","Aurora,CO","City",200,987,"Aurora","CO","https://coloradocrimestats.state.co.us/public/View/dispview.aspx","State UCR","Open Source",396976,NA,NA,"","CO0010100","Aurora","CO","West","Mountain",396976,"Aurora, CO","City","West"
"Austin,TX,City","Austin",4,40,89,156,405,2479,267,2019,12,"TX","Austin,TX","City",289,3151,"Austin","TX","https://txucr.nibrs.com/SRSReport/CrimeTrends, rape data for 2023 on from https://app.powerbigov.us/view?r=eyJrIjoiYmYyNTQ4NjgtNjhlMC00YjNiLWE0MDAtZTUwNWU5ZGIwNTk4IiwidCI6IjVjNWUxOWY2LWE2YWItNGI0NS1iMWQwLWJlNDYwOGE5YTY3ZiJ9","State UCR","Open Source",978816,NA,NA,"","TX2270100","Austin","TX","South","West South Central",978816,"Austin, TX","City","South"
"Avondale,AZ,City","Avondale",0,4,8,12,50,208,17,2017,1,"AZ","Avondale,AZ","City",24,275,"Avondale","AZ","https://azcrimestatistics.azdps.gov/","State UCR","Open Source",92661,NA,NA,"","AZ0070100","Avondale","AZ","West","Mountain",92661,"Avondale, AZ","City","West"
"Bakersfield,CA,City","Bakersfield",1,4,61,74,285,967,284,2017,1,"CA","Bakersfield,CA","City",140,1536,"Bakersfield","CA","https://www.bakersfieldcity.us/","Agency Aggregated","Provided by Agency",413409,NA,NA,"","CA0150200","Bakersfield","CA","West","Pacific",413409,"Bakersfield, CA","City","West"
"Baltimore,MD,City","Baltimore",32,31,586,580,736,1453,498,2017,1,"MD","Baltimore,MD","City",1229,2687,"Baltimore","MD","https://data.baltimorecity.gov/datasets/part-1-crime-data/explore","Agency RMS","Open Source",565192,NA,NA,"","MDBPD0000","Baltimore","MD","South","South Atlantic",565192,"Baltimore, MD","City","South"
"Baltimore,MD,County","Baltimore",2,NA,174,214,363,1473,189,2017,1,"MD","Baltimore,MD","County",390,2025,"Baltimore","MD","https://opendata.baltimorecountymd.gov/pages/dash","Agency Aggregated","Open Source",845222,NA,NA,"","MD0030100","Baltimore","MD","South","South Atlantic",845222,"Baltimore, MD","County","South"
"Battle Creek,MI,City","Battle Creek",1,5,4,35,36,165,8,2019,5,"MI","Battle Creek,MI","City",45,209,"Battle Creek","MI","https://www.michigan.gov/msp/divisions/cjic/dashboard-portal/crime-dashboard","State UCR","Open Source",60969,NA,NA,"","MI1323700","Battle Creek","MI","Midwest","East North Central",60969,"Battle Creek, MI","City","Midwest"
