"ori","Agency Name","Murder","Rape","Robbery","Aggravated Assault","Burglary","Theft","Motor Vehicle Theft","Year","Month","State","Type","city_state","city_state_id","Agency_Type"
"ID0280100","Coeur D Alene",NA,NA,NA,NA,NA,NA,NA,2026,2,"ID","City","Coeur D Alene,ID","Coeur D Alene,ID,City","City"
"NY0015300","Colonie Town",NA,NA,NA,NA,NA,NA,NA,2026,2,"NY","City","Colonie Town,NY","Colonie Town,NY,City","City"
"AR0230100","Conway",NA,NA,NA,NA,NA,NA,NA,2026,2,"AR","City","Conway,AR","Conway,AR,City","City"
"TX1780200","Corpus Christi",NA,NA,NA,NA,NA,NA,NA,2026,2,"TX","City","Corpus Christi,TX","Corpus Christi,TX,City","City"
"OR0020100","Corvallis",NA,NA,NA,NA,NA,NA,NA,2026,2,"OR","City","Corvallis,OR","Corvallis,OR,City","City"
"CA0410600","Daly City",NA,NA,NA,NA,NA,NA,NA,2026,2,"CA","City","Daly City,CA","Daly City,CA,City","City"
"CT0003400","Danbury",NA,NA,2,3,4,49,9,2026,2,"CT","City","Danbury,CT","Danbury,CT,City","City"
"IL0162500","Des Plaines",NA,NA,NA,NA,NA,NA,NA,2026,2,"IL","City","Des Plaines,IL","Des Plaines,IL,City","City"
"NB0280000","Douglas",NA,NA,NA,NA,NA,NA,NA,2026,2,"NE","County","Douglas,NE","Douglas,NE,County","County"
"UT0181200","Draper",NA,NA,NA,NA,NA,NA,NA,2026,2,"UT","City","Draper,UT","Draper,UT,City","City"
"IA0310100","Dubuque",NA,NA,NA,NA,NA,NA,NA,2026,2,"IA","City","Dubuque,IA","Dubuque,IA,City","City"
"LA0170000","East Baton Rouge",NA,NA,NA,NA,NA,NA,NA,2026,2,"LA","County","East Baton Rouge,LA","East Baton Rouge,LA,County","County"
"OK0550300","Edmond",NA,NA,NA,NA,NA,NA,NA,2026,2,"OK","City","Edmond,OK","Edmond,OK,City","City"
"CA0370500","El Cajon",NA,NA,NA,NA,NA,NA,NA,2026,2,"CA","City","El Cajon,CA","El Cajon,CA,City","City"
"CA0192200","El Monte",NA,NA,NA,NA,NA,NA,NA,2026,2,"CA","City","El Monte,CA","El Monte,CA,City","City"
"CA0340H00","Elk Grove",NA,NA,NA,NA,NA,NA,NA,2026,2,"CA","City","Elk Grove,CA","Elk Grove,CA,City","City"
"IN0200100","Elkhart",NA,NA,NA,NA,NA,NA,NA,2026,2,"IN","City","Elkhart,IN","Elkhart,IN,City","City"
"OK0240100","Enid",NA,NA,NA,NA,NA,NA,NA,2026,2,"OK","City","Enid,OK","Enid,OK,City","City"
"CA0370600","Escondido",NA,NA,NA,NA,NA,NA,NA,2026,2,"CA","City","Escondido,CA","Escondido,CA,City","City"
"IL0163200","Evanston",NA,NA,NA,NA,NA,NA,NA,2026,2,"IL","City","Evanston,IL","Evanston,IL,City","City"
"IN0820100","Evansville",NA,NA,NA,NA,NA,NA,NA,2026,2,"IN","City","Evansville,IN","Evansville,IN,City","City"
"VA0290100","Fairfax",NA,NA,NA,NA,NA,NA,NA,2026,2,"VA","County","Fairfax,VA","Fairfax,VA,County","County"
"MA0030800","Fall River",NA,NA,NA,NA,NA,NA,NA,2026,2,"MA","City","Fall River,MA","Fall River,MA,City","City"
"AR0720100","Fayetteville",NA,NA,NA,NA,NA,NA,NA,2026,2,"AR","City","Fayetteville,AR","Fayetteville,AR,City","City"
"NC0260100","Fayetteville",NA,NA,NA,NA,NA,NA,NA,2026,2,"NC","City","Fayetteville,NC","Fayetteville,NC,City","City"
"IN0290700","Fishers",NA,NA,NA,NA,NA,NA,NA,2026,2,"IN","City","Fishers,IN","Fishers,IN,City","City"
"AZ0030100","Flagstaff",NA,NA,NA,NA,NA,NA,NA,2026,2,"AZ","City","Flagstaff,AZ","Flagstaff,AZ,City","City"
"GA0580000","Forsyth",NA,NA,NA,NA,NA,NA,NA,2026,2,"GA","County","Forsyth,GA","Forsyth,GA,County","County"
"AR0660100","Fort Smith",NA,NA,NA,NA,NA,NA,NA,2026,2,"AR","City","Fort Smith,AR","Fort Smith,AR,City","City"
"IN0020100","Fort Wayne",NA,NA,NA,NA,NA,NA,NA,2026,2,"IN","City","Fort Wayne,IN","Fort Wayne,IN,City","City"
"MA0091800","Framingham",NA,NA,NA,NA,NA,NA,NA,2026,2,"MA","City","Framingham,MA","Framingham,MA,City","City"
"CA0010500","Fremont",NA,NA,NA,NA,NA,NA,NA,2026,2,"CA","City","Fremont,CA","Fremont,CA,City","City"
"CA0300800","Fullerton",NA,NA,NA,NA,NA,NA,NA,2026,2,"CA","City","Fullerton,CA","Fullerton,CA,City","City"
"TX0840400","Galveston",NA,NA,NA,NA,NA,NA,NA,2026,2,"TX","City","Galveston,TX","Galveston,TX,City","City"
"ND0180100","Grand Forks",NA,NA,NA,NA,NA,NA,NA,2026,2,"ND","City","Grand Forks,ND","Grand Forks,ND,City","City"
"NB0400100","Grand Island",NA,NA,NA,NA,NA,NA,NA,2026,2,"NE","City","Grand Island,NE","Grand Island,NE,City","City"
"MT0070100","Great Falls",NA,NA,NA,NA,NA,NA,NA,2026,2,"MT","City","Great Falls,MT","Great Falls,MT,City","City"
"CO0620200","Greeley",NA,NA,NA,NA,NA,NA,NA,2026,2,"CO","City","Greeley,CO","Greeley,CO,City","City"
"NC0410200","Greensboro",NA,NA,NA,NA,NA,NA,NA,2026,2,"NC","City","Greensboro,NC","Greensboro,NC,City","City"
"NC0740300","Greenville",NA,NA,NA,NA,NA,NA,NA,2026,2,"NC","City","Greenville,NC","Greenville,NC,City","City"
"SC0230000","Greenville",NA,NA,NA,NA,NA,NA,NA,2026,2,"SC","County","Greenville,SC","Greenville,SC,County","County"
"CT0005700","Greenwich",NA,NA,NA,NA,NA,NA,NA,2026,2,"CT","City","Greenwich,CT","Greenwich,CT,City","City"
"IN0410300","Greenwood",NA,NA,NA,NA,NA,NA,NA,2026,2,"IN","City","Greenwood,IN","Greenwood,IN,City","City"
"GA0690000","Hall",NA,NA,NA,NA,NA,NA,NA,2026,2,"GA","County","Hall,GA","Hall,GA,County","County"
"CT0006200","Hamden",NA,NA,NA,NA,NA,NA,NA,2026,2,"CT","City","Hamden,CT","Hamden,CT,City","City"
"NJ0011200","Hamilton Township",NA,NA,NA,NA,NA,NA,NA,2026,2,"NJ","City","Hamilton Township,NJ","Hamilton Township,NJ,City","City"
"OH0310000","Hamilton",NA,NA,NA,NA,NA,NA,NA,2026,2,"OH","County","Hamilton,OH","Hamilton,OH,County","County"
"IN0450700","Hammond",NA,NA,NA,NA,NA,NA,NA,2026,2,"IN","City","Hammond,IN","Hammond,IN,City","City"
"VA1110000","Hampton",NA,NA,NA,NA,NA,NA,NA,2026,2,"VA","City","Hampton,VA","Hampton,VA,City","City"
"VA0420000","Hanover",NA,NA,NA,NA,NA,NA,NA,2026,2,"VA","County","Hanover,VA","Hanover,VA,County","County"
"VA1120000","Harrisonburg",NA,NA,NA,NA,NA,NA,NA,2026,2,"VA","City","Harrisonburg,VA","Harrisonburg,VA,City","City"
"CA0010600","Hayward",NA,NA,NA,NA,NA,NA,NA,2026,2,"CA","City","Hayward,CA","Hayward,CA,City","City"
"NY0290600","Hempstead Village",NA,NA,NA,NA,NA,NA,NA,2026,2,"NY","City","Hempstead Village,NY","Hempstead Village,NY,City","City"
"VA0430100","Henrico",NA,NA,NA,NA,NA,NA,NA,2026,2,"VA","County","Henrico,VA","Henrico,VA,County","County"
"GA0750500","Henry",NA,NA,NA,NA,NA,NA,NA,2026,2,"GA","County","Henry,GA","Henry,GA,County","County"
"MD0140100","Howard",NA,NA,NA,NA,NA,NA,NA,2026,2,"MD","County","Howard,MD","Howard,MD,County","County"
"NC0670100","Jacksonville",NA,NA,NA,NA,NA,NA,NA,2026,2,"NC","City","Jacksonville,NC","Jacksonville,NC,City","City"
"IN0100300","Jeffersonville",NA,NA,NA,NA,NA,NA,NA,2026,2,"IN","City","Jeffersonville,IN","Jeffersonville,IN,City","City"
"NJ0090600","Jersey City",NA,NA,NA,NA,NA,NA,NA,2026,2,"NJ","City","Jersey City,NJ","Jersey City,NJ,City","City"
"GA0605800","Johns Creek",NA,NA,NA,NA,NA,NA,NA,2026,2,"GA","City","Johns Creek,GA","Johns Creek,GA,City","City"
"TN0900100","Johnson City",NA,NA,NA,NA,NA,NA,NA,2026,2,"TN","City","Johnson City,TN","Johnson City,TN,City","City"
"AR0160100","Jonesboro",NA,NA,NA,NA,NA,NA,NA,2026,2,"AR","City","Jonesboro,AR","Jonesboro,AR,City","City"
"MI4185000","Kentwood",NA,NA,NA,NA,NA,NA,NA,2026,2,"MI","City","Kentwood,MI","Kentwood,MI,City","City"
"IN0340100","Kokomo",NA,NA,NA,NA,NA,NA,NA,2026,2,"IN","City","Kokomo,IN","Kokomo,IN,City","City"
"CA0370800","La Mesa",NA,NA,NA,NA,NA,NA,NA,2026,2,"CA","City","La Mesa,CA","La Mesa,CA,City","City"
"AZ0080400","Lake Havasu City",NA,NA,NA,NA,NA,NA,NA,2026,2,"AZ","City","Lake Havasu City,AZ","Lake Havasu City,AZ,City","City"
"CO0300400","Lakewood",NA,NA,NA,NA,NA,NA,NA,2026,2,"CO","City","Lakewood,CO","Lakewood,CO,City","City"
"OH0182600","Lakewood",NA,NA,NA,NA,NA,NA,NA,2026,2,"OH","City","Lakewood,OH","Lakewood,OH,City","City"
"SC0290000","Lancaster",NA,NA,NA,NA,NA,NA,NA,2026,2,"SC","County","Lancaster,SC","Lancaster,SC,County","County"
"UT0060300","Layton",NA,NA,NA,NA,NA,NA,NA,2026,2,"UT","City","Layton,UT","Layton,UT,City","City"
"NB0550100","Lincoln",NA,NA,NA,NA,NA,NA,NA,2026,2,"NE","City","Lincoln,NE","Lincoln,NE,City","City"
"AR0600200","Little Rock",NA,NA,NA,NA,NA,NA,NA,2026,2,"AR","City","Little Rock,AR","Little Rock,AR,City","City"
"CA0010700","Livermore",NA,NA,NA,NA,NA,NA,NA,2026,2,"CA","City","Livermore,CA","Livermore,CA,City","City"
"MI8253800","Livonia",NA,NA,NA,NA,NA,NA,NA,2026,2,"MI","City","Livonia,MI","Livonia,MI,City","City"
"UT0030100","Logan",NA,NA,NA,NA,NA,NA,NA,2026,2,"UT","City","Logan,UT","Logan,UT,City","City"
"CO0070400","Longmont",NA,NA,NA,NA,NA,NA,NA,2026,2,"CO","City","Longmont,CO","Longmont,CO,City","City"
"VA0530000","Loudoun",NA,NA,NA,NA,NA,NA,NA,2026,2,"VA","County","Loudoun,VA","Loudoun,VA,County","County"
"MA0092600","Lowell",NA,NA,NA,NA,NA,NA,NA,2026,2,"MA","City","Lowell,MA","Lowell,MA,City","City"
"VA1140000","Lynchburg",NA,NA,NA,NA,NA,NA,NA,2026,2,"VA","City","Lynchburg,VA","Lynchburg,VA,City","City"
