"city_state_id","ori.x","Agency Name","Murder","Rape","Robbery","Aggravated Assault","Burglary","Theft","Motor Vehicle Theft","Year","Month","Type","city_state.x","Agency_Type.x","vio_crime","prop_crime","Agency","Source.Link","Source.Type","Source.Method","pop23","Latitude","Longitude","Comment","X","ori.y","pub_agency_name","state_abbr","region_name","division_name","agency_name","state_abb","population_1","group","x7","x8","x9","count_of_murder","population","city_state.y","Agency_Type.y","State_ref","State"
"Ames,IA,City","IA0850100","Ames",0,2,0,3,15,77,3,2017,1,"City","Ames,IA","City",5,95,"Ames","From IA","State UCR","Provided by Agency",67186,NA,NA,"","","IA0850100","Ames",NA,"Midwest","West North Central","ames","IA",65426,"city 50,000 thru 99,999",NA,NA,NA,NA,67186,"Ames, IA","City","IA","IA"
"Anaheim,CA,City","CA0300100","Anaheim",4,12,23,51,125,576,133,2017,1,"City","Anaheim,CA","City",90,834,"Anaheim","https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/explorer/crime/crime-trend","Crime Data Explorer","Open Source",343147,NA,NA,"","","CA0300100","Anaheim",NA,"West","Pacific","anaheim","CA",338488,"city 250,000 thru 499,999",NA,NA,NA,NA,343147,"Anaheim, CA","City","CA","CA"
"Anderson,SC,County","SC0040000","Anderson",2,14,7,45,105,323,55,2017,1,"County","Anderson,SC","County",68,483,"Anderson","https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/explorer/crime/crime-trend","Crime Data Explorer","Open Source",164574,NA,NA,"","","SC0040000","Anderson",NA,"South","South Atlantic","anderson","SC",172689,"msa-county 100,000+",NA,NA,NA,NA,164574,"Anderson, SC","County","SC","SC"
"Ankeny,IA,City","IA0770100","Ankeny",0,1,2,4,17,52,2,2017,1,"City","Ankeny,IA","City",7,71,"Ankeny","From IA","State UCR","Provided by Agency",74233,NA,NA,"","","IA0770100","Ankeny",NA,"Midwest","West North Central","ankeny","IA",76547,"city 50,000 thru 99,999",NA,NA,NA,NA,74233,"Ankeny, IA","City","IA","IA"
"Ann Arbor,MI,City","MI8121800","Ann Arbor",0,7,6,9,13,130,3,2017,1,"City","Ann Arbor,MI","City",22,146,"Ann Arbor","https://www.michigan.gov/msp/divisions/cjic/dashboard-portal/crime-dashboard","State UCR","Open Source",118072,NA,NA,"","","MI8121800","Ann Arbor",NA,"Midwest","East North Central","ann arbor","MI",118025,"city 100,000 thru 249,999",NA,NA,NA,NA,118072,"Ann Arbor, MI","City","MI","MI"
"Antioch,CA,City","CA0070100","Antioch",1,4,30,25,56,160,80,2017,1,"City","Antioch,CA","City",60,296,"Antioch","https://www.antiochca.gov/police/crime-statistics/","Agency Aggregated","Open Source",115271,NA,NA,"","","CA0070100","Antioch",NA,"West","Pacific","antioch","CA",117675,"city 100,000 thru 249,999",NA,NA,NA,NA,115271,"Antioch, CA","City","CA","CA"
"Apex,NC,City","NC0920200","Apex",0,0,0,0,7,32,3,2017,1,"City","Apex,NC","City",0,42,"Apex","From NC","State UCR","Provided by State UCR Program",74105,NA,NA,"","","NC0920200","Apex",NA,"South","South Atlantic","apex","NC",74767,"city 50,000 thru 99,999",NA,NA,NA,NA,74105,"Apex, NC","City","NC","NC"
"Apple Valley,MN,City","MN0191000","Apple Valley",0,6,4,2,5,63,3,2017,1,"City","Apple Valley,MN","City",12,71,"Apple Valley","https://cde.state.mn.us/","State UCR","Open Source",54995,NA,NA,"","","MN0191000","Apple Valley",NA,"Midwest","West North Central","apple valley","MN",55028,"city 50,000 thru 99,999",NA,NA,NA,NA,54995,"Apple Valley, MN","City","MN","MN"
"Arcadia,CA,City","CA0190200","Arcadia",0,0,7,1,51,88,6,2017,1,"City","Arcadia,CA","City",8,145,"Arcadia","https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/explorer/crime/crime-trend","Crime Data Explorer","Open Source",53397,NA,NA,"","","CA0190200","Arcadia",NA,"West","Pacific","arcadia","CA",53397,"city 50,000 thru 99,999",NA,NA,NA,NA,54071,"Arcadia, CA","City","CA","CA"
"Arlington Heights,IL,City","IL0160200","Arlington Heights",0,1,2,3,7,58,2,2017,1,"City","Arlington Heights,IL","City",6,67,"Arlington Heights","https://ilucr.nibrs.com/AdvancedSearch/AdvancedSearch","State UCR","Open Source",74094,NA,NA,"","","IL0160200","Arlington Heights",NA,"Midwest","East North Central","arlington heights","IL",73545,"city 50,000 thru 99,999",NA,NA,NA,NA,74094,"Arlington Heights, IL","City","IL","IL"
