"city_state_id","ori.x","Agency Name","Murder","Rape","Robbery","Aggravated Assault","Burglary","Theft","Motor Vehicle Theft","Year","Month","Type","city_state.x","Agency_Type.x","vio_crime","prop_crime","Agency","Source.Link","Source.Type","Source.Method","pop23","Latitude","Longitude","Comment","X","ori.y","pub_agency_name","state_abbr","region_name","division_name","population","population_1","pop_diff","city_state.y","Agency_Type.y","State_ref","State"
"Davis,CA,City","CA0570100","Davis",0,0,5,3,15,117,11,2017,1,"City","Davis,CA","City",8,143,"Davis","https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/explorer/crime/crime-trend","Crime Data Explorer","Open Source",67193,NA,NA,"","","CA0570100","Davis",NA,"West","Pacific",67193,67181,12,"Davis, CA","City","CA","CA"
"Dayton,OH,City","OH0570200","Dayton",2,12,45,53,173,304,57,2017,1,"City","Dayton,OH","City",112,534,"Dayton","https://ocjs.ohio.gov/","State UCR","Provided by State UCR Program",135181,NA,NA,"","","OH0570200","Dayton",NA,"Midwest","East North Central",135181,136047,-866,"Dayton, OH","City","OH","OH"
"Dearborn Heights,MI,City","MI8234400","Dearborn Heights",0,1,4,18,26,50,14,2017,1,"City","Dearborn Heights,MI","City",23,90,"Dearborn Heights","https://www.michigan.gov/msp/divisions/cjic/dashboard-portal/crime-dashboard","Crime Data Explorer","Open Source",61420,NA,NA,"","","MI8234400","Dearborn Heights",NA,"Midwest","East North Central",61420,60548,872,"Dearborn Heights, MI","City","MI","MI"
"Dearborn,MI,City","MI8234300","Dearborn",0,0,3,15,30,158,31,2017,1,"City","Dearborn,MI","City",18,219,"Dearborn","https://www.michigan.gov/msp/divisions/cjic/dashboard-portal/crime-dashboard","Crime Data Explorer","Open Source",106747,NA,NA,"","","MI8234300","Dearborn",NA,"Midwest","East North Central",106747,105599,1148,"Dearborn, MI","City","MI","MI"
"Decatur,IL,City","IL0580200","Decatur",0,1,8,19,61,125,6,2017,1,"City","Decatur,IL","City",28,192,"Decatur","https://ilucr.nibrs.com/AdvancedSearch/AdvancedSearch","State UCR","Open Source",68301,NA,NA,"","","IL0580200","Decatur",NA,"Midwest","East North Central",68301,68221,80,"Decatur, IL","City","IL","IL"
"Denton,TX,City","TX0610200","Denton",0,12,3,21,51,170,20,2017,1,"City","Denton,TX","City",36,241,"Denton","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",155215,NA,NA,"","","TX0610200","Denton",NA,"South","West South Central",155215,172882,-17667,"Denton, TX","City","TX","TX"
"Denton,TX,County","TX0610000","Denton",0,1,0,4,9,24,5,2017,1,"County","Denton,TX","County",5,38,"Denton","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",160587,NA,NA,"","","TX0610000","Denton",NA,"South","West South Central",160587,151930,8657,"Denton, TX","County","TX","TX"
"Denver,CO,City","CODPD0000","Denver",5,68,113,214,334,1252,410,2017,1,"City","Denver,CO","City",400,1996,"Denver","https://coloradocrimestats.state.co.us/public/View/dispview.aspx","State UCR","Open Source",712222,NA,NA,"","","CODPD0000","Denver",NA,"West","Mountain",712222,733212,-20990,"Denver, CO","City","CO","CO"
"Des Moines,IA,City","IA0770300","Des Moines",4,9,25,68,168,474,92,2017,1,"City","Des Moines,IA","City",106,734,"Des Moines","From IA","Crime Data Explorer","Provided by Agency",209658,NA,NA,"Inferred Sep - Dec 2018 and Jan - Apr 2022 from annual average","","IA0770300","Des Moines",NA,"Midwest","West North Central",209658,212737,-3079,"Des Moines, IA","City","IA","IA"
"Desoto,TX,City","TX0570800","Desoto",1,6,9,10,39,97,21,2017,1,"City","Desoto,TX","City",26,157,"Desoto","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",56257,NA,NA,"","","TX0570800","Desoto",NA,"South","West South Central",56257,56851,-594,"Desoto, TX","City","TX","TX"
"Detroit,MI,City","MI8234900","Detroit",22,80,239,665,770,1118,841,2017,1,"City","Detroit,MI","City",1006,2729,"Detroit","https://data.detroitmi.gov/datasets/rms-crime-incidents","Agency RMS","Open Source",615501,NA,NA,"","","MI8234900","Detroit",NA,"Midwest","East North Central",615501,642155,-26654,"Detroit, MI","City","MI","MI"
"Douglas,CO,County","CO0180000","Douglas",1,26,1,10,43,133,23,2017,1,"County","Douglas,CO","County",38,199,"Douglas","https://coloradocrimestats.state.co.us/public/View/dispview.aspx","State UCR","Open Source",219477,NA,NA,"","","CO0180000","Douglas",NA,"West","Mountain",219477,231244,-11767,"Douglas, CO","County","CO","CO"
"Douglas,NE,County","NB0280000","Douglas",0,4,0,12,13,28,2,2017,1,"County","Douglas,NE","County",16,43,"Douglas","https://crimestats.ne.gov/public/View/RSReport.aspx?ReportId=1082","State UCR","Agency Aggregated",103973,NA,NA,"Inferred April, June, July and December 2017 from annual average","","NB0280000","Douglas",NA,"Midwest","West North Central",94490,103800,-9310,"Douglas, NE","County","NE","NE"
"Draper,UT,City","UT0181200","Draper",0,0,1,5,9,93,10,2017,1,"City","Draper,UT","City",6,112,"Draper","https://bci.utah.gov/crime-in-utah-dashboards/","Crime Data Explorer","Open Source",50588,NA,NA,"","","UT0181200","Draper",NA,"West","Mountain",50588,46435,4153,"Draper, UT","City","UT","UT"
"Dublin,OH,City","OH0250300","Dublin",0,0,0,2,8,37,1,2017,1,"City","Dublin,OH","City",2,46,"Dublin","https://ocjs.ohio.gov/","State UCR","Provided by State UCR Program",48799,NA,NA,"","","OH0250300","Dublin",NA,"Midwest","East North Central",48827,40725,8102,"Dublin, OH","City","OH","OH"
"Duluth,MN,City","MN0690600","Duluth",0,6,7,18,34,226,13,2017,1,"City","Duluth,MN","City",31,273,"Duluth","https://cde.state.mn.us/","State UCR","Open Source",86570,NA,NA,"","","MN0690600","Duluth",NA,"Midwest","West North Central",86570,88307,-1737,"Duluth, MN","City","MN","MN"
"Dunwoody,GA,City","GA0447100","Dunwoody",0,1,0,3,9,138,14,2017,1,"City","Dunwoody,GA","City",4,161,"Dunwoody","https://www.dunwoodyga.gov/police/crime-info-stats/crime-comparison","Agency Aggregated","Open Source",52505,NA,NA,"","","GA0447100","Dunwoody",NA,"South","South Atlantic",52505,51850,655,"Dunwoody, GA","City","GA","GA"
"Durham,NC,City","NC0320100","Durham",2,6,111,165,216,562,71,2017,1,"City","Durham,NC","City",284,849,"Durham","From NC","State UCR","Provided by State UCR Program",295788,NA,NA,"","","NC0320100","Durham",NA,"South","South Atlantic",295788,306696,-10908,"Durham, NC","City","NC","NC"
"East Hartford,CT,City","CT0004300","East Hartford",0,3,9,2,8,62,21,2017,1,"City","East Hartford,CT","City",14,91,"East Hartford","https://ct.beyond2020.com/ct_public/Dim/dimension.aspx","State UCR","Open Source",50625,NA,NA,"","","CT0004300","East Hartford",NA,"Northeast","New England",50625,51190,-565,"East Hartford, CT","City","CT","CT"
"Eau Claire,WI,City","WI0180100","Eau Claire",0,2,8,8,20,97,3,2017,1,"City","Eau Claire,WI","City",18,120,"Eau Claire","From WI","State UCR","Provided by State UCR Program",69859,NA,NA,"","","WI0180100","Eau Claire",NA,"Midwest","East North Central",69859,70653,-794,"Eau Claire, WI","City","WI","WI"
"Eden Prairie,MN,City","MN0272600","Eden Prairie",0,0,0,0,0,37,2,2017,1,"City","Eden Prairie,MN","City",0,39,"Eden Prairie","https://cde.state.mn.us/","State UCR","Open Source",61645,NA,NA,"","","MN0272600","Eden Prairie",NA,"Midwest","West North Central",61645,62593,-948,"Eden Prairie, MN","City","MN","MN"
"Edina,MN,City","MN0270600","Edina",0,0,1,0,5,52,1,2017,1,"City","Edina,MN","City",1,58,"Edina","https://cde.state.mn.us/","State UCR","Open Source",51980,NA,NA,"","","MN0270600","Edina",NA,"Midwest","West North Central",51980,53617,-1637,"Edina, MN","City","MN","MN"
"Edinburg,TX,City","TX1080400","Edinburg",0,9,1,9,37,254,20,2017,1,"City","Edinburg,TX","City",19,311,"Edinburg","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",106137,NA,NA,"","","TX1080400","Edinburg",NA,"South","West South Central",106137,110822,-4685,"Edinburg, TX","City","TX","TX"
"Edmond,OK,City","OK0550300","Edmond",1,0,1,16,7,80,5,2017,1,"City","Edmond,OK","City",18,92,"Edmond","https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/explorer/crime/crime-trend","Crime Data Explorer","Open Source",97063,NA,NA,"","","OK0550300","Edmond",NA,"South","West South Central",97063,100144,-3081,"Edmond, OK","City","OK","OK"
"El Cajon,CA,City","CA0370500","El Cajon",0,5,12,18,54,140,52,2017,1,"City","El Cajon,CA","City",35,246,"El Cajon","https://crimestats.arjis.org/default.aspx","Agency Aggregated","Open Source",103569,NA,NA,"","","CA0370500","El Cajon",NA,"West","Pacific",103569,102604,965,"El Cajon, CA","City","CA","CA"
"El Dorado,CA,County","CA0090000","El Dorado",1,2,1,20,51,121,5,2017,1,"County","El Dorado,CA","County",24,177,"El Dorado","https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/explorer/crime/crime-trend","Crime Data Explorer","Open Source",162436,NA,NA,"","","CA0090000","El Dorado",NA,"West","Pacific",162436,161044,1392,"El Dorado, CA","County","CA","CA"
"El Monte,CA,City","CA0192200","El Monte",0,3,16,21,69,121,65,2017,1,"City","El Monte,CA","City",40,255,"El Monte","https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/explorer/crime/crime-trend","Crime Data Explorer","Open Source",102088,NA,NA,"","","CA0192200","El Monte",NA,"West","Pacific",103463,103551,-88,"El Monte, CA","City","CA","CA"
"El Paso,CO,County","CO0210000","El Paso",0,24,1,20,35,162,18,2017,1,"County","El Paso,CO","County",45,215,"El Paso","https://coloradocrimestats.state.co.us/public/View/dispview.aspx","State UCR","Open Source",207095,NA,NA,"","","CO0210000","El Paso",NA,"West","Mountain",207095,210336,-3241,"El Paso, CO","County","CO","CO"
"El Paso,TX,City","TX0710200","El Paso",3,28,36,153,91,894,71,2017,1,"City","El Paso,TX","City",220,1056,"El Paso","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",676665,NA,NA,"","","TX0710200","El Paso",NA,"South","West South Central",676665,682310,-5645,"El Paso, TX","City","TX","TX"
"El Paso,TX,County","TX0710000","El Paso",0,6,1,18,22,43,6,2017,1,"County","El Paso,TX","County",25,71,"El Paso","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",116599,NA,NA,"","","TX0710000","El Paso",NA,"South","West South Central",116599,111217,5382,"El Paso, TX","County","TX","TX"
"Elizabeth,NJ,City","NJ0200400","Elizabeth",0,3,43,36,41,206,81,2017,1,"City","Elizabeth,NJ","City",82,328,"Elizabeth","https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/explorer/crime/crime-trend","Crime Data Explorer","Open Source",138500,NA,NA,"","","NJ0200400","Elizabeth",NA,"Northeast","Middle Atlantic",133578,141194,-7616,"Elizabeth, NJ","City","NJ","NJ"
"Elk Grove,CA,City","CA0340H00","Elk Grove",0,1,10,29,33,179,21,2017,1,"City","Elk Grove,CA","City",40,233,"Elk Grove","https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/explorer/crime/crime-trend","Crime Data Explorer","Open Source",177976,NA,NA,"","","CA0340H00","Elk Grove",NA,"West","Pacific",177976,184388,-6412,"Elk Grove, CA","City","CA","CA"
"Elyria,OH,City","OH0470400","Elyria",0,6,7,6,13,53,5,2017,1,"City","Elyria,OH","City",19,71,"Elyria","https://ocjs.ohio.gov/","State UCR","Provided by State UCR Program",53024,NA,NA,"","","OH0470400","Elyria",NA,"Midwest","East North Central",53024,53836,-812,"Elyria, OH","City","OH","OH"
"Enid,OK,City","OK0240100","Enid",0,1,3,8,28,81,11,2017,1,"City","Enid,OK","City",12,120,"Enid","https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/explorer/crime/crime-trend","Crime Data Explorer","Open Source",50382,NA,NA,"","","OK0240100","Enid",NA,"South","West South Central",50168,50360,-192,"Enid, OK","City","OK","OK"
"Erie,PA,City","PA0250200","Erie",2,3,11,15,30,109,11,2017,1,"City","Erie,PA","City",31,150,"Erie","https://www.ucr.pa.gov/PAUCRSPUBLIC/SRSReport/CrimeTrends","State UCR","Open Source",92920,NA,NA,"","","PA0250200","Erie",NA,"Northeast","Middle Atlantic",92920,92461,459,"Erie, PA","City","PA","PA"
"Escondido,CA,City","CA0370600","Escondido",0,4,22,38,36,174,38,2017,1,"City","Escondido,CA","City",64,248,"Escondido","https://crimestats.arjis.org/default.aspx","Agency Aggregated","Open Source",149837,NA,NA,"","","CA0370600","Escondido",NA,"West","Pacific",149837,148303,1534,"Escondido, CA","City","CA","CA"
"Eugene,OR,City","OR0200200","Eugene",1,11,10,16,94,360,47,2017,1,"City","Eugene,OR","City",38,501,"Eugene","https://www.oregon.gov/osp/pages/uniform-crime-reporting-data.aspx","State UCR","Open Source",178191,NA,NA,"","","OR0200200","Eugene",NA,"West","Pacific",178191,178886,-695,"Eugene, OR","City","OR","OR"
"Euless,TX,City","TX2200900","Euless",0,0,2,2,12,71,22,2017,1,"City","Euless,TX","City",4,105,"Euless","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",59722,NA,NA,"","","TX2200900","Euless",NA,"South","West South Central",59722,59746,-24,"Euless, TX","City","TX","TX"
"Evanston,IL,City","IL0163200","Evanston",0,0,0,2,27,96,6,2017,1,"City","Evanston,IL","City",2,129,"Evanston","https://ilucr.nibrs.com/AdvancedSearch/AdvancedSearch","State UCR","Open Source",74413,NA,NA,"","","IL0163200","Evanston",NA,"Midwest","East North Central",74413,75562,-1149,"Evanston, IL","City","IL","IL"
"Fairfield,CA,City","CA0480300","Fairfield",0,2,18,24,44,166,38,2017,1,"City","Fairfield,CA","City",44,248,"Fairfield","https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/explorer/crime/crime-trend","Crime Data Explorer","Open Source",119071,NA,NA,"","","CA0480300","Fairfield",NA,"West","Pacific",119071,123346,-4275,"Fairfield, CA","City","CA","CA"
"Fairfield,CT,City","CT0005100","Fairfield",0,3,1,0,1,32,8,2017,1,"City","Fairfield,CT","City",4,41,"Fairfield","https://ct.beyond2020.com/ct_public/Dim/dimension.aspx","State UCR","Open Source",63588,NA,NA,"","","CT0005100","Fairfield",NA,"Northeast","New England",63588,66290,-2702,"Fairfield, CT","City","CT","CT"
"Fall River,MA,City","MA0030800","Fall River",0,5,17,53,39,80,20,2017,1,"City","Fall River,MA","City",75,139,"Fall River","https://www.mass.gov/crime-statistics","State UCR","Provided by State UCR Program",93879,NA,NA,"","","MA0030800","Fall River",NA,"Northeast","New England",93879,94628,-749,"Fall River, MA","City","MA","MA"
"Fargo,ND,City","ND0090200","Fargo",0,11,8,15,28,225,34,2017,1,"City","Fargo,ND","City",34,287,"Fargo","https://crimestats.nd.gov/public/View/RSReport.aspx?ReportId=94","State UCR","Open Source",134268,NA,NA,"","","ND0090200","Fargo",NA,"Midwest","West North Central",134268,138990,-4722,"Fargo, ND","City","ND","ND"
"Farmington Hills,MI,City","MI6338900","Farmington Hills",0,1,0,4,11,55,7,2017,1,"City","Farmington Hills,MI","City",5,73,"Farmington Hills","https://www.michigan.gov/msp/divisions/cjic/dashboard-portal/crime-dashboard","Crime Data Explorer","Open Source",82223,NA,NA,"","","MI6338900","Farmington Hills",NA,"Midwest","East North Central",82223,84262,-2039,"Farmington Hills, MI","City","MI","MI"
"Fayetteville,AR,City","AR0720100","Fayetteville",0,8,6,22,32,236,20,2017,1,"City","Fayetteville,AR","City",36,288,"Fayetteville","https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/explorer/crime/crime-trend","Crime Data Explorer","Open Source",101624,NA,NA,"","","AR0720100","Fayetteville",NA,"South","West South Central",101624,105335,-3711,"Fayetteville, AR","City","AR","AR"
"Fishers,IN,City","IN0290700","Fishers",0,1,3,1,6,48,2,2017,1,"City","Fishers,IN","City",5,56,"Fishers","https://cde.state.mn.us/","Crime Data Explorer","Open Source",103247,NA,NA,"","","IN0290700","Fishers",NA,"Midwest","East North Central",103247,105143,-1896,"Fishers, IN","City","IN","IN"
"Flower Mound,TX,City","TX0611200","Flower Mound",0,1,1,3,3,40,0,2017,1,"City","Flower Mound,TX","City",5,43,"Flower Mound","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",79513,NA,NA,"","","TX0611200","Flower Mound",NA,"South","West South Central",79513,80200,-687,"Flower Mound, TX","City","TX","TX"
"Folsom,CA,City","CA0340100","Folsom",0,1,1,2,12,76,12,2017,1,"City","Folsom,CA","City",4,100,"Folsom","https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/explorer/crime/crime-trend","Crime Data Explorer","Open Source",84559,NA,NA,"","","CA0340100","Folsom",NA,"West","Pacific",84559,89999,-5440,"Folsom, CA","City","CA","CA"
"Fontana,CA,City","CA0360400","Fontana",4,NA,13,NA,83,200,75,2017,1,"City","Fontana,CA","City",17,358,"Fontana","https://www.fontanaca.gov/CivicAlerts.aspx?CID=32","Agency Aggregated","Open Source",214429,NA,NA,"","","CA0360400","Fontana",NA,"West","Pacific",214429,220837,-6408,"Fontana, CA","City","CA","CA"
"Forsyth,GA,County","GA0580000","Forsyth",1,2,2,1,27,97,0,2017,1,"County","Forsyth,GA","County",6,124,"Forsyth","https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/explorer/crime/crime-trend","Crime Data Explorer","Open Source",267417,NA,NA,"","","GA0580000","Forsyth",NA,"South","South Atlantic",267417,276364,-8947,"Forsyth, GA","County","GA","GA"
"Forsyth,NC,County","NC0340000","Forsyth",0,0,1,15,39,168,12,2017,1,"County","Forsyth,NC","County",16,219,"Forsyth","From NC","State UCR","Provided by State UCR Program",111773,NA,NA,"Inferred Dec 2018 - Jun 2019 from 2018 average","","NC0340000","Forsyth",NA,"South","South Atlantic",111773,114329,-2556,"Forsyth, NC","County","NC","NC"
"Fort Bend,TX,County","TX0790000","Fort Bend",1,7,14,48,75,257,13,2017,1,"County","Fort Bend,TX","County",70,345,"Fort Bend","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",578695,NA,NA,"","","TX0790000","Fort Bend",NA,"South","West South Central",578695,637444,-58749,"Fort Bend, TX","County","TX","TX"
