"Agency Name","Murder","Rape","Robbery","Aggravated Assault","Burglary","Theft","Motor Vehicle Theft","Year","Month","State","city_state","Agency_Type","city_state_id"
"Kokomo",NA,NA,NA,NA,NA,NA,NA,2025,10,"IN","Kokomo,IN","City","Kokomo,IN,City"
"Laguna Niguel",NA,NA,NA,NA,NA,NA,NA,2025,10,"CA","Laguna Niguel,CA","City","Laguna Niguel,CA,City"
"Lakewood",NA,NA,NA,NA,NA,NA,NA,2025,10,"CO","Lakewood,CO","City","Lakewood,CO,City"
"Lakewood",NA,NA,NA,NA,NA,NA,NA,2025,10,"OH","Lakewood,OH","City","Lakewood,OH,City"
"Lansing",NA,NA,NA,NA,NA,NA,NA,2025,10,"MI","Lansing,MI","City","Lansing,MI,City"
"Longmont",NA,NA,NA,NA,NA,NA,NA,2025,10,"CO","Longmont,CO","City","Longmont,CO,City"
"Lowell",NA,NA,NA,NA,NA,NA,NA,2025,10,"MA","Lowell,MA","City","Lowell,MA,City"
"Manchester",NA,NA,NA,NA,NA,NA,NA,2025,10,"CT","Manchester,CT","City","Manchester,CT,City"
"Marana",NA,NA,NA,NA,NA,NA,NA,2025,10,"AZ","Marana,AZ","City","Marana,AZ,City"
"Maricopa",NA,1,NA,10,9,51,1,2025,10,"AZ","Maricopa,AZ","City","Maricopa,AZ,City"
"Marietta",NA,NA,NA,NA,NA,NA,NA,2025,10,"GA","Marietta,GA","City","Marietta,GA,City"
"Medford",NA,NA,NA,NA,NA,NA,NA,2025,10,"OR","Medford,OR","City","Medford,OR,City"
"Memphis",NA,NA,NA,NA,NA,NA,NA,2025,10,"TN","Memphis,TN","City","Memphis,TN,City"
"Meriden",NA,NA,NA,NA,NA,NA,NA,2025,10,"CT","Meriden,CT","City","Meriden,CT,City"
"Middletown",NA,NA,NA,NA,NA,NA,NA,2025,10,"OH","Middletown,OH","City","Middletown,OH,City"
"Milford",NA,NA,NA,NA,NA,NA,NA,2025,10,"CT","Milford,CT","City","Milford,CT,City"
"Mission Viejo",NA,NA,NA,NA,NA,NA,NA,2025,10,"CA","Mission Viejo,CA","City","Mission Viejo,CA,City"
"Missoula",NA,NA,NA,NA,NA,NA,NA,2025,10,"MT","Missoula,MT","City","Missoula,MT,City"
"Missouri City",NA,NA,NA,NA,NA,NA,NA,2025,10,"TX","Missouri City,TX","City","Missouri City,TX,City"
"Mobile",NA,NA,NA,NA,NA,NA,NA,2025,10,"AL","Mobile,AL","City","Mobile,AL,City"
"Montgomery",NA,NA,NA,NA,NA,NA,NA,2025,10,"TX","Montgomery,TX","County","Montgomery,TX,County"
"Nampa",NA,NA,NA,NA,NA,NA,NA,2025,10,"ID","Nampa,ID","City","Nampa,ID,City"
"New Haven",NA,NA,NA,NA,NA,NA,NA,2025,10,"CT","New Haven,CT","City","New Haven,CT,City"
"New Rochelle",NA,NA,NA,NA,NA,NA,NA,2025,10,"NY","New Rochelle,NY","City","New Rochelle,NY,City"
"Newton",NA,NA,NA,NA,NA,NA,NA,2025,10,"MA","Newton,MA","City","Newton,MA,City"
"Norfolk",NA,NA,NA,NA,NA,NA,NA,2025,10,"VA","Norfolk,VA","City","Norfolk,VA,City"
"Normal",NA,NA,NA,NA,NA,NA,NA,2025,10,"IL","Normal,IL","City","Normal,IL,City"
"Novato",NA,NA,NA,NA,NA,NA,NA,2025,10,"CA","Novato,CA","City","Novato,CA,City"
"O'Fallon",NA,2,NA,4,2,29,3,2025,10,"MO","O'Fallon,MO","City","O'Fallon,MO,City"
"Onslow",NA,NA,NA,NA,NA,NA,NA,2025,10,"NC","Onslow,NC","County","Onslow,NC,County"
"Ottawa",NA,NA,NA,NA,NA,NA,NA,2025,10,"MI","Ottawa,MI","County","Ottawa,MI,County"
"Parma",NA,NA,NA,NA,NA,NA,NA,2025,10,"OH","Parma,OH","City","Parma,OH,City"
"Peabody",NA,NA,NA,NA,NA,NA,NA,2025,10,"MA","Peabody,MA","City","Peabody,MA,City"
"Peoria",NA,NA,NA,NA,NA,NA,NA,2025,10,"AZ","Peoria,AZ","City","Peoria,AZ,City"
"Plymouth",NA,NA,NA,NA,NA,NA,NA,2025,10,"MA","Plymouth,MA","City","Plymouth,MA,City"
"Port Arthur",NA,NA,NA,NA,NA,NA,NA,2025,10,"TX","Port Arthur,TX","City","Port Arthur,TX,City"
"Prince William",NA,NA,NA,NA,NA,NA,NA,2025,10,"VA","Prince William,VA","County","Prince William,VA,County"
"Provo",NA,NA,NA,NA,NA,NA,NA,2025,10,"UT","Provo,UT","City","Provo,UT,City"
"Pueblo",NA,NA,NA,NA,NA,NA,NA,2025,10,"CO","Pueblo,CO","City","Pueblo,CO,City"
"Roanoke",NA,NA,NA,NA,NA,NA,NA,2025,10,"VA","Roanoke,VA","City","Roanoke,VA,City"
"Rochester",NA,NA,NA,NA,NA,NA,NA,2025,10,"MN","Rochester,MN","City","Rochester,MN,City"
"Rocky Mount",NA,NA,NA,NA,NA,NA,NA,2025,10,"NC","Rocky Mount,NC","City","Rocky Mount,NC,City"
"Salem",NA,NA,NA,NA,NA,NA,NA,2025,10,"OR","Salem,OR","City","Salem,OR,City"
"Sandy",NA,NA,NA,NA,NA,NA,NA,2025,10,"UT","Sandy,UT","City","Sandy,UT,City"
"Santa Rosa",NA,NA,NA,NA,NA,NA,NA,2025,10,"CA","Santa Rosa,CA","City","Santa Rosa,CA,City"
"Saratoga Springs",NA,NA,NA,NA,NA,NA,NA,2025,10,"UT","Saratoga Springs,UT","City","Saratoga Springs,UT,City"
"Saratoga",NA,NA,NA,NA,NA,NA,NA,2025,10,"NY","Saratoga,NY","County","Saratoga,NY,County"
"Scottsdale",NA,NA,NA,NA,NA,NA,NA,2025,10,"AZ","Scottsdale,AZ","City","Scottsdale,AZ,City"
"Shelby",NA,NA,NA,NA,NA,NA,NA,2025,10,"TN","Shelby,TN","County","Shelby,TN,County"
"Springfield",NA,NA,NA,NA,NA,NA,NA,2025,10,"MA","Springfield,MA","City","Springfield,MA,City"
"Springfield",NA,NA,NA,NA,NA,NA,NA,2025,10,"MO","Springfield,MO","City","Springfield,MO,City"
"St. George",NA,NA,NA,NA,NA,NA,NA,2025,10,"UT","St. George,UT","City","St. George,UT,City"
"St. Mary's",NA,NA,NA,NA,NA,NA,NA,2025,10,"MD","St. Mary's,MD","County","St. Mary's,MD,County"
"Stamford",NA,1,2,14,5,95,10,2025,10,"CT","Stamford,CT","City","Stamford,CT,City"
"Surprise",NA,NA,NA,NA,NA,NA,NA,2025,10,"AZ","Surprise,AZ","City","Surprise,AZ,City"
"Temple",NA,NA,NA,NA,NA,NA,NA,2025,10,"TX","Temple,TX","City","Temple,TX,City"
"Terre Haute",NA,NA,NA,NA,NA,NA,NA,2025,10,"IN","Terre Haute,IN","City","Terre Haute,IN,City"
"Toledo",NA,NA,NA,NA,NA,NA,NA,2025,10,"OH","Toledo,OH","City","Toledo,OH,City"
"Tulare",NA,NA,NA,NA,NA,NA,NA,2025,10,"CA","Tulare,CA","City","Tulare,CA,City"
"Tustin",NA,NA,NA,NA,NA,NA,NA,2025,10,"CA","Tustin,CA","City","Tustin,CA,City"
