"Agency Name","Murder","Rape","Robbery","Aggravated Assault","Burglary","Theft","Motor Vehicle Theft","Year","Month","State","city_state","Agency_Type","city_state_id"
"Plymouth",NA,NA,NA,NA,NA,NA,NA,2025,3,"MA","Plymouth,MA","City","Plymouth,MA,City"
"Pueblo",NA,NA,NA,NA,NA,NA,NA,2025,3,"CO","Pueblo,CO","City","Pueblo,CO,City"
"Quincy",NA,NA,NA,NA,NA,NA,NA,2025,3,"MA","Quincy,MA","City","Quincy,MA,City"
"Rapid City",NA,NA,NA,NA,NA,NA,NA,2025,3,"SD","Rapid City,SD","City","Rapid City,SD,City"
"Reno",NA,NA,NA,NA,NA,NA,NA,2025,3,"NV","Reno,NV","City","Reno,NV,City"
"Roanoke",NA,NA,NA,NA,NA,NA,NA,2025,3,"VA","Roanoke,VA","City","Roanoke,VA,City"
"Rochester",NA,NA,NA,NA,NA,NA,NA,2025,3,"MN","Rochester,MN","City","Rochester,MN,City"
"Salem",NA,NA,NA,NA,NA,NA,NA,2025,3,"OR","Salem,OR","City","Salem,OR,City"
"Smith",NA,NA,NA,NA,NA,NA,NA,2025,3,"TX","Smith,TX","County","Smith,TX,County"
"Somerville",NA,NA,NA,NA,NA,NA,NA,2025,3,"MA","Somerville,MA","City","Somerville,MA,City"
"Spotsylvania",NA,NA,NA,NA,NA,NA,NA,2025,3,"VA","Spotsylvania,VA","County","Spotsylvania,VA,County"
"Springfield",NA,NA,NA,NA,NA,NA,NA,2025,3,"MA","Springfield,MA","City","Springfield,MA,City"
"Springfield",NA,NA,NA,NA,NA,NA,NA,2025,3,"OR","Springfield,OR","City","Springfield,OR,City"
"St Charles",NA,NA,NA,NA,NA,NA,NA,2025,3,"MO","St Charles,MO","County","St Charles,MO,County"
"Taunton",NA,NA,NA,NA,NA,NA,NA,2025,3,"MA","Taunton,MA","City","Taunton,MA,City"
"Temple",NA,NA,NA,NA,NA,NA,NA,2025,3,"TX","Temple,TX","City","Temple,TX,City"
"Tigard",NA,NA,NA,NA,NA,NA,NA,2025,3,"OR","Tigard,OR","City","Tigard,OR,City"
"Toledo",NA,NA,NA,NA,NA,NA,NA,2025,3,"OH","Toledo,OH","City","Toledo,OH,City"
"Union",NA,NA,NA,NA,NA,NA,NA,2025,3,"NC","Union,NC","County","Union,NC,County"
"West Chester Township",NA,NA,NA,NA,NA,NA,NA,2025,3,"OH","West Chester Township,OH","City","West Chester Township,OH,City"
"West Hartford",NA,NA,NA,NA,NA,NA,NA,2025,3,"CT","West Hartford,CT","City","West Hartford,CT,City"
"Worcester",NA,NA,NA,NA,NA,NA,NA,2025,3,"MA","Worcester,MA","City","Worcester,MA,City"
