"city_state_id","Agency Name","Murder","Rape","Robbery","Aggravated Assault","Burglary","Theft","Motor Vehicle Theft","Year","Month","city_state.x","Agency_Type.x","vio_crime","prop_crime","Agency","Source.Link","Source.Type","Source.Method","pop23","Latitude","Longitude","Comment","X","ori","pub_agency_name","state_abbr","region_name","division_name","agency_name","state_abb","population_1","group","x7","x8","x9","count_of_murder","population","city_state.y","Agency_Type.y","State_ref","State"
"Bethlehem,PA,City","Bethlehem",0,4,4,8,4,76,12,2025,10,"Bethlehem,PA","City",16,92,"Bethlehem","https://www.ucr.pa.gov/PAUCRSPUBLIC/SRSReport/CrimeTrends","State UCR","Open Source",78606,NA,NA,"Inferred Dec 2019 from annual average","","PA0480300","Bethlehem",NA,"Northeast","Middle Atlantic","bethlehem","PA",59181,"city 50,000 thru 99,999",NA,NA,NA,NA,78606,"Bethlehem, PA","City","PA","PA"
"Billings,MT,City","Billings",1,6,9,50,26,184,35,2024,2,"Billings,MT","City",66,245,"Billings","https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/explorer/crime/crime-trend","Crime Data Explorer","Open Source",121365,NA,NA,"","","MT0560100","Billings",NA,"West","Mountain","billings","MT",122105,"city 100,000 thru 249,999",NA,NA,NA,NA,121365,"Billings, MT","City","MT","MT"
"Birmingham,AL,City","Birmingham",14,NA,NA,NA,NA,NA,NA,2024,3,"Birmingham,AL","City",14,0,"Birmingham","https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/explorer/crime/crime-trend","Crime Data Explorer","Open Source",195224,NA,NA,"","","AL0010200","Birmingham",NA,"South","East South Central","birmingham","AL",193470,"city 100,000 thru 249,999",NA,NA,NA,102,195224,"Birmingham, AL","City","AL","AL"
"Bismarck,ND,City","Bismarck",0,6,3,6,14,91,12,2025,1,"Bismarck,ND","City",15,117,"Bismarck","https://crimestats.nd.gov/public/View/RSReport.aspx?ReportId=94","State UCR","Open Source",74802,NA,NA,"","","ND0080100","Bismarck",NA,"Midwest","West North Central","bismarck","ND",75546,"city 50,000 thru 99,999",NA,NA,NA,NA,74802,"Bismarck, ND","City","ND","ND"
"Blaine,MN,City","Blaine",0,0,3,7,4,79,2,2024,2,"Blaine,MN","City",10,85,"Blaine","https://cde.state.mn.us/","State UCR","Open Source",72384,NA,NA,"","","MN0020200","Blaine",NA,"Midwest","West North Central","blaine","MN",74913,"city 50,000 thru 99,999",NA,NA,NA,NA,72384,"Blaine, MN","City","MN","MN"
"Bloomfield,NJ,City","Bloomfield",0,0,2,0,3,29,5,2020,1,"Bloomfield,NJ","City",2,37,"Bloomfield","https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/explorer/crime/crime-trend","Crime Data Explorer","Open Source",55161,NA,NA,"Inferred Jan - Mar 2021 from annual total","","NJ0070200","Bloomfield",NA,"Northeast","Middle Atlantic","bloomfield","NJ",55161,"city 50,000 thru 99,999",NA,NA,NA,NA,53181,"Bloomfield, NJ","City","NJ","NJ"
"Bloomington,MN,City","Bloomington",0,3,3,18,16,144,12,2025,4,"Bloomington,MN","City",24,172,"Bloomington","https://cde.state.mn.us/","State UCR","Open Source",86793,NA,NA,"","","MN0270100","Bloomington",NA,"Midwest","West North Central","bloomington","MN",86598,"city 50,000 thru 99,999",NA,NA,NA,NA,86793,"Bloomington, MN","City","MN","MN"
"Blue Springs,MO,City","Blue Springs",0,0,0,2,10,82,18,2025,1,"Blue Springs,MO","City",2,110,"Blue Springs","https://showmecrime.mo.gov/","State UCR","Open Source",59896,NA,NA,"","","MO0480100","Blue Springs",NA,"Midwest","West North Central","blue springs","MO",61096,"city 50,000 thru 99,999",NA,NA,NA,NA,59896,"Blue Springs, MO","City","MO","MO"
"Bolingbrook,IL,City","Bolingbrook",0,5,2,9,4,54,6,2017,7,"Bolingbrook,IL","City",16,64,"Bolingbrook","https://ilucr.nibrs.com/AdvancedSearch/AdvancedSearch","State UCR","Open Source",74138,NA,NA,"","","IL0990200","Bolingbrook",NA,"Midwest","East North Central","bolingbrook","IL",72708,"city 50,000 thru 99,999",NA,NA,NA,NA,74138,"Bolingbrook, IL","City","IL","IL"
"Boone,KY,County","Boone",0,1,0,3,5,22,6,2025,9,"Boone,KY","County",4,33,"Boone","https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/explorer/crime/crime-trend","Crime Data Explorer","Open Source",107867,NA,NA,"","","KY0080000","Boone",NA,"South","East South Central","boone","KY",110398,"msa-county 100,000+",NA,NA,NA,NA,107867,"Boone, KY","County","KY","KY"
"Bossier City,LA,City","Bossier City",0,5,5,42,23,201,29,2023,3,"Bossier City,LA","City",52,253,"Bossier City","https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/explorer/crime/crime-trend","Crime Data Explorer","Open Source",62750,NA,NA,"","","LA0080100","Bossier City",NA,"South","West South Central","bossier city","LA",62750,"city 50,000 thru 99,999",NA,NA,NA,NA,62602,"Bossier City, LA","City","LA","LA"
"Boston,MA,City","Boston",6,16,50,232,64,864,73,2025,1,"Boston,MA","City",304,1001,"Boston","https://www.mass.gov/crime-statistics","State UCR","Provided by State UCR Program",642823,NA,NA,"","","MA0130100","Boston",NA,"Northeast","New England","boston","MA",659049,"city 500,000 thru 999,999",NA,NA,NA,NA,642823,"Boston, MA","City","MA","MA"
"Bowie,MD,City","Bowie",3,0,7,7,6,72,11,2017,1,"Bowie,MD","City",17,89,"Bowie","https://www.mwcog.org/public-safety-and-homeland-security/data-and-tools/crime-dashboard/","Agency Aggregated","Open Source",56678,NA,NA,"","","MD0174100","Bowie",NA,"South","South Atlantic","bowie","MD",56929,"city 50,000 thru 99,999",NA,NA,NA,NA,56678,"Bowie, MD","City","MD","MD"
"Bowling Green,KY,City","Bowling Green",0,4,1,12,21,157,16,2023,1,"Bowling Green,KY","City",17,194,"Bowling Green","https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/explorer/crime/crime-trend","Crime Data Explorer","Open Source",77503,NA,NA,"","","KY1140100","Bowling Green",NA,"South","East South Central","bowling green","KY",77503,"city 50,000 thru 99,999",NA,NA,NA,NA,76194,"Bowling Green, KY","City","KY","KY"
