"Agency Name","Murder","Rape","Robbery","Aggravated Assault","Burglary","Theft","Motor Vehicle Theft","Year","Month","State","city_state","Agency_Type","city_state_id"
"Bentonville",0,0,0,4,8,37,3,2025,8,"AR","Bentonville,AR","City","Bentonville,AR,City"
"Berkeley",NA,NA,NA,NA,NA,NA,NA,2025,8,"CA","Berkeley,CA","City","Berkeley,CA,City"
"Berkeley",1,4,1,32,37,110,21,2025,8,"SC","Berkeley,SC","County","Berkeley,SC,County"
"Bethlehem",0,2,3,6,3,56,8,2025,8,"PA","Bethlehem,PA","City","Bethlehem,PA,City"
"Bexar",NA,NA,NA,NA,NA,NA,NA,2025,8,"TX","Bexar,TX","County","Bexar,TX,County"
"Billings",0,6,6,54,34,235,38,2025,8,"MT","Billings,MT","City","Billings,MT,City"
"Birmingham",8,NA,NA,NA,NA,NA,NA,2025,8,"AL","Birmingham,AL","City","Birmingham,AL,City"
"Bismarck",0,1,4,12,16,100,11,2025,8,"ND","Bismarck,ND","City","Bismarck,ND,City"
"Blaine",0,0,0,3,3,76,10,2025,8,"MN","Blaine,MN","City","Blaine,MN,City"
"Bloomfield",0,0,1,3,1,62,4,2025,8,"NJ","Bloomfield,NJ","City","Bloomfield,NJ,City"
"Bloomington",NA,NA,NA,NA,NA,NA,NA,2025,8,"IN","Bloomington,IN","City","Bloomington,IN,City"
"Bloomington",0,5,4,12,16,238,9,2025,8,"MN","Bloomington,MN","City","Bloomington,MN,City"
"Blue Springs",0,1,1,13,13,68,5,2025,8,"MO","Blue Springs,MO","City","Blue Springs,MO,City"
"Boise",NA,NA,NA,NA,NA,NA,NA,2025,8,"ID","Boise,ID","City","Boise,ID,City"
"Bolingbrook",0,4,3,6,3,46,4,2025,8,"IL","Bolingbrook,IL","City","Bolingbrook,IL,City"
"Boone",0,1,0,0,1,25,9,2025,8,"KY","Boone,KY","County","Boone,KY,County"
"Bossier City",NA,NA,NA,NA,NA,NA,NA,2025,8,"LA","Bossier City,LA","City","Bossier City,LA,City"
"Boston",2,9,74,276,99,992,11,2025,8,"MA","Boston,MA","City","Boston,MA,City"
"Boulder",0,6,1,22,39,174,15,2025,8,"CO","Boulder,CO","City","Boulder,CO,City"
"Bowie",0,0,4,1,2,33,11,2025,8,"MD","Bowie,MD","City","Bowie,MD,City"
"Bowling Green",NA,NA,NA,NA,NA,NA,NA,2025,8,"KY","Bowling Green,KY","City","Bowling Green,KY,City"
