"Agency Name","Murder","Rape","Robbery","Aggravated Assault","Burglary","Theft","Motor Vehicle Theft","Year","Month","State","city_state","Agency_Type","city_state_id"
"Greenwood",0,0,3,3,3,68,5,2025,3,"IN","Greenwood,IN","City","Greenwood,IN,City"
"Hamilton",NA,NA,NA,NA,NA,NA,NA,2025,4,"OH","Hamilton,OH","City","Hamilton,OH,City"
"Hamilton",0,5,1,12,10,132,12,2025,4,"OH","Hamilton,OH","County","Hamilton,OH,County"
"Hammond",NA,NA,NA,NA,NA,NA,NA,2025,3,"IN","Hammond,IN","City","Hammond,IN,City"
"Hampton",4,2,7,8,14,192,22,2025,4,"VA","Hampton,VA","City","Hampton,VA,City"
"Hanover",0,4,1,14,5,55,0,2025,4,"VA","Hanover,VA","County","Hanover,VA,County"
"Harrisonburg",0,1,0,5,5,58,2,2025,4,"VA","Harrisonburg,VA","City","Harrisonburg,VA,City"
"Haverhill",0,0,0,23,0,38,3,2025,4,"MA","Haverhill,MA","City","Haverhill,MA,City"
"Henrico",2,0,6,30,33,453,23,2025,4,"VA","Henrico,VA","County","Henrico,VA,County"
"Howard",0,3,8,15,11,289,72,2025,4,"MD","Howard,MD","County","Howard,MD,County"
"Iowa City",0,1,1,16,8,72,4,2025,3,"IA","Iowa City,IA","City","Iowa City,IA,City"
"Jacksonville",6,NA,NA,NA,NA,NA,NA,2025,4,"FL","Jacksonville,FL","City","Jacksonville,FL,City"
"Jeffersonville",0,0,3,9,3,57,11,2025,3,"IN","Jeffersonville,IN","City","Jeffersonville,IN,City"
"Kalamazoo",NA,NA,NA,NA,NA,NA,NA,2025,3,"MI","Kalamazoo,MI","City","Kalamazoo,MI,City"
"Kalamazoo",0,2,1,17,17,103,8,2025,3,"MI","Kalamazoo,MI","County","Kalamazoo,MI,County"
"Kent",0,7,0,20,7,125,14,2025,3,"MI","Kent,MI","County","Kent,MI,County"
"Kentwood",NA,NA,NA,NA,NA,NA,NA,2025,3,"MI","Kentwood,MI","City","Kentwood,MI,City"
"Kettering",NA,NA,NA,NA,NA,NA,NA,2025,4,"OH","Kettering,OH","City","Kettering,OH,City"
"Kokomo",NA,NA,NA,NA,NA,NA,NA,2025,3,"IN","Kokomo,IN","City","Kokomo,IN,City"
"Lakewood",NA,NA,NA,NA,NA,NA,NA,2025,4,"OH","Lakewood,OH","City","Lakewood,OH,City"
"Lansing",0,11,12,71,38,114,73,2025,3,"MI","Lansing,MI","City","Lansing,MI,City"
"Las Vegas",6,NA,86,386,617,2104,884,2025,4,"NV","Las Vegas,NV","City","Las Vegas,NV,City"
"Lawrence",NA,NA,NA,NA,NA,NA,NA,2025,4,"MA","Lawrence,MA","City","Lawrence,MA,City"
"Lexington",3,34,19,49,66,469,68,2025,3,"KY","Lexington,KY","City","Lexington,KY,City"
"Livonia",0,3,2,12,5,90,8,2025,3,"MI","Livonia,MI","City","Livonia,MI,City"
"Lorain",0,1,4,26,14,47,7,2025,4,"OH","Lorain,OH","City","Lorain,OH,City"
"Los Angeles",9,3,276,583,657,2425,1028,2025,4,"CA","Los Angeles,CA","County","Los Angeles,CA,County"
"Loudoun",NA,NA,NA,NA,NA,NA,NA,2025,4,"VA","Loudoun,VA","County","Loudoun,VA,County"
"Lowell",NA,NA,NA,NA,NA,NA,NA,2025,4,"MA","Lowell,MA","City","Lowell,MA,City"
"Lynchburg",0,2,5,10,11,100,16,2025,4,"VA","Lynchburg,VA","City","Lynchburg,VA,City"
"Lynn",NA,NA,NA,NA,NA,NA,NA,2025,4,"MA","Lynn,MA","City","Lynn,MA,City"
"Macomb",0,4,1,17,4,34,6,2025,3,"MI","Macomb,MI","County","Macomb,MI,County"
"Malden",NA,NA,NA,NA,NA,NA,NA,2025,4,"MA","Malden,MA","City","Malden,MA,City"
"McAllen",0,4,1,10,3,162,3,2025,4,"TX","McAllen,TX","City","McAllen,TX,City"
"Medford",0,2,1,6,4,37,6,2025,4,"MA","Medford,MA","City","Medford,MA,City"
"Methuen",0,2,0,6,0,25,1,2025,4,"MA","Methuen,MA","City","Methuen,MA,City"
"Miami",2,10,42,110,87,796,88,2025,4,"FL","Miami,FL","City","Miami,FL,City"
"Middletown",0,0,1,6,8,36,2,2025,4,"OH","Middletown,OH","City","Middletown,OH,City"
"Montgomery",2,32,38,62,109,973,161,2025,4,"MD","Montgomery,MD","County","Montgomery,MD,County"
"Muncie",NA,NA,NA,NA,NA,NA,NA,2025,3,"IN","Muncie,IN","City","Muncie,IN,City"
"Nashua",NA,NA,NA,NA,NA,NA,NA,2025,2,"NH","Nashua,NH","City","Nashua,NH,City"
"New Bedford",1,3,7,18,16,110,26,2025,4,"MA","New Bedford,MA","City","New Bedford,MA,City"
"New Orleans",7,NA,39,88,107,651,242,2024,12,"LA","New Orleans,LA","City","New Orleans,LA,City"
"Newark",3,12,16,82,31,245,180,2025,3,"NJ","Newark,NJ","City","Newark,NJ,City"
"Newark",0,2,1,13,10,40,11,2025,4,"OH","Newark,OH","City","Newark,OH,City"
"Newport News",4,2,12,105,26,210,35,2025,4,"VA","Newport News,VA","City","Newport News,VA,City"
"Newton",NA,NA,NA,NA,NA,NA,NA,2025,4,"MA","Newton,MA","City","Newton,MA,City"
"Noblesville",0,2,0,0,2,30,3,2025,3,"IN","Noblesville,IN","City","Noblesville,IN,City"
"Norfolk",2,4,15,67,47,446,37,2025,4,"VA","Norfolk,VA","City","Norfolk,VA,City"
"Norman",NA,NA,NA,NA,NA,NA,NA,2025,4,"OK","Norman,OK","City","Norman,OK,City"
"Novi",0,1,0,1,2,20,4,2025,3,"MI","Novi,MI","City","Novi,MI,City"
"Ottawa",NA,NA,NA,NA,NA,NA,NA,2025,2,"MI","Ottawa,MI","County","Ottawa,MI,County"
"Parma",0,3,1,7,4,41,7,2025,4,"OH","Parma,OH","City","Parma,OH,City"
"Pawtucket",1,2,1,17,5,58,12,2025,4,"RI","Pawtucket,RI","City","Pawtucket,RI,City"
"Peabody",NA,NA,NA,NA,NA,NA,NA,2025,4,"MA","Peabody,MA","City","Peabody,MA,City"
"Pittsfield",NA,NA,NA,NA,NA,NA,NA,2025,4,"MA","Pittsfield,MA","City","Pittsfield,MA,City"
"Plymouth",0,0,0,19,1,19,4,2025,4,"MA","Plymouth,MA","City","Plymouth,MA,City"
"Portsmouth",2,0,8,51,25,210,27,2025,4,"VA","Portsmouth,VA","City","Portsmouth,VA,City"
"Prince George's",2,6,59,97,50,618,427,2025,4,"MD","Prince George's,MD","County","Prince George's,MD,County"
"Prince William",0,3,10,49,29,357,61,2025,4,"VA","Prince William,VA","County","Prince William,VA,County"
"Providence",0,6,12,27,18,190,27,2025,4,"RI","Providence,RI","City","Providence,RI,City"
"Quincy",0,0,1,16,12,82,4,2025,4,"MA","Quincy,MA","City","Quincy,MA,City"
"Redlands",0,1,3,7,19,101,17,2025,3,"CA","Redlands,CA","City","Redlands,CA,City"
"Revere",0,0,1,7,8,49,4,2025,4,"MA","Revere,MA","City","Revere,MA,City"
"Roanoke",0,2,5,20,21,187,31,2025,4,"VA","Roanoke,VA","City","Roanoke,VA,City"
"Royal Oak",0,0,1,6,2,21,4,2025,3,"MI","Royal Oak,MI","City","Royal Oak,MI,City"
"San Bernardino",2,8,24,96,66,231,83,2025,4,"CA","San Bernardino,CA","City","San Bernardino,CA,City"
"San Diego",3,33,94,337,157,938,357,2025,4,"CA","San Diego,CA","City","San Diego,CA,City"
"Santa Monica",0,3,8,28,51,174,38,2025,3,"CA","Santa Monica,CA","City","Santa Monica,CA,City"
"Sarasota",3,2,2,20,28,224,17,2025,4,"FL","Sarasota,FL","County","Sarasota,FL,County"
"Shelby Township",0,0,0,9,5,15,1,2025,3,"MI","Shelby Township,MI","City","Shelby Township,MI,City"
"Sioux City",0,1,4,25,30,69,8,2025,3,"IA","Sioux City,IA","City","Sioux City,IA,City"
"Somerville",NA,NA,NA,NA,NA,NA,NA,2025,4,"MA","Somerville,MA","City","Somerville,MA,City"
"Sonoma",1,5,2,8,20,33,0,2025,4,"CA","Sonoma,CA","County","Sonoma,CA,County"
"Southfield",0,3,1,25,15,75,31,2025,3,"MI","Southfield,MI","City","Southfield,MI,City"
"Spotsylvania",3,0,2,16,2,46,6,2025,4,"VA","Spotsylvania,VA","County","Spotsylvania,VA,County"
"Springfield",NA,NA,NA,NA,NA,NA,NA,2025,4,"MA","Springfield,MA","City","Springfield,MA,City"
"Springfield",0,6,8,85,48,110,21,2025,4,"OH","Springfield,OH","City","Springfield,OH,City"
"St Joseph",0,1,0,7,6,42,3,2025,3,"IN","St Joseph,IN","County","St Joseph,IN,County"
"St. Clair Shores",0,1,0,5,4,36,5,2025,3,"MI","St. Clair Shores,MI","City","St. Clair Shores,MI,City"
"Stafford",0,4,3,17,2,85,1,2025,4,"VA","Stafford,VA","County","Stafford,VA,County"
"Stark",0,6,1,10,20,64,9,2025,4,"OH","Stark,OH","County","Stark,OH,County"
"Sterling Heights",0,1,1,9,5,91,22,2025,3,"MI","Sterling Heights,MI","City","Sterling Heights,MI,City"
"Suffolk",0,1,2,25,6,90,12,2025,4,"VA","Suffolk,VA","City","Suffolk,VA,City"
"Taunton",NA,NA,NA,NA,NA,NA,NA,2025,4,"MA","Taunton,MA","City","Taunton,MA,City"
"Taylor",0,4,0,30,12,54,15,2025,3,"MI","Taylor,MI","City","Taylor,MI,City"
"Terre Haute",0,2,4,16,27,101,25,2025,3,"IN","Terre Haute,IN","City","Terre Haute,IN,City"
"Toledo",1,NA,NA,NA,NA,NA,NA,2025,4,"OH","Toledo,OH","City","Toledo,OH,City"
"Troy",0,0,0,8,2,49,3,2025,3,"MI","Troy,MI","City","Troy,MI,City"
"Vallejo",2,3,24,50,65,228,20,2025,4,"CA","Vallejo,CA","City","Vallejo,CA,City"
"Virginia Beach",2,6,10,16,14,496,23,2025,4,"VA","Virginia Beach,VA","City","Virginia Beach,VA,City"
"Waltham",0,2,2,6,8,26,1,2025,4,"MA","Waltham,MA","City","Waltham,MA,City"
"Warren",0,3,4,31,17,100,27,2025,3,"MI","Warren,MI","City","Warren,MI,City"
"Warren",0,1,1,2,5,44,6,2025,4,"OH","Warren,OH","County","Warren,OH,County"
"Warwick",0,4,1,4,2,64,3,2025,4,"RI","Warwick,RI","City","Warwick,RI,City"
"Washington",0,4,1,20,6,43,4,2025,3,"MD","Washington,MD","County","Washington,MD,County"
"Washtenaw",0,3,1,34,13,50,16,2025,3,"MI","Washtenaw,MI","County","Washtenaw,MI,County"
"Waterford Township",0,4,0,8,9,17,2,2025,3,"MI","Waterford Township,MI","City","Waterford Township,MI,City"
"Waterloo",1,1,1,16,25,94,11,2025,3,"IA","Waterloo,IA","City","Waterloo,IA,City"
"West Bloomfield Township",0,1,0,5,2,15,2,2025,3,"MI","West Bloomfield Township,MI","City","West Bloomfield Township,MI,City"
"West Chester Township",NA,NA,NA,NA,NA,NA,NA,2025,4,"OH","West Chester Township,OH","City","West Chester Township,OH,City"
"West Des Moines",0,4,0,8,8,78,7,2025,3,"IA","West Des Moines,IA","City","West Des Moines,IA,City"
"Westfield",0,0,0,1,3,30,0,2025,3,"IN","Westfield,IN","City","Westfield,IN,City"
"Westland",0,5,3,19,12,57,7,2025,3,"MI","Westland,MI","City","Westland,MI,City"
"Westminster",1,2,3,19,22,151,17,2025,3,"CA","Westminster,CA","City","Westminster,CA,City"
"Weymouth",0,3,0,6,8,16,5,2025,4,"MA","Weymouth,MA","City","Weymouth,MA,City"
"Will",0,2,0,9,4,32,8,2025,4,"IL","Will,IL","County","Will,IL,County"
"Worcester",NA,NA,NA,NA,NA,NA,NA,2025,4,"MA","Worcester,MA","City","Worcester,MA,City"
"Wright",0,2,0,1,3,29,3,2025,4,"MN","Wright,MN","County","Wright,MN,County"
"Wyoming",0,2,1,20,7,104,11,2025,3,"MI","Wyoming,MI","City","Wyoming,MI,City"
"Yakima",0,4,3,25,24,127,29,2025,4,"WA","Yakima,WA","City","Yakima,WA,City"
"Youngstown",1,5,4,14,23,68,30,2025,4,"OH","Youngstown,OH","City","Youngstown,OH,City"
