"city_state_id","Agency Name","Murder","Rape","Robbery","Aggravated Assault","Burglary","Theft","Motor Vehicle Theft","Year","Month","State.x","city_state.x","Agency_Type.x","vio_crime","prop_crime","Agency","State.y","Source.Link","Source.Type","Source.Method","pop23","Latitude","Longitude","Comment","X","X.1","X.2","ori","pub_agency_name","state_abbr","region_name","division_name","population","city_state.y","Agency_Type.y","State"
"Colorado Springs,CO,City","Colorado Springs",5,74,29,123,184,965,146,2017,1,"CO","Colorado Springs,CO","City",231,1295,"Colorado Springs","CO","https://coloradocrimestats.state.co.us/public/View/dispview.aspx","State UCR","Open Source",489254,NA,NA,"","","",NA,"CO0210100","Colorado Springs","CO","West","Mountain",489254,"Colorado Springs, CO","City","West"
"Columbia,MO,City","Columbia",0,15,11,37,45,189,27,2017,1,"MO","Columbia,MO","City",63,261,"Columbia","MO","https://showmecrime.mo.gov/","State UCR","Open Source",129602,NA,NA,"","","",NA,"MO0100200","Columbia","MO","Midwest","West North Central",129602,"Columbia, MO","City","Midwest"
"Columbus,OH,City","Columbus",0,1,0,7,5,65,8,2017,1,"OH","Columbus,OH","City",8,78,"Columbus","OH","https://ocjs.ohio.gov/","State UCR","Provided by State UCR Program",908834,NA,NA,"","","",NA,"OHCOP0000","Columbus","OH","Midwest","East North Central",908834,"Columbus, OH","City","Midwest"
"Commerce City,CO,City","Commerce City",1,9,5,20,17,79,30,2017,1,"CO","Commerce City,CO","City",35,126,"Commerce City","CO","https://coloradocrimestats.state.co.us/public/View/dispview.aspx","State UCR","Open Source",67851,NA,NA,"","","",NA,"CO0010300","Commerce City","CO","West","Mountain",67851,"Commerce City, CO","City","West"
"Concord,CA,City","Concord",0,5,9,21,41,250,81,2017,1,"CA","Concord,CA","City",35,372,"Concord","CA","https://www.cityofconcord.org/1197/2024-Crime-Statistics","Agency Aggregated","Open Source",121331,NA,NA,"","","",NA,"CA0070400","Concord","CA","West","Pacific",121331,"Concord, CA","City","West"
"Concord,NC,City","Concord",0,0,5,8,43,139,4,2017,1,"NC","Concord,NC","City",13,186,"Concord","NC","From NC","State UCR","Provided by State UCR Program",111915,NA,NA,"","","",NA,"NC0130100","Concord","NC","South","South Atlantic",111915,"Concord, NC","City","South"
"Conroe,TX,City","Conroe",0,3,8,7,33,156,15,2017,1,"TX","Conroe,TX","City",18,204,"Conroe","TX","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",106904,NA,NA,"","","",NA,"TX1700100","Conroe","TX","South","West South Central",106904,"Conroe, TX","City","South"
"Coon Rapids,MN,City","Coon Rapids",0,2,1,4,18,110,5,2017,1,"MN","Coon Rapids,MN","City",7,133,"Coon Rapids","MN","https://cde.state.mn.us/","State UCR","Open Source",62391,NA,NA,"","","",NA,"MN0020500","Coon Rapids","MN","Midwest","West North Central",62391,"Coon Rapids, MN","City","Midwest"
"Corpus Christi,TX,City","Corpus Christi",2,25,44,115,153,779,52,2017,1,"TX","Corpus Christi,TX","City",186,984,"Corpus Christi","TX","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",315340,NA,NA,"","","",NA,"TX1780200","Corpus Christi","TX","South","West South Central",315340,"Corpus Christi, TX","City","South"
"Dallas,TX,City","Dallas",16,58,403,419,943,2164,700,2017,1,"TX","Dallas,TX","City",896,3807,"Dallas","TX","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",1304989,NA,NA,"","","",NA,"TXDPD0000","Dallas","TX","South","West South Central",1304989,"Dallas, TX","City","South"
"Danbury,CT,City","Danbury",0,3,6,6,6,67,6,2017,1,"CT","Danbury,CT","City",15,79,"Danbury","CT","https://ct.beyond2020.com/ct_public/Dim/dimension.aspx","State UCR","Open Source",87327,NA,NA,"","","",NA,"CT0003400","Danbury","CT","Northeast","New England",87327,"Danbury, CT","City","Northeast"
"Dayton,OH,City","Dayton",2,12,45,53,173,304,57,2017,1,"OH","Dayton,OH","City",112,534,"Dayton","OH","https://ocjs.ohio.gov/","State UCR","Provided by State UCR Program",135181,NA,NA,"","","",NA,"OH0570200","Dayton","OH","Midwest","East North Central",135181,"Dayton, OH","City","Midwest"
"Dearborn Heights,MI,City","Dearborn Heights",0,1,4,18,26,50,14,2017,1,"MI","Dearborn Heights,MI","City",23,90,"Dearborn Heights","MI","https://www.michigan.gov/msp/divisions/cjic/dashboard-portal/crime-dashboard","State UCR","Open Source",61420,NA,NA,"","","",NA,"MI8234400","Dearborn Heights","MI","Midwest","East North Central",61420,"Dearborn Heights, MI","City","Midwest"
"Dearborn,MI,City","Dearborn",0,0,3,15,30,157,31,2017,1,"MI","Dearborn,MI","City",18,218,"Dearborn","MI","https://www.michigan.gov/msp/divisions/cjic/dashboard-portal/crime-dashboard","State UCR","Open Source",106747,NA,NA,"","","",NA,"MI8234300","Dearborn","MI","Midwest","East North Central",106747,"Dearborn, MI","City","Midwest"
"Decatur,IL,City","Decatur",0,1,8,19,61,125,6,2017,1,"IL","Decatur,IL","City",28,192,"Decatur","IL","https://ilucr.nibrs.com/AdvancedSearch/AdvancedSearch","State UCR","Open Source",68301,NA,NA,"","","",NA,"IL0580200","Decatur","IL","Midwest","East North Central",68301,"Decatur, IL","City","Midwest"
