"Agency Name","Murder","Rape","Robbery","Aggravated Assault","Burglary","Theft","Motor Vehicle Theft","Year","Month","State","city_state","Agency_Type","city_state_id"
"Berkeley",0,7,12,51,54,264,41,2025,7,"CA","Berkeley,CA","City","Berkeley,CA,City"
"Berkeley",2,3,3,45,38,98,8,2025,7,"SC","Berkeley,SC","County","Berkeley,SC,County"
"Bethlehem",NA,NA,NA,NA,NA,NA,NA,2025,7,"PA","Bethlehem,PA","City","Bethlehem,PA,City"
"Bexar",NA,NA,NA,NA,NA,NA,NA,2025,7,"TX","Bexar,TX","County","Bexar,TX,County"
"Birmingham",10,NA,NA,NA,NA,NA,NA,2025,7,"AL","Birmingham,AL","City","Birmingham,AL,City"
"Bismarck",0,5,2,13,16,103,12,2025,7,"ND","Bismarck,ND","City","Bismarck,ND,City"
"Blaine",0,3,0,1,6,55,4,2025,7,"MN","Blaine,MN","City","Blaine,MN,City"
"Bloomfield",0,0,0,5,3,53,7,2025,7,"NJ","Bloomfield,NJ","City","Bloomfield,NJ,City"
"Bloomington",NA,NA,NA,NA,NA,NA,NA,2025,7,"IN","Bloomington,IN","City","Bloomington,IN,City"
"Bloomington",0,4,5,11,20,189,15,2025,7,"MN","Bloomington,MN","City","Bloomington,MN,City"
"Blue Springs",0,0,1,10,4,71,9,2025,7,"MO","Blue Springs,MO","City","Blue Springs,MO,City"
"Boise",NA,NA,NA,NA,NA,NA,NA,2025,7,"ID","Boise,ID","City","Boise,ID,City"
"Bolingbrook",0,4,3,11,2,26,5,2025,7,"IL","Bolingbrook,IL","City","Bolingbrook,IL,City"
"Boone",0,1,0,6,3,26,5,2025,7,"KY","Boone,KY","County","Boone,KY,County"
"Bossier City",0,2,2,27,12,190,22,2025,7,"LA","Bossier City,LA","City","Bossier City,LA,City"
"Boston",0,12,69,312,98,962,10,2025,7,"MA","Boston,MA","City","Boston,MA,City"
"Boulder",0,3,4,23,31,200,7,2025,7,"CO","Boulder,CO","City","Boulder,CO,City"
"Bowie",0,0,0,5,1,36,10,2025,7,"MD","Bowie,MD","City","Bowie,MD,City"
"Bowling Green",0,4,3,7,13,96,16,2025,7,"KY","Bowling Green,KY","City","Bowling Green,KY,City"
"Bozeman",NA,NA,NA,NA,NA,NA,NA,2025,7,"MT","Bozeman,MT","City","Bozeman,MT,City"
"Brazoria",1,5,1,9,33,66,6,2025,7,"TX","Brazoria,TX","County","Brazoria,TX,County"
"Brentwood",0,1,0,9,8,74,11,2025,7,"CA","Brentwood,CA","City","Brentwood,CA,City"
"Bridgeport",0,0,6,30,16,90,39,2025,7,"CT","Bridgeport,CT","City","Bridgeport,CT,City"
"Bristol",0,0,0,0,6,36,13,2025,7,"CT","Bristol,CT","City","Bristol,CT,City"
"Brockton",1,6,5,44,53,73,50,2025,7,"MA","Brockton,MA","City","Brockton,MA,City"
"Broken Arrow",0,3,0,21,15,98,18,2025,7,"OK","Broken Arrow,OK","City","Broken Arrow,OK,City"
"Brookhaven",NA,NA,NA,NA,NA,NA,NA,2025,7,"GA","Brookhaven,GA","City","Brookhaven,GA,City"
