"city_state_id","Agency Name","Murder","Rape","Robbery","Aggravated Assault","Burglary","Theft","Motor Vehicle Theft","Year","Month","Type","Source","city_state.x","Agency_Type.x","vio_crime","prop_crime","Agency","Source.Link","Source.Type","Source.Method","pop23","Latitude","Longitude","Comment","X","ori","pub_agency_name","state_abbr","region_name","division_name","agency_name","state_abb","population_1","group","x7","x8","x9","count_of_murder","population","city_state.y","Agency_Type.y","State_ref","State"
"Arcadia,CA,City","Arcadia",0,1,1,5,27,73,7,2020,10,"City",NA,"Arcadia,CA","City",7,107,"Arcadia","https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/explorer/crime/crime-trend","Crime Data Explorer","Open Source",53397,NA,NA,"","","CA0190200","Arcadia",NA,"West","Pacific","arcadia","CA",53397,"city 50,000 thru 99,999",NA,NA,NA,NA,54071,"Arcadia, CA","City","CA","CA"
"Arlington Heights,IL,City","Arlington Heights",0,0,2,2,8,36,1,2020,6,"City",NA,"Arlington Heights,IL","City",4,45,"Arlington Heights","https://ilucr.nibrs.com/AdvancedSearch/AdvancedSearch","State UCR","Open Source",74094,NA,NA,"","","IL0160200","Arlington Heights",NA,"Midwest","East North Central","arlington heights","IL",73545,"city 50,000 thru 99,999",NA,NA,NA,NA,74094,"Arlington Heights, IL","City","IL","IL"
"Arlington,TX,City","Arlington",3,30,37,142,125,661,92,2019,10,"City",NA,"Arlington,TX","City",212,878,"Arlington","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",394799,NA,NA,"","","TX2200100","Arlington",NA,"South","West South Central","arlington","TX",399840,"city 250,000 thru 499,999",NA,NA,NA,NA,394799,"Arlington, TX","City","TX","TX"
"Arlington,VA,County","Arlington",0,6,14,20,19,196,25,2021,5,"County",NA,"Arlington,VA","County",40,240,"Arlington","From VA","State UCR","Provided by State UCR Program",231844,NA,NA,"","","VA0070100","Arlington",NA,"South","South Atlantic","arlington county pd","VA",234449,"msa-county 100,000+",NA,NA,NA,NA,231844,"Arlington, VA","County","VA","VA"
"Arvada,CO,City","Arvada",0,3,9,7,35,254,74,2020,10,"City",NA,"Arvada,CO","City",19,363,"Arvada","https://coloradocrimestats.state.co.us/public/View/dispview.aspx","State UCR","Open Source",120200,NA,NA,"","","CO0300100","Arvada",NA,"West","Mountain","arvada","CO",117704,"city 100,000 thru 249,999",NA,NA,NA,NA,120200,"Arvada, CO","City","CO","CO"
"Asheville,NC,City","Asheville",1,4,10,61,40,367,43,2022,4,"City","Manual","Asheville,NC","City",76,450,"Asheville","From NC","State UCR","Provided by State UCR Program",93471,NA,NA,"","","NC0110100","Asheville",NA,"South","South Atlantic","asheville","NC",95219,"city 50,000 thru 99,999",NA,NA,NA,NA,93471,"Asheville, NC","City","NC","NC"
"Atlanta,GA,City","Atlanta",9,NA,42,244,119,959,154,2025,11,"City","Scrape","Atlanta,GA","City",295,1232,"Atlanta","https://experience.arcgis.com/experience/d5dd2be2977d40acb340ef42f80671b8/","Agency RMS","Open Source",500212,NA,NA,"","","GAAPD0000","Atlanta",NA,"South","South Atlantic","atlanta","GA",475865,"city 500,000 thru 999,999",NA,NA,NA,NA,500212,"Atlanta, GA","City","GA","GA"
"Aurora,CO,City","Aurora",0,1,3,17,26,181,28,2017,1,"City",NA,"Aurora,CO","City",21,235,"Aurora","https://coloradocrimestats.state.co.us/public/View/dispview.aspx","State UCR","Open Source",396976,NA,NA,"","","CO0010100","Aurora",NA,"West","Mountain","aurora","CO",337365,"city 250,000 thru 499,999",NA,NA,NA,NA,396976,"Aurora, CO","City","CO","CO"
"Austin,TX,City","Austin",2,50,110,181,383,1987,178,2017,12,"City",NA,"Austin,TX","City",343,2548,"Austin","https://data.austintexas.gov/Public-Safety/Crime-Reports/fdj4-gpfu/explore/query/SELECT%0A%20%20%60incident_report_number%60%2C%0A%20%20%60crime_type%60%2C%0A%20%20%60ucr_code%60%2C%0A%20%20%60family_violence%60%2C%0A%20%20%60occ_date_time%60%2C%0A%20%20%60occ_date%60%2C%0A%20%20%60occ_time%60%2C%0A%20%20%60rep_date_time%60%2C%0A%20%20%60rep_date%60%2C%0A%20%20%60rep_time%60%2C%0A%20%20%60location_type%60%2C%0A%20%20%60council_district%60%2C%0A%20%20%60sector%60%2C%0A%20%20%60district%60%2C%0A%20%20%60clearance_status%60%2C%0A%20%20%60clearance_date%60%2C%0A%20%20%60ucr_category%60%2C%0A%20%20%60category_description%60%2C%0A%20%20%60census_block_group%60%0AWHERE%20caseless_ne%28%60ucr_category%60%2C%20%22%22%29/page/filter","Agency RMS","Open Source",978816,NA,NA,"","","TX2270100","Austin",NA,"South","West South Central","austin","TX",913699,"city 500,000 thru 999,999",NA,NA,NA,NA,978816,"Austin, TX","City","TX","TX"
"Avondale,AZ,City","Avondale",0,3,6,20,47,194,18,2019,5,"City",NA,"Avondale,AZ","City",29,259,"Avondale","https://azcrimestatistics.azdps.gov/","State UCR","Open Source",92661,NA,NA,"","","AZ0070100","Avondale",NA,"West","Mountain","avondale","AZ",94911,"city 50,000 thru 99,999",NA,NA,NA,NA,92661,"Avondale, AZ","City","AZ","AZ"
"Bakersfield,CA,City","Bakersfield",2,8,42,71,119,462,179,2025,11,"City","CDE","Bakersfield,CA","City",123,760,"Bakersfield","https://www.bakersfieldcity.us/","Agency Aggregated","Provided by Agency",413409,NA,NA,"","","CA0150200","Bakersfield",NA,"West","Pacific","bakersfield","CA",416120,"city 250,000 thru 499,999",NA,NA,NA,NA,413409,"Bakersfield, CA","City","CA","CA"
"Baldwin Park,CA,City","Baldwin Park",1,1,2,7,11,34,22,2020,7,"City",NA,"Baldwin Park,CA","City",11,67,"Baldwin Park","https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/explorer/crime/crime-trend","Crime Data Explorer","Open Source",67791,NA,NA,"","","CA0190600","Baldwin Park",NA,"West","Pacific","baldwin park","CA",67791,"city 50,000 thru 99,999",NA,NA,NA,NA,68230,"Baldwin Park, CA","City","CA","CA"
"Baltimore,MD,City","Baltimore",33,27,237,427,270,919,255,2020,12,"City",NA,"Baltimore,MD","City",724,1444,"Baltimore","https://data.baltimorecity.gov/datasets/part-1-crime-data/explore","Agency RMS","Open Source",565192,NA,NA,"","","MDBPD0000","Baltimore",NA,"South","South Atlantic","baltimore","MD",566632,"city 500,000 thru 999,999",NA,NA,NA,NA,565192,"Baltimore, MD","City","MD","MD"
"Baltimore,MD,County","Baltimore",0,32,86,224,148,1171,131,2018,2,"County",NA,"Baltimore,MD","County",342,1450,"Baltimore","https://opendata.baltimorecountymd.gov/pages/dash","Agency Aggregated","Open Source",845222,NA,NA,"","","MD0030100","Baltimore",NA,"South","South Atlantic","baltimore county pol dep","MD",852726,"msa-county 100,000+",NA,NA,NA,NA,845222,"Baltimore, MD","County","MD","MD"
"Battle Creek,MI,City","Battle Creek",0,6,0,23,15,83,14,2025,11,"City","CDE","Battle Creek,MI","City",29,112,"Battle Creek","https://www.michigan.gov/msp/divisions/cjic/dashboard-portal/crime-dashboard","State UCR","Open Source",60969,NA,NA,"","","MI1323700","Battle Creek",NA,"Midwest","East North Central","battle creek","MI",61163,"city 50,000 thru 99,999",NA,NA,NA,NA,60969,"Battle Creek, MI","City","MI","MI"
"Baytown,TX,City","Baytown",1,2,2,7,22,121,16,2017,9,"City",NA,"Baytown,TX","City",12,159,"Baytown","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",83809,NA,NA,"","","TX1010100","Baytown",NA,"South","West South Central","baytown","TX",78692,"city 50,000 thru 99,999",NA,NA,NA,NA,83809,"Baytown, TX","City","TX","TX"
"Beaumont,CA,City","Beaumont",2,3,0,17,16,47,4,2022,9,"City",NA,"Beaumont,CA","City",22,67,"Beaumont","https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/explorer/crime/crime-trend","Crime Data Explorer","Open Source",60294,NA,NA,"","","CA0330200","Beaumont",NA,"West","Pacific","beaumont","CA",60294,"city 50,000 thru 99,999",NA,NA,NA,NA,57819,"Beaumont, CA","City","CA","CA"
"Beaumont,TX,City","Beaumont",0,8,17,68,65,203,31,2025,3,"City","Scrape","Beaumont,TX","City",93,299,"Beaumont","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",110671,NA,NA,"","","TX1230100","Beaumont",NA,"South","West South Central","beaumont","TX",111320,"city 100,000 thru 249,999",NA,NA,NA,NA,110671,"Beaumont, TX","City","TX","TX"
"Beaverton,OR,City","Beaverton",0,2,5,13,19,126,20,2023,11,"City",NA,"Beaverton,OR","City",20,165,"Beaverton","https://www.oregon.gov/osp/pages/uniform-crime-reporting-data.aspx","State UCR","Open Source",96840,NA,NA,"","","OR0340100","Beaverton",NA,"West","Pacific","beaverton","OR",96762,"city 50,000 thru 99,999",NA,NA,NA,NA,96840,"Beaverton, OR","City","OR","OR"
"Bellevue,NE,City","Bellevue",0,1,0,3,9,33,10,2021,2,"City",NA,"Bellevue,NE","City",4,52,"Bellevue","https://crimestats.ne.gov/public/View/RSReport.aspx?ReportId=1082","State UCR","Open Source",62372,NA,NA,"","","NB0770100","Bellevue",NA,"Midwest","West North Central","bellevue","NE",63510,"city 50,000 thru 99,999",NA,NA,NA,NA,62372,"Bellevue, NE","City","NE","NE"
"Bellingham,WA,City","Bellingham",1,NA,9,NA,NA,336,62,2022,3,"City",NA,"Bellingham,WA","City",10,398,"Bellingham","https://cob.org/gov/dept/police/news-police/crime-stats","Agency Aggregated","Open Source",94968,NA,NA,"","","WA0370100","Bellingham",NA,"West","Pacific","bellingham","WA",95717,"city 50,000 thru 99,999",NA,NA,NA,NA,94968,"Bellingham, WA","City","WA","WA"
"Bend,OR,City","Bend",0,3,1,14,6,103,6,2025,6,"City","Scrape","Bend,OR","City",18,115,"Bend","https://www.oregon.gov/osp/pages/uniform-crime-reporting-data.aspx","State UCR","Open Source",105099,NA,NA,"","","OR0090100","Bend",NA,"West","Pacific","bend","OR",106241,"city 100,000 thru 249,999",NA,NA,NA,NA,105099,"Bend, OR","City","OR","OR"
"Bensalem,PA,City","Bensalem",0,0,3,2,20,143,5,2022,6,"City",NA,"Bensalem,PA","City",5,168,"Bensalem","https://www.ucr.pa.gov/PAUCRSPUBLIC/SRSReport/CrimeTrends","State UCR","Open Source",62595,NA,NA,"","","PA0090100","Bensalem",NA,"Northeast","Middle Atlantic","bensalem township","PA",62843,"city 50,000 thru 99,999",NA,NA,NA,NA,62595,"Bensalem, PA","City","PA","PA"
"Bentonville,AR,City","Bentonville",0,1,0,3,8,39,3,2025,8,"City","CDE","Bentonville,AR","City",4,50,"Bentonville","https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/explorer/crime/crime-trend","Crime Data Explorer","Open Source",61109,NA,NA,"","","AR0040100","Bentonville",NA,"South","West South Central","bentonville","AR",61109,"city 50,000 thru 99,999",NA,NA,NA,101,59465,"Bentonville, AR","City","AR","AR"
"Berkeley,CA,City","Berkeley",4,3,14,30,67,423,86,2024,8,"City",NA,"Berkeley,CA","City",51,576,"Berkeley","https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/explorer/crime/crime-trend","Crime Data Explorer","Open Source",116595,NA,NA,"","","CA0010300","Berkeley",NA,"West","Pacific","berkeley","CA",117400,"city 100,000 thru 249,999",NA,NA,NA,NA,116595,"Berkeley, CA","City","CA","CA"
"Berkeley,SC,County","Berkeley",0,4,1,34,20,83,21,2025,4,"County","CDE","Berkeley,SC","County",39,124,"Berkeley","https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/explorer/crime/crime-trend","Crime Data Explorer","Open Source",142756,NA,NA,"","","SC0080000","Berkeley",NA,"South","South Atlantic","berkeley","SC",150616,"msa-county 100,000+",NA,NA,NA,NA,142756,"Berkeley, SC","County","SC","SC"
"Bethlehem,PA,City","Bethlehem",0,1,3,8,8,50,7,2021,5,"City",NA,"Bethlehem,PA","City",12,65,"Bethlehem","https://www.ucr.pa.gov/PAUCRSPUBLIC/SRSReport/CrimeTrends","State UCR","Open Source",78606,NA,NA,"Inferred Dec 2019 from annual average","","PA0480300","Bethlehem",NA,"Northeast","Middle Atlantic","bethlehem","PA",59181,"city 50,000 thru 99,999",NA,NA,NA,NA,78606,"Bethlehem, PA","City","PA","PA"
"Billings,MT,City","Billings",1,12,5,87,63,261,78,2021,4,"City",NA,"Billings,MT","City",105,402,"Billings","https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/explorer/crime/crime-trend","Crime Data Explorer","Open Source",121365,NA,NA,"","","MT0560100","Billings",NA,"West","Mountain","billings","MT",122105,"city 100,000 thru 249,999",NA,NA,NA,NA,121365,"Billings, MT","City","MT","MT"
"Birmingham,AL,City","Birmingham",7,NA,NA,NA,NA,NA,NA,2025,1,"City","CDE","Birmingham,AL","City",7,0,"Birmingham","https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/explorer/crime/crime-trend","Crime Data Explorer","Open Source",195224,NA,NA,"","","AL0010200","Birmingham",NA,"South","East South Central","birmingham","AL",193470,"city 100,000 thru 249,999",NA,NA,NA,102,195224,"Birmingham, AL","City","AL","AL"
"Bismarck,ND,City","Bismarck",0,2,4,9,14,169,20,2021,9,"City",NA,"Bismarck,ND","City",15,203,"Bismarck","https://crimestats.nd.gov/public/View/RSReport.aspx?ReportId=94","State UCR","Open Source",74802,NA,NA,"","","ND0080100","Bismarck",NA,"Midwest","West North Central","bismarck","ND",75546,"city 50,000 thru 99,999",NA,NA,NA,NA,74802,"Bismarck, ND","City","ND","ND"
"Blaine,MN,City","Blaine",0,2,1,3,7,88,2,2024,5,"City",NA,"Blaine,MN","City",6,97,"Blaine","https://cde.state.mn.us/","State UCR","Open Source",72384,NA,NA,"","","MN0020200","Blaine",NA,"Midwest","West North Central","blaine","MN",74913,"city 50,000 thru 99,999",NA,NA,NA,NA,72384,"Blaine, MN","City","MN","MN"
"Bloomfield,NJ,City","Bloomfield",0,0,0,4,7,53,11,2024,6,"City",NA,"Bloomfield,NJ","City",4,71,"Bloomfield","https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/explorer/crime/crime-trend","Crime Data Explorer","Open Source",55161,NA,NA,"Inferred Jan - Mar 2021 from annual total","","NJ0070200","Bloomfield",NA,"Northeast","Middle Atlantic","bloomfield","NJ",55161,"city 50,000 thru 99,999",NA,NA,NA,NA,53181,"Bloomfield, NJ","City","NJ","NJ"
"Bloomington,MN,City","Bloomington",0,5,4,7,14,205,12,2019,9,"City",NA,"Bloomington,MN","City",16,231,"Bloomington","https://cde.state.mn.us/","State UCR","Open Source",86793,NA,NA,"","","MN0270100","Bloomington",NA,"Midwest","West North Central","bloomington","MN",86598,"city 50,000 thru 99,999",NA,NA,NA,NA,86793,"Bloomington, MN","City","MN","MN"
"Blue Springs,MO,City","Blue Springs",0,1,3,5,9,151,29,2023,12,"City",NA,"Blue Springs,MO","City",9,189,"Blue Springs","https://showmecrime.mo.gov/","State UCR","Open Source",59896,NA,NA,"","","MO0480100","Blue Springs",NA,"Midwest","West North Central","blue springs","MO",61096,"city 50,000 thru 99,999",NA,NA,NA,NA,59896,"Blue Springs, MO","City","MO","MO"
"Bolingbrook,IL,City","Bolingbrook",0,3,2,12,8,40,6,2020,7,"City",NA,"Bolingbrook,IL","City",17,54,"Bolingbrook","https://ilucr.nibrs.com/AdvancedSearch/AdvancedSearch","State UCR","Open Source",74138,NA,NA,"","","IL0990200","Bolingbrook",NA,"Midwest","East North Central","bolingbrook","IL",72708,"city 50,000 thru 99,999",NA,NA,NA,NA,74138,"Bolingbrook, IL","City","IL","IL"
"Boone,KY,County","Boone",0,2,0,0,6,22,3,2024,7,"County",NA,"Boone,KY","County",2,31,"Boone","https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/explorer/crime/crime-trend","Crime Data Explorer","Open Source",107867,NA,NA,"","","KY0080000","Boone",NA,"South","East South Central","boone","KY",110398,"msa-county 100,000+",NA,NA,NA,NA,107867,"Boone, KY","County","KY","KY"
"Bossier City,LA,City","Bossier City",0,3,6,59,34,196,22,2022,6,"City",NA,"Bossier City,LA","City",68,252,"Bossier City","https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/explorer/crime/crime-trend","Crime Data Explorer","Open Source",62750,NA,NA,"","","LA0080100","Bossier City",NA,"South","West South Central","bossier city","LA",62750,"city 50,000 thru 99,999",NA,NA,NA,NA,62602,"Bossier City, LA","City","LA","LA"
"Boulder,CO,City","Boulder",0,9,9,13,32,218,20,2025,3,"City","Scrape","Boulder,CO","City",31,270,"Boulder","https://coloradocrimestats.state.co.us/public/View/dispview.aspx","State UCR","Open Source",104232,NA,NA,"","","CO0070100","Boulder",NA,"West","Mountain","boulder","CO",105195,"city 100,000 thru 249,999",NA,NA,NA,NA,104232,"Boulder, CO","City","CO","CO"
"Bowie,MD,City","Bowie",0,2,1,2,5,68,16,2023,10,"City",NA,"Bowie,MD","City",5,89,"Bowie","https://www.mwcog.org/public-safety-and-homeland-security/data-and-tools/crime-dashboard/","Agency Aggregated","Open Source",56678,NA,NA,"","","MD0174100","Bowie",NA,"South","South Atlantic","bowie","MD",56929,"city 50,000 thru 99,999",NA,NA,NA,NA,56678,"Bowie, MD","City","MD","MD"
