"city_state_id","city_state","Agency Name","State","date","Agency_Type"
"Burnsville,MN,City","Burnsville,MN","Burnsville","MN","apr_26","City"
"Caldwell,ID,City","Caldwell,ID","Caldwell","ID","apr_26","City"
"Camarillo,CA,City","Camarillo,CA","Camarillo","CA","apr_26","City"
"Cambridge,MA,City","Cambridge,MA","Cambridge","MA","apr_26","City"
"Cameron,TX,County","Cameron,TX","Cameron","TX","apr_26","County"
"Canton Township,MI,City","Canton Township,MI","Canton Township","MI","apr_26","City"
"Canton,OH,City","Canton,OH","Canton","OH","apr_26","City"
"Carlsbad,CA,City","Carlsbad,CA","Carlsbad","CA","apr_26","City"
"Carmel,IN,City","Carmel,IN","Carmel","IN","apr_26","City"
"Carrollton,TX,City","Carrollton,TX","Carrollton","TX","apr_26","City"
"Casa Grande,AZ,City","Casa Grande,AZ","Casa Grande","AZ","apr_26","City"
"Cedar Park,TX,City","Cedar Park,TX","Cedar Park","TX","apr_26","City"
"Cedar Rapids,IA,City","Cedar Rapids,IA","Cedar Rapids","IA","apr_26","City"
"Centennial,CO,City","Centennial,CO","Centennial","CO","apr_26","City"
"Champaign,IL,City","Champaign,IL","Champaign","IL","apr_26","City"
"Chandler,AZ,City","Chandler,AZ","Chandler","AZ","apr_26","City"
"Chapel Hill,NC,City","Chapel Hill,NC","Chapel Hill","NC","apr_26","City"
"Charleston,SC,City","Charleston,SC","Charleston","SC","apr_26","City"
"Charlotte,NC,City","Charlotte,NC","Charlotte","NC","apr_26","City"
"Chattanooga,TN,City","Chattanooga,TN","Chattanooga","TN","apr_26","City"
"Cherry Hill Township,NJ,City","Cherry Hill Township,NJ","Cherry Hill Township","NJ","apr_26","City"
"Chesapeake,VA,City","Chesapeake,VA","Chesapeake","VA","apr_26","City"
"Cheyenne,WY,City","Cheyenne,WY","Cheyenne","WY","apr_26","City"
"Chicago,IL,City","Chicago,IL","Chicago","IL","apr_26","City"
"Chico,CA,City","Chico,CA","Chico","CA","apr_26","City"
"Chicopee,MA,City","Chicopee,MA","Chicopee","MA","apr_26","City"
"Chino,CA,City","Chino,CA","Chino","CA","apr_26","City"
"Chula Vista,CA,City","Chula Vista,CA","Chula Vista","CA","apr_26","City"
"Cicero,IL,City","Cicero,IL","Cicero","IL","apr_26","City"
"Cincinnati,OH,City","Cincinnati,OH","Cincinnati","OH","apr_26","City"
"Citrus Heights,CA,City","Citrus Heights,CA","Citrus Heights","CA","apr_26","City"
"Clarksville,TN,City","Clarksville,TN","Clarksville","TN","apr_26","City"
"Clifton,NJ,City","Clifton,NJ","Clifton","NJ","apr_26","City"
"Clinton Township,MI,City","Clinton Township,MI","Clinton Township","MI","apr_26","City"
"Clovis,CA,City","Clovis,CA","Clovis","CA","apr_26","City"
"Coeur D Alene,ID,City","Coeur D Alene,ID","Coeur D Alene","ID","apr_26","City"
"Colerain Township,OH,City","Colerain Township,OH","Colerain Township","OH","apr_26","City"
"College Station,TX,City","College Station,TX","College Station","TX","apr_26","City"
"Collierville,TN,City","Collierville,TN","Collierville","TN","apr_26","City"
"Collin,TX,County","Collin,TX","Collin","TX","apr_26","County"
"Colorado Springs,CO,City","Colorado Springs,CO","Colorado Springs","CO","apr_26","City"
"Columbia,MO,City","Columbia,MO","Columbia","MO","apr_26","City"
"Columbus,OH,City","Columbus,OH","Columbus","OH","apr_26","City"
"Comal,TX,County","Comal,TX","Comal","TX","apr_26","County"
"Concord,NC,City","Concord,NC","Concord","NC","apr_26","City"
"Conroe,TX,City","Conroe,TX","Conroe","TX","apr_26","City"
"Conway,AR,City","Conway,AR","Conway","AR","apr_26","City"
"Coon Rapids,MN,City","Coon Rapids,MN","Coon Rapids","MN","apr_26","City"
"Corona,CA,City","Corona,CA","Corona","CA","apr_26","City"
"Council Bluffs,IA,City","Council Bluffs,IA","Council Bluffs","IA","apr_26","City"
"Cranston,RI,City","Cranston,RI","Cranston","RI","apr_26","City"
"Dallas,TX,City","Dallas,TX","Dallas","TX","apr_26","City"
"Daly City,CA,City","Daly City,CA","Daly City","CA","apr_26","City"
"Davenport,IA,City","Davenport,IA","Davenport","IA","apr_26","City"
"Davis,CA,City","Davis,CA","Davis","CA","apr_26","City"
"Dayton,OH,City","Dayton,OH","Dayton","OH","apr_26","City"
"Dearborn Heights,MI,City","Dearborn Heights,MI","Dearborn Heights","MI","apr_26","City"
"Dearborn,MI,City","Dearborn,MI","Dearborn","MI","apr_26","City"
"Decatur,IL,City","Decatur,IL","Decatur","IL","apr_26","City"
"Denton,TX,City","Denton,TX","Denton","TX","apr_26","City"
"Denton,TX,County","Denton,TX","Denton","TX","apr_26","County"
"Denver,CO,City","Denver,CO","Denver","CO","apr_26","City"
"Des Moines,IA,City","Des Moines,IA","Des Moines","IA","apr_26","City"
"Desoto,TX,City","Desoto,TX","Desoto","TX","apr_26","City"
"Detroit,MI,City","Detroit,MI","Detroit","MI","apr_26","City"
"Douglas,CO,County","Douglas,CO","Douglas","CO","apr_26","County"
"Douglas,NE,County","Douglas,NE","Douglas","NE","apr_26","County"
"Draper,UT,City","Draper,UT","Draper","UT","apr_26","City"
"Dublin,OH,City","Dublin,OH","Dublin","OH","apr_26","City"
"Dubuque,IA,City","Dubuque,IA","Dubuque","IA","apr_26","City"
"Duluth,MN,City","Duluth,MN","Duluth","MN","apr_26","City"
"Dunwoody,GA,City","Dunwoody,GA","Dunwoody","GA","apr_26","City"
"Durham,NC,City","Durham,NC","Durham","NC","apr_26","City"
"East Hartford,CT,City","East Hartford,CT","East Hartford","CT","apr_26","City"
"Eau Claire,WI,City","Eau Claire,WI","Eau Claire","WI","apr_26","City"
"Eden Prairie,MN,City","Eden Prairie,MN","Eden Prairie","MN","apr_26","City"
"Edina,MN,City","Edina,MN","Edina","MN","apr_26","City"
"Edinburg,TX,City","Edinburg,TX","Edinburg","TX","apr_26","City"
"Edmond,OK,City","Edmond,OK","Edmond","OK","apr_26","City"
"El Cajon,CA,City","El Cajon,CA","El Cajon","CA","apr_26","City"
"El Monte,CA,City","El Monte,CA","El Monte","CA","apr_26","City"
"El Paso,CO,County","El Paso,CO","El Paso","CO","apr_26","County"
"El Paso,TX,City","El Paso,TX","El Paso","TX","apr_26","City"
"El Paso,TX,County","El Paso,TX","El Paso","TX","apr_26","County"
"Elizabeth,NJ,City","Elizabeth,NJ","Elizabeth","NJ","apr_26","City"
"Elk Grove,CA,City","Elk Grove,CA","Elk Grove","CA","apr_26","City"
"Elkhart,IN,City","Elkhart,IN","Elkhart","IN","apr_26","City"
"Elyria,OH,City","Elyria,OH","Elyria","OH","apr_26","City"
"Erie,PA,City","Erie,PA","Erie","PA","apr_26","City"
"Escondido,CA,City","Escondido,CA","Escondido","CA","apr_26","City"
"Euclid,OH,City","Euclid,OH","Euclid","OH","apr_26","City"
"Eugene,OR,City","Eugene,OR","Eugene","OR","apr_26","City"
"Euless,TX,City","Euless,TX","Euless","TX","apr_26","City"
"Evanston,IL,City","Evanston,IL","Evanston","IL","apr_26","City"
"Everett,MA,City","Everett,MA","Everett","MA","apr_26","City"
"Everett,WA,City","Everett,WA","Everett","WA","apr_26","City"
"Fairfax,VA,County","Fairfax,VA","Fairfax","VA","apr_26","County"
"Fairfield,CA,City","Fairfield,CA","Fairfield","CA","apr_26","City"
"Fairfield,CT,City","Fairfield,CT","Fairfield","CT","apr_26","City"
"Fargo,ND,City","Fargo,ND","Fargo","ND","apr_26","City"
"Farmington Hills,MI,City","Farmington Hills,MI","Farmington Hills","MI","apr_26","City"
"Fayetteville,AR,City","Fayetteville,AR","Fayetteville","AR","apr_26","City"
"Fishers,IN,City","Fishers,IN","Fishers","IN","apr_26","City"
"Flower Mound,TX,City","Flower Mound,TX","Flower Mound","TX","apr_26","City"
"Folsom,CA,City","Folsom,CA","Folsom","CA","apr_26","City"
"Forsyth,GA,County","Forsyth,GA","Forsyth","GA","apr_26","County"
"Forsyth,NC,County","Forsyth,NC","Forsyth","NC","apr_26","County"
"Fort Bend,TX,County","Fort Bend,TX","Fort Bend","TX","apr_26","County"
"Fort Collins,CO,City","Fort Collins,CO","Fort Collins","CO","apr_26","City"
"Fort Smith,AR,City","Fort Smith,AR","Fort Smith","AR","apr_26","City"
"Fort Worth,TX,City","Fort Worth,TX","Fort Worth","TX","apr_26","City"
"Fountain Valley,CA,City","Fountain Valley,CA","Fountain Valley","CA","apr_26","City"
"Franklin,TN,City","Franklin,TN","Franklin","TN","apr_26","City"
"Fresno,CA,City","Fresno,CA","Fresno","CA","apr_26","City"
"Frisco,TX,City","Frisco,TX","Frisco","TX","apr_26","City"
"Fullerton,CA,City","Fullerton,CA","Fullerton","CA","apr_26","City"
"Galveston,TX,City","Galveston,TX","Galveston","TX","apr_26","City"
"Gardena,CA,City","Gardena,CA","Gardena","CA","apr_26","City"
"Garland,TX,City","Garland,TX","Garland","TX","apr_26","City"
"Gastonia,NC,City","Gastonia,NC","Gastonia","NC","apr_26","City"
"Georgetown,TX,City","Georgetown,TX","Georgetown","TX","apr_26","City"
"Gilbert,AZ,City","Gilbert,AZ","Gilbert","AZ","apr_26","City"
"Gilroy,CA,City","Gilroy,CA","Gilroy","CA","apr_26","City"
"Glendale,CA,City","Glendale,CA","Glendale","CA","apr_26","City"
"Goodyear,AZ,City","Goodyear,AZ","Goodyear","AZ","apr_26","City"
"Grand Forks,ND,City","Grand Forks,ND","Grand Forks","ND","apr_26","City"
"Grand Island,NE,City","Grand Island,NE","Grand Island","NE","apr_26","City"
"Grand Junction,CO,City","Grand Junction,CO","Grand Junction","CO","apr_26","City"
"Grand Rapids,MI,City","Grand Rapids,MI","Grand Rapids","MI","apr_26","City"
"Grapevine,TX,City","Grapevine,TX","Grapevine","TX","apr_26","City"
"Great Falls,MT,City","Great Falls,MT","Great Falls","MT","apr_26","City"
"Green Bay,WI,City","Green Bay,WI","Green Bay","WI","apr_26","City"
"Green Township,OH,City","Green Township,OH","Green Township","OH","apr_26","City"
"Greenville,NC,City","Greenville,NC","Greenville","NC","apr_26","City"
"Greenville,SC,City","Greenville,SC","Greenville","SC","apr_26","City"
"Greenville,SC,County","Greenville,SC","Greenville","SC","apr_26","County"
"Greenwood,IN,City","Greenwood,IN","Greenwood","IN","apr_26","City"
"Gresham,OR,City","Gresham,OR","Gresham","OR","apr_26","City"
"Hall,GA,County","Hall,GA","Hall","GA","apr_26","County"
"Hamilton,OH,City","Hamilton,OH","Hamilton","OH","apr_26","City"
"Hamilton,TN,County","Hamilton,TN","Hamilton","TN","apr_26","County"
"Hampton,VA,City","Hampton,VA","Hampton","VA","apr_26","City"
"Hanover,VA,County","Hanover,VA","Hanover","VA","apr_26","County"
"Harlingen,TX,City","Harlingen,TX","Harlingen","TX","apr_26","City"
"Harrisburg,PA,City","Harrisburg,PA","Harrisburg","PA","apr_26","City"
"Harrisonburg,VA,City","Harrisonburg,VA","Harrisonburg","VA","apr_26","City"
"Haverford,PA,City","Haverford,PA","Haverford","PA","apr_26","City"
"Haverhill,MA,City","Haverhill,MA","Haverhill","MA","apr_26","City"
"Hays,TX,County","Hays,TX","Hays","TX","apr_26","County"
"Hayward,CA,City","Hayward,CA","Hayward","CA","apr_26","City"
"Henderson,NV,City","Henderson,NV","Henderson","NV","apr_26","City"
"Hendersonville,TN,City","Hendersonville,TN","Hendersonville","TN","apr_26","City"
"Henrico,VA,County","Henrico,VA","Henrico","VA","apr_26","County"
"Hidalgo,TX,County","Hidalgo,TX","Hidalgo","TX","apr_26","County"
"High Point,NC,City","High Point,NC","High Point","NC","apr_26","City"
"Hillsboro,OR,City","Hillsboro,OR","Hillsboro","OR","apr_26","City"
"Hoboken,NJ,City","Hoboken,NJ","Hoboken","NJ","apr_26","City"
"Honolulu,HI,City","Honolulu,HI","Honolulu","HI","apr_26","City"
"Horry,SC,County","Horry,SC","Horry","SC","apr_26","County"
"Houston,TX,City","Houston,TX","Houston","TX","apr_26","City"
"Howard,MD,County","Howard,MD","Howard","MD","apr_26","County"
"Huntersville,NC,City","Huntersville,NC","Huntersville","NC","apr_26","City"
"Idaho Falls,ID,City","Idaho Falls,ID","Idaho Falls","ID","apr_26","City"
"Independence,MO,City","Independence,MO","Independence","MO","apr_26","City"
"Indianapolis,IN,City","Indianapolis,IN","Indianapolis","IN","apr_26","City"
"Iowa City,IA,City","Iowa City,IA","Iowa City","IA","apr_26","City"
"Iredell,NC,County","Iredell,NC","Iredell","NC","apr_26","County"
"Irvine,CA,City","Irvine,CA","Irvine","CA","apr_26","City"
"Irving,TX,City","Irving,TX","Irving","TX","apr_26","City"
"Jackson,TN,City","Jackson,TN","Jackson","TN","apr_26","City"
"Jacksonville,FL,City","Jacksonville,FL","Jacksonville","FL","apr_26","City"
"Janesville,WI,City","Janesville,WI","Janesville","WI","apr_26","City"
"Jefferson,CO,County","Jefferson,CO","Jefferson","CO","apr_26","County"
"Jefferson,LA,County","Jefferson,LA","Jefferson","LA","apr_26","County"
"Jefferson,MO,County","Jefferson,MO","Jefferson","MO","apr_26","County"
"Jersey City,NJ,City","Jersey City,NJ","Jersey City","NJ","apr_26","City"
"Johns Creek,GA,City","Johns Creek,GA","Johns Creek","GA","apr_26","City"
"Johnson City,TN,City","Johnson City,TN","Johnson City","TN","apr_26","City"
"Johnston,NC,County","Johnston,NC","Johnston","NC","apr_26","County"
"Joplin,MO,City","Joplin,MO","Joplin","MO","apr_26","City"
"Kalamazoo,MI,City","Kalamazoo,MI","Kalamazoo","MI","apr_26","City"
"Kalamazoo,MI,County","Kalamazoo,MI","Kalamazoo","MI","apr_26","County"
"Kannapolis,NC,City","Kannapolis,NC","Kannapolis","NC","apr_26","City"
"Kansas City,MO,City","Kansas City,MO","Kansas City","MO","apr_26","City"
"Kaufman,TX,County","Kaufman,TX","Kaufman","TX","apr_26","County"
"Kenosha,WI,City","Kenosha,WI","Kenosha","WI","apr_26","City"
"Kent,MI,County","Kent,MI","Kent","MI","apr_26","County"
"Kingsport,TN,City","Kingsport,TN","Kingsport","TN","apr_26","City"
"Knox,TN,County","Knox,TN","Knox","TN","apr_26","County"
"Knoxville,TN,City","Knoxville,TN","Knoxville","TN","apr_26","City"
"Kyle,TX,City","Kyle,TX","Kyle","TX","apr_26","City"
"La Crosse,WI,City","La Crosse,WI","La Crosse","WI","apr_26","City"
"La Mesa,CA,City","La Mesa,CA","La Mesa","CA","apr_26","City"
"Lafayette,LA,City","Lafayette,LA","Lafayette","LA","apr_26","City"
"Laguna Niguel,CA,City","Laguna Niguel,CA","Laguna Niguel","CA","apr_26","City"
"Lake Charles,LA,City","Lake Charles,LA","Lake Charles","LA","apr_26","City"
"Lakeville,MN,City","Lakeville,MN","Lakeville","MN","apr_26","City"
"Lancaster,PA,City","Lancaster,PA","Lancaster","PA","apr_26","City"
"Lancaster,SC,County","Lancaster,SC","Lancaster","SC","apr_26","County"
"Lansing,MI,City","Lansing,MI","Lansing","MI","apr_26","City"
"Laredo,TX,City","Laredo,TX","Laredo","TX","apr_26","City"
"Las Vegas,NV,City","Las Vegas,NV","Las Vegas","NV","apr_26","City"
"Layton,UT,City","Layton,UT","Layton","UT","apr_26","City"
"League City,TX,City","League City,TX","League City","TX","apr_26","City"
"Leander,TX,City","Leander,TX","Leander","TX","apr_26","City"
"Lenexa,KS,City","Lenexa,KS","Lenexa","KS","apr_26","City"
"Lewisville,TX,City","Lewisville,TX","Lewisville","TX","apr_26","City"
"Lexington,KY,City","Lexington,KY","Lexington","KY","apr_26","City"
"Lexington,SC,County","Lexington,SC","Lexington","SC","apr_26","County"
"Lincoln,CA,City","Lincoln,CA","Lincoln","CA","apr_26","City"
"Lincoln,NE,City","Lincoln,NE","Lincoln","NE","apr_26","City"
"Little Elm,TX,City","Little Elm,TX","Little Elm","TX","apr_26","City"
"Little Rock,AR,City","Little Rock,AR","Little Rock","AR","apr_26","City"
"Livingston,LA,County","Livingston,LA","Livingston","LA","apr_26","County"
"Livonia,MI,City","Livonia,MI","Livonia","MI","apr_26","City"
"Logan,UT,City","Logan,UT","Logan","UT","apr_26","City"
"Long Beach,CA,City","Long Beach,CA","Long Beach","CA","apr_26","City"
"Longview,TX,City","Longview,TX","Longview","TX","apr_26","City"
"Lorain,OH,City","Lorain,OH","Lorain","OH","apr_26","City"
"Los Angeles,CA,City","Los Angeles,CA","Los Angeles","CA","apr_26","City"
"Los Angeles,CA,County","Los Angeles,CA","Los Angeles","CA","apr_26","County"
"Loudoun,VA,County","Loudoun,VA","Loudoun","VA","apr_26","County"
"Louisville,KY,City","Louisville,KY","Louisville","KY","apr_26","City"
"Lower Merion,PA,City","Lower Merion,PA","Lower Merion","PA","apr_26","City"
"Lower Paxton,PA,City","Lower Paxton,PA","Lower Paxton","PA","apr_26","City"
"Lynchburg,VA,City","Lynchburg,VA","Lynchburg","VA","apr_26","City"
"Lynn,MA,City","Lynn,MA","Lynn","MA","apr_26","City"
"Macomb,MI,County","Macomb,MI","Macomb","MI","apr_26","County"
"Madera,CA,City","Madera,CA","Madera","CA","apr_26","City"
"Madison,WI,City","Madison,WI","Madison","WI","apr_26","City"
"Manchester,CT,City","Manchester,CT","Manchester","CT","apr_26","City"
"Manchester,NH,City","Manchester,NH","Manchester","NH","apr_26","City"
"Mansfield,TX,City","Mansfield,TX","Mansfield","TX","apr_26","City"
"Manteca,CA,City","Manteca,CA","Manteca","CA","apr_26","City"
"Maple Grove,MN,City","Maple Grove,MN","Maple Grove","MN","apr_26","City"
"Maricopa,AZ,City","Maricopa,AZ","Maricopa","AZ","apr_26","City"
"McAllen,TX,City","McAllen,TX","McAllen","TX","apr_26","City"
"Mckinney,TX,City","Mckinney,TX","Mckinney","TX","apr_26","City"
"Medford,OR,City","Medford,OR","Medford","OR","apr_26","City"
"Memphis,TN,City","Memphis,TN","Memphis","TN","apr_26","City"
"Merced,CA,City","Merced,CA","Merced","CA","apr_26","City"
"Meridian,ID,City","Meridian,ID","Meridian","ID","apr_26","City"
"Mesa,AZ,City","Mesa,AZ","Mesa","AZ","apr_26","City"
"Mesquite,TX,City","Mesquite,TX","Mesquite","TX","apr_26","City"
"Methuen,MA,City","Methuen,MA","Methuen","MA","apr_26","City"
"Miami Beach,FL,City","Miami Beach,FL","Miami Beach","FL","apr_26","City"
"Miami,FL,City","Miami,FL","Miami","FL","apr_26","City"
"Midland,TX,City","Midland,TX","Midland","TX","apr_26","City"
"Midwest City,OK,City","Midwest City,OK","Midwest City","OK","apr_26","City"
"Millcreek,PA,City","Millcreek,PA","Millcreek","PA","apr_26","City"
