"","Agency.Name","Murder","Rape","Robbery","Agg.Assault","Burglary","Larceny","MVT","Arson","Month","Year"
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Illinois\Formatted Data.1000","PALATINE","NR","NR","NR","NR","NR","NR","NR","NR","4",NA
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Illinois\Formatted Data.1001","PALATINE","NR","NR","NR","NR","NR","NR","NR","NR","5",NA
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Illinois\Formatted Data.1002","PALATINE","NR","NR","NR","NR","NR","NR","NR","NR","6",NA
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Illinois\Formatted Data.1003","PALATINE","NR","NR","NR","NR","NR","NR","NR","NR","7",NA
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Illinois\Formatted Data.1004","PALATINE","NR","NR","NR","NR","NR","NR","NR","NR","8",NA
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Illinois\Formatted Data.1005","PALATINE","NR","NR","NR","NR","NR","NR","NR","NR","9",NA
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Illinois\Formatted Data.1006","PALATINE","NR","NR","NR","NR","NR","NR","NR","NR","10",NA
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Illinois\Formatted Data.1007","PALATINE","NR","NR","NR","NR","NR","NR","NR","NR","11",NA
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Illinois\Formatted Data.1008","PALATINE","NR","NR","NR","NR","NR","NR","NR","NR","12",NA
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Illinois\Formatted Data.1009","PEORIA","2","6","14","56","63","168","60","3","1",2022
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Illinois\Formatted Data.1010","PEORIA","2","4","6","41","57","163","47","6","2",2022
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Illinois\Formatted Data.1011","PEORIA","2","8","8","73","55","192","34","4","3",2022
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Illinois\Formatted Data.1012","PEORIA","1","4","8","97","58","158","28","4","4",2022
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Illinois\Formatted Data.1013","PEORIA","2","8","8","83","56","184","1","3","5",2022
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Illinois\Formatted Data.1014","PEORIA","1","4","17","76","60","213","66","2","6",2022
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Illinois\Formatted Data.1015","PEORIA","4","11","15","93","61","213","84","10","7",2022
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Illinois\Formatted Data.1016","PEORIA","2","14","14","77","60","228","58","4","8",2022
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Illinois\Formatted Data.1017","PEORIA","4","18","6","74","63","196","69","4","9",2022
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Illinois\Formatted Data.1018","PEORIA","2","6","5","72","58","202","50","14","10",2022
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Illinois\Formatted Data.1019","PEORIA","2","8","11","62","58","188","34","3","11",2022
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Illinois\Formatted Data.1020","PEORIA","0","9","10","52","50","196","89","5","12",2022
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Illinois\Formatted Data.1021","PEORIA","0","8","16","61","57","167","99","4","1",2023
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Illinois\Formatted Data.1022","PEORIA","2","3","5","54","44","152","100","7","2",2023
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Illinois\Formatted Data.1023","PEORIA","2","5","10","64","47","206","61","8","3",2023
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Illinois\Formatted Data.1024","PEORIA","0","8","11","72","60","169","43","1","4",2023
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Illinois\Formatted Data.1025","PEORIA","2","8","7","107","63","225","101","4","5",2023
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Illinois\Formatted Data.1026","PEORIA","0","10","7","79","50","248","126","8","6",2023
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Illinois\Formatted Data.1027","PEORIA","1","9","14","102","58","267","98","11","7",2023
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Illinois\Formatted Data.1028","PEORIA","6","9","9","84","52","271","66","3","8",2023
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Illinois\Formatted Data.1029","PEORIA","3","9","11","65","114","188","109","3","9",2023
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Illinois\Formatted Data.1030","PEORIA","2","15","11","65","120","186","159","8","10",2023
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Illinois\Formatted Data.1031","PEORIA","2","8","7","72","99","182","76","7","11",2023
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Illinois\Formatted Data.1032","PEORIA","0","7","14","67","91","170","84","5","12",2023
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Illinois\Formatted Data.1033","PEORIA","1","8","10","55","87","146","64","2","1",2024
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Illinois\Formatted Data.1034","PEORIA","0","11","6","62","97","211","71","4","2",2024
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Illinois\Formatted Data.1035","PEORIA","NR","NR","NR","NR","NR","NR","NR","NR","3",2024
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Illinois\Formatted Data.1036","PEORIA","NR","NR","NR","NR","NR","NR","NR","NR","4",2024
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Illinois\Formatted Data.1037","PEORIA","NR","NR","NR","NR","NR","NR","NR","NR","5",2024
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Illinois\Formatted Data.1038","PEORIA","NR","NR","NR","NR","NR","NR","NR","NR","6",2024
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Illinois\Formatted Data.1039","PEORIA","NR","NR","NR","NR","NR","NR","NR","NR","7",2024
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Illinois\Formatted Data.1040","PEORIA","NR","NR","NR","NR","NR","NR","NR","NR","8",2024
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Illinois\Formatted Data.1041","PEORIA","NR","NR","NR","NR","NR","NR","NR","NR","9",2024
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Illinois\Formatted Data.1042","PEORIA","NR","NR","NR","NR","NR","NR","NR","NR","10",2024
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Illinois\Formatted Data.1043","PEORIA","NR","NR","NR","NR","NR","NR","NR","NR","11",2024
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Illinois\Formatted Data.1044","PEORIA","NR","NR","NR","NR","NR","NR","NR","NR","12",2024
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Illinois\Formatted Data.1045","PEORIA","NR","NR","NR","NR","NR","NR","NR","NR","1",NA
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Illinois\Formatted Data.1046","PEORIA","NR","NR","NR","NR","NR","NR","NR","NR","2",NA
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Illinois\Formatted Data.1047","PEORIA","NR","NR","NR","NR","NR","NR","NR","NR","3",NA
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Illinois\Formatted Data.1048","PEORIA","NR","NR","NR","NR","NR","NR","NR","NR","4",NA
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Illinois\Formatted Data.1049","PEORIA","NR","NR","NR","NR","NR","NR","NR","NR","5",NA
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Illinois\Formatted Data.1050","PEORIA","NR","NR","NR","NR","NR","NR","NR","NR","6",NA
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Illinois\Formatted Data.1051","PEORIA","NR","NR","NR","NR","NR","NR","NR","NR","7",NA
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Illinois\Formatted Data.1052","PEORIA","NR","NR","NR","NR","NR","NR","NR","NR","8",NA
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Illinois\Formatted Data.1053","PEORIA","NR","NR","NR","NR","NR","NR","NR","NR","9",NA
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Illinois\Formatted Data.1054","PEORIA","NR","NR","NR","NR","NR","NR","NR","NR","10",NA
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Illinois\Formatted Data.1055","PEORIA","NR","NR","NR","NR","NR","NR","NR","NR","11",NA
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Illinois\Formatted Data.1056","PEORIA","NR","NR","NR","NR","NR","NR","NR","NR","12",NA
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Illinois\Formatted Data.1057","ROCKFORD","1","8","19","97","60","192","94","1","1",2022
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Illinois\Formatted Data.1058","ROCKFORD","0","12","16","80","38","215","89","1","2",2022
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Illinois\Formatted Data.1059","ROCKFORD","1","9","14","86","53","251","69","3","3",2022
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Illinois\Formatted Data.1060","ROCKFORD","5","12","18","90","49","227","46","0","4",2022
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Illinois\Formatted Data.1061","ROCKFORD","2","12","26","133","63","245","57","5","5",2022
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Illinois\Formatted Data.1062","ROCKFORD","0","15","19","125","52","233","48","4","6",2022
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Illinois\Formatted Data.1063","ROCKFORD","2","5","18","118","45","273","68","10","7",2022
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Illinois\Formatted Data.1064","ROCKFORD","1","12","12","109","49","228","75","10","8",2022
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Illinois\Formatted Data.1065","ROCKFORD","2","5","21","101","43","189","61","5","9",2022
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Illinois\Formatted Data.1066","ROCKFORD","2","7","14","126","68","204","74","5","10",2022
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Illinois\Formatted Data.1067","ROCKFORD","0","8","12","89","70","194","46","5","11",2022
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Illinois\Formatted Data.1068","ROCKFORD","0","11","14","85","62","212","56","5","12",2022
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Illinois\Formatted Data.1069","ROCKFORD","2","3","19","96","66","221","51","4","1",2023
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Illinois\Formatted Data.1070","ROCKFORD","2","5","15","78","44","203","76","1","2",2023
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Illinois\Formatted Data.1071","ROCKFORD","0","7","12","70","48","180","48","6","3",2023
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Illinois\Formatted Data.1072","ROCKFORD","2","8","14","105","43","204","43","8","4",2023
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Illinois\Formatted Data.1073","ROCKFORD","1","9","13","96","44","246","79","5","5",2023
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Illinois\Formatted Data.1074","ROCKFORD","2","8","16","78","68","258","93","6","6",2023
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Illinois\Formatted Data.1075","ROCKFORD","3","8","15","96","57","233","93","1","7",2023
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Illinois\Formatted Data.1076","ROCKFORD","0","6","18","92","79","219","74","4","8",2023
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Illinois\Formatted Data.1077","ROCKFORD","1","3","16","85","64","205","49","4","9",2023
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Illinois\Formatted Data.1078","ROCKFORD","1","5","17","105","96","235","60","6","10",2023
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Illinois\Formatted Data.1079","ROCKFORD","1","4","9","77","84","204","78","3","11",2023
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Illinois\Formatted Data.1080","ROCKFORD","0","8","17","93","74","200","47","4","12",2023
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Illinois\Formatted Data.1081","ROCKFORD","0","3","13","73","70","142","27","0","1",2024
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Illinois\Formatted Data.1082","ROCKFORD","0","3","14","80","61","156","51","1","2",2024
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Illinois\Formatted Data.1083","ROCKFORD","0","4","6","56","65","138","40","0","3",2024
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Illinois\Formatted Data.1084","ROCKFORD","NR","NR","NR","NR","NR","NR","NR","NR","4",2024
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Illinois\Formatted Data.1085","ROCKFORD","NR","NR","NR","NR","NR","NR","NR","NR","5",2024
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Illinois\Formatted Data.1086","ROCKFORD","NR","NR","NR","NR","NR","NR","NR","NR","6",2024
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Illinois\Formatted Data.1087","ROCKFORD","NR","NR","NR","NR","NR","NR","NR","NR","7",2024
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Illinois\Formatted Data.1088","ROCKFORD","NR","NR","NR","NR","NR","NR","NR","NR","8",2024
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Illinois\Formatted Data.1089","ROCKFORD","NR","NR","NR","NR","NR","NR","NR","NR","9",2024
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Illinois\Formatted Data.1090","ROCKFORD","NR","NR","NR","NR","NR","NR","NR","NR","10",2024
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Illinois\Formatted Data.1091","ROCKFORD","NR","NR","NR","NR","NR","NR","NR","NR","11",2024
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Illinois\Formatted Data.1092","ROCKFORD","NR","NR","NR","NR","NR","NR","NR","NR","12",2024
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Illinois\Formatted Data.1093","ROCKFORD","NR","NR","NR","NR","NR","NR","NR","NR","1",NA
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Illinois\Formatted Data.1094","ROCKFORD","NR","NR","NR","NR","NR","NR","NR","NR","2",NA
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Illinois\Formatted Data.1095","ROCKFORD","NR","NR","NR","NR","NR","NR","NR","NR","3",NA
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Illinois\Formatted Data.1096","ROCKFORD","NR","NR","NR","NR","NR","NR","NR","NR","4",NA
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Illinois\Formatted Data.1097","ROCKFORD","NR","NR","NR","NR","NR","NR","NR","NR","5",NA
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Illinois\Formatted Data.1098","ROCKFORD","NR","NR","NR","NR","NR","NR","NR","NR","6",NA
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Illinois\Formatted Data.1099","ROCKFORD","NR","NR","NR","NR","NR","NR","NR","NR","7",NA
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Illinois\Formatted Data.1100","ROCKFORD","NR","NR","NR","NR","NR","NR","NR","NR","8",NA
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Illinois\Formatted Data.1101","ROCKFORD","NR","NR","NR","NR","NR","NR","NR","NR","9",NA
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Illinois\Formatted Data.1102","ROCKFORD","NR","NR","NR","NR","NR","NR","NR","NR","10",NA
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Illinois\Formatted Data.1103","ROCKFORD","NR","NR","NR","NR","NR","NR","NR","NR","11",NA
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Illinois\Formatted Data.1104","ROCKFORD","NR","NR","NR","NR","NR","NR","NR","NR","12",NA
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Illinois\Formatted Data.1105","SCHAUMBURG","0","1","2","5","2","110","9","1","1",2022
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Illinois\Formatted Data.1106","SCHAUMBURG","0","2","1","0","5","81","4","0","2",2022
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Illinois\Formatted Data.1107","SCHAUMBURG","0","1","2","3","4","152","5","0","3",2022
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Illinois\Formatted Data.1108","SCHAUMBURG","0","1","2","1","8","112","7","0","4",2022
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Illinois\Formatted Data.1109","SCHAUMBURG","0","0","1","5","7","151","6","0","5",2022
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Illinois\Formatted Data.1110","SCHAUMBURG","0","3","1","3","7","141","6","0","6",2022
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Illinois\Formatted Data.1111","SCHAUMBURG","0","2","0","2","7","140","7","1","7",2022
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Illinois\Formatted Data.1112","SCHAUMBURG","0","1","1","2","7","103","6","0","8",2022
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Illinois\Formatted Data.1113","SCHAUMBURG","0","2","1","0","5","112","13","0","9",2022
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Illinois\Formatted Data.1114","SCHAUMBURG","0","3","1","1","6","104","9","0","10",2022
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Illinois\Formatted Data.1115","SCHAUMBURG","0","2","4","2","5","122","11","1","11",2022
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Illinois\Formatted Data.1116","SCHAUMBURG","0","4","2","1","15","122","9","0","12",2022
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Illinois\Formatted Data.1117","SCHAUMBURG","0","0","1","1","8","103","7","0","1",2023
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Illinois\Formatted Data.1118","SCHAUMBURG","0","2","3","1","13","92","4","0","2",2023
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Illinois\Formatted Data.1119","SCHAUMBURG","1","1","2","2","15","102","10","0","3",2023
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Illinois\Formatted Data.1120","SCHAUMBURG","0","1","1","6","5","126","6","0","4",2023
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Illinois\Formatted Data.1121","SCHAUMBURG","0","2","0","3","7","131","7","0","5",2023
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Illinois\Formatted Data.1122","SCHAUMBURG","0","2","0","1","5","111","8","2","6",2023
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Illinois\Formatted Data.1123","SCHAUMBURG","1","0","0","2","4","92","12","0","7",2023
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Illinois\Formatted Data.1124","SCHAUMBURG","0","3","0","2","9","104","14","0","8",2023
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Illinois\Formatted Data.1125","SCHAUMBURG","0","3","2","0","6","92","10","0","9",2023
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Illinois\Formatted Data.1126","SCHAUMBURG","0","0","3","3","17","125","8","0","10",2023
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Illinois\Formatted Data.1127","SCHAUMBURG","0","2","2","3","9","130","4","1","11",2023
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Illinois\Formatted Data.1128","SCHAUMBURG","0","1","3","4","11","123","9","0","12",2023
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Illinois\Formatted Data.1129","SCHAUMBURG","0","0","1","1","12","120","3","0","1",2024
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Illinois\Formatted Data.1130","SCHAUMBURG","0","2","2","3","6","105","6","0","2",2024
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Illinois\Formatted Data.1131","SCHAUMBURG","0","2","1","0","2","87","7","0","3",2024
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Illinois\Formatted Data.1132","SCHAUMBURG","NR","NR","NR","NR","NR","NR","NR","NR","4",2024
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Illinois\Formatted Data.1133","SCHAUMBURG","NR","NR","NR","NR","NR","NR","NR","NR","5",2024
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Illinois\Formatted Data.1134","SCHAUMBURG","NR","NR","NR","NR","NR","NR","NR","NR","6",2024
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Illinois\Formatted Data.1135","SCHAUMBURG","NR","NR","NR","NR","NR","NR","NR","NR","7",2024
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Illinois\Formatted Data.1136","SCHAUMBURG","NR","NR","NR","NR","NR","NR","NR","NR","8",2024
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Illinois\Formatted Data.1137","SCHAUMBURG","NR","NR","NR","NR","NR","NR","NR","NR","9",2024
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Illinois\Formatted Data.1138","SCHAUMBURG","NR","NR","NR","NR","NR","NR","NR","NR","10",2024
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Illinois\Formatted Data.1139","SCHAUMBURG","NR","NR","NR","NR","NR","NR","NR","NR","11",2024
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Illinois\Formatted Data.1140","SCHAUMBURG","NR","NR","NR","NR","NR","NR","NR","NR","12",2024
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Illinois\Formatted Data.1141","SCHAUMBURG","NR","NR","NR","NR","NR","NR","NR","NR","1",NA
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Illinois\Formatted Data.1142","SCHAUMBURG","NR","NR","NR","NR","NR","NR","NR","NR","2",NA
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Illinois\Formatted Data.1143","SCHAUMBURG","NR","NR","NR","NR","NR","NR","NR","NR","3",NA
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Illinois\Formatted Data.1144","SCHAUMBURG","NR","NR","NR","NR","NR","NR","NR","NR","4",NA
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Illinois\Formatted Data.1145","SCHAUMBURG","NR","NR","NR","NR","NR","NR","NR","NR","5",NA
"C:\OneDrive\OneDrive - ahdatalytics.com\Clients\Real Time Crime Index\Open Source Data\Illinois\Formatted Data.1146","SCHAUMBURG","NR","NR","NR","NR","NR","NR","NR","NR","6",NA
