"ORI.Number","ORI.9.Digit","State","Agency.Name","Population","Year","Month","Murder","Rape","Robbery","Agg.Assault","Burglary","Larceny","MVT","Arson","City_viz","State_viz","City","samp","state_name","ucr_agency_name","state_ucr_link","Date"
NA,NA,"arizona","Queen Creek Police Department",NA,2022,2,0,3,0,6,5,50,1,0,"Queen creek","Arizona","queen creek",1,"Arizona","QUEEN CREEK","https://azcrimestatistics.azdps.gov/public/View/dispview.aspx",2022-02-01
NA,NA,"arizona","Peoria PD",NA,2022,2,0,3,5,21,36,196,22,0,"Peoria","Arizona","peoria",1,"Arizona","PEORIA","https://azcrimestatistics.azdps.gov/public/View/dispview.aspx",2022-02-01
NA,NA,"arizona","Scottsdale PD",NA,2022,2,1,6,4,24,58,411,40,0,"Scottsdale","Arizona","scottsdale",1,"Arizona","SCOTTSDALE","https://azcrimestatistics.azdps.gov/public/View/dispview.aspx",2022-02-01
NA,NA,"arizona","Surprise PD",NA,2022,2,0,1,4,20,22,147,18,1,"Surprise","Arizona","surprise",1,"Arizona","SURPRISE","https://azcrimestatistics.azdps.gov/public/View/dispview.aspx",2022-02-01
NA,NA,"arizona","Tempe PD",NA,2022,2,0,11,13,66,57,490,53,10,"Tempe","Arizona","tempe",1,"Arizona","TEMPE","https://azcrimestatistics.azdps.gov/public/View/dispview.aspx",2022-02-01
NA,NA,"arizona","Lake Havasu City PD",NA,2022,2,0,3,0,6,6,50,4,0,"Lake havasu city","Arizona","lake havasu city",1,"Arizona","LAKE HAVASU CITY","https://azcrimestatistics.azdps.gov/public/View/dispview.aspx",2022-02-01
NA,NA,"arizona","Marana PD",NA,2022,2,1,1,1,4,7,89,2,0,"Marana","Arizona","marana",1,"Arizona","MARANA","https://azcrimestatistics.azdps.gov/public/View/dispview.aspx",2022-02-01
NA,NA,"arizona","Casa Grande PD",NA,2022,2,0,4,4,15,11,138,16,3,"Casa grande","Arizona","casa grande",1,"Arizona","CASA GRANDE","https://azcrimestatistics.azdps.gov/public/View/dispview.aspx",2022-02-01
NA,NA,"arizona","Maricopa PD",NA,2022,2,0,0,0,5,5,43,7,1,"Maricopa","Arizona","maricopa",1,"Arizona","MARICOPA","https://azcrimestatistics.azdps.gov/public/View/dispview.aspx",2022-02-01
NA,NA,"arizona","Yuma PD",NA,2022,2,0,2,2,55,31,99,15,0,"Yuma","Arizona","yuma",1,"Arizona","YUMA","https://azcrimestatistics.azdps.gov/public/View/dispview.aspx",2022-02-01
NA,NA,"arizona","Flagstaff PD",NA,2022,3,1,5,4,33,13,113,7,2,"Flagstaff","Arizona","flagstaff",1,"Arizona","FLAGSTAFF","https://azcrimestatistics.azdps.gov/public/View/dispview.aspx",2022-03-01
NA,NA,"arizona","Avondale PD",NA,2022,3,0,5,7,28,27,268,25,2,"Avondale","Arizona","avondale",1,"Arizona","AVONDALE","https://azcrimestatistics.azdps.gov/public/View/dispview.aspx",2022-03-01
