"city_state_id","city_state","Agency Name","State","date","Agency_Type"
"Cary,NC,City","Cary,NC","Cary","NC","jul_25","City"
"Casa Grande,AZ,City","Casa Grande,AZ","Casa Grande","AZ","jul_25","City"
"Castle Rock,CO,City","Castle Rock,CO","Castle Rock","CO","jul_25","City"
"Cedar Park,TX,City","Cedar Park,TX","Cedar Park","TX","jul_25","City"
"Cedar Rapids,IA,City","Cedar Rapids,IA","Cedar Rapids","IA","jul_25","City"
"Centennial,CO,City","Centennial,CO","Centennial","CO","jul_25","City"
"Champaign,IL,City","Champaign,IL","Champaign","IL","jul_25","City"
"Chapel Hill,NC,City","Chapel Hill,NC","Chapel Hill","NC","jul_25","City"
"Charleston,SC,City","Charleston,SC","Charleston","SC","jul_25","City"
"Charlotte,NC,City","Charlotte,NC","Charlotte","NC","jul_25","City"
"Chattanooga,TN,City","Chattanooga,TN","Chattanooga","TN","jul_25","City"
"Cherry Hill Township,NJ,City","Cherry Hill Township,NJ","Cherry Hill Township","NJ","jul_25","City"
"Chesapeake,VA,City","Chesapeake,VA","Chesapeake","VA","jul_25","City"
"Chesterfield,VA,County","Chesterfield,VA","Chesterfield","VA","jul_25","County"
"Cheyenne,WY,City","Cheyenne,WY","Cheyenne","WY","jul_25","City"
"Chicago,IL,City","Chicago,IL","Chicago","IL","jul_25","City"
"Chico,CA,City","Chico,CA","Chico","CA","jul_25","City"
"Chicopee,MA,City","Chicopee,MA","Chicopee","MA","jul_25","City"
"Chino,CA,City","Chino,CA","Chino","CA","jul_25","City"
"Chula Vista,CA,City","Chula Vista,CA","Chula Vista","CA","jul_25","City"
"Cincinnati,OH,City","Cincinnati,OH","Cincinnati","OH","jul_25","City"
"Citrus Heights,CA,City","Citrus Heights,CA","Citrus Heights","CA","jul_25","City"
"Cleveland,OH,City","Cleveland,OH","Cleveland","OH","jul_25","City"
"Clifton,NJ,City","Clifton,NJ","Clifton","NJ","jul_25","City"
"Clovis,CA,City","Clovis,CA","Clovis","CA","jul_25","City"
"Coeur D Alene,ID,City","Coeur D Alene,ID","Coeur D Alene","ID","jul_25","City"
"Colerain Township,OH,City","Colerain Township,OH","Colerain Township","OH","jul_25","City"
"College Station,TX,City","College Station,TX","College Station","TX","jul_25","City"
"Collierville,TN,City","Collierville,TN","Collierville","TN","jul_25","City"
"Colorado Springs,CO,City","Colorado Springs,CO","Colorado Springs","CO","jul_25","City"
"Columbia,MO,City","Columbia,MO","Columbia","MO","jul_25","City"
"Columbus,OH,City","Columbus,OH","Columbus","OH","jul_25","City"
"Commerce City,CO,City","Commerce City,CO","Commerce City","CO","jul_25","City"
"Concord,NC,City","Concord,NC","Concord","NC","jul_25","City"
"Conroe,TX,City","Conroe,TX","Conroe","TX","jul_25","City"
"Conway,AR,City","Conway,AR","Conway","AR","jul_25","City"
"Coon Rapids,MN,City","Coon Rapids,MN","Coon Rapids","MN","jul_25","City"
"Corona,CA,City","Corona,CA","Corona","CA","jul_25","City"
"Corpus Christi,TX,City","Corpus Christi,TX","Corpus Christi","TX","jul_25","City"
"Council Bluffs,IA,City","Council Bluffs,IA","Council Bluffs","IA","jul_25","City"
"Cranston,RI,City","Cranston,RI","Cranston","RI","jul_25","City"
"Dallas,TX,City","Dallas,TX","Dallas","TX","jul_25","City"
"Daly City,CA,City","Daly City,CA","Daly City","CA","jul_25","City"
"Danbury,CT,City","Danbury,CT","Danbury","CT","jul_25","City"
"Davenport,IA,City","Davenport,IA","Davenport","IA","jul_25","City"
"Davis,CA,City","Davis,CA","Davis","CA","jul_25","City"
