"","pds","Total","Note"
"48","NC, Full Sample",4,"Burglary_pri8 | Theft_pri8 | Burglary_pri1 | Theft_pri1"
"49","North Las Vegas",4,"Robbery_pri8 | Agg.Assault_pri8 | Agg.Assault_pri1 | MVT_pri1"
"50","OH, Full Sample",4,"Burglary_pri8 | Theft_pri8 | Theft_pri1 | MVT_pri1"
"51","Omaha",4,"Rape_pri8 | Robbery_pri8 | Burglary_pri8 | MVT_pri1"
"52","Seattle",4,"Burglary_pri8 | Theft_pri8 | Theft_pri1 | MVT_pri1"
"53","St Peters",4,"Agg.Assault_pri8 | Theft_pri8 | Agg.Assault_pri1 | Theft_pri1"
"54","Stockton",4,"Agg.Assault_pri8 | Theft_pri8 | Theft_pri1 | MVT_pri1"
"55","Tempe",4,"Burglary_pri8 | Theft_pri8 | Burglary_pri1 | Theft_pri1"
"56","Toledo",4,"Burglary_pri8 | Theft_pri8 | Theft_pri1 | MVT_pri1"
"57","VA, Full Sample",4,"Robbery_pri8 | Burglary_pri8 | Theft_pri8 | Theft_pri1"
"58","WA, Full Sample",4,"Burglary_pri8 | Theft_pri8 | Theft_pri1 | MVT_pri1"
"59","Washington",4,"Theft_pri8 | Robbery_pri1 | Theft_pri1 | MVT_pri1"
"60","Allentown",3,"Burglary_pri8 | Theft_pri8 | Theft_pri1"
"61","Austin",3,"Burglary_pri8 | Theft_pri8 | MVT_pri1"
"62","Boise",3,"Burglary_pri8 | Theft_pri8 | Theft_pri1"
"63","Boston",3,"Burglary_pri8 | MVT_pri8 | MVT_pri1"
"64","Brooklyn Park",3,"Theft_pri8 | Theft_pri1 | MVT_pri1"
"65","Chicago",3,"Burglary_pri8 | Robbery_pri1 | MVT_pri1"
"66","Corpus Christi",3,"Burglary_pri8 | Theft_pri8 | Theft_pri1"
"67","Denton",3,"Burglary_pri8 | MVT_pri8 | MVT_pri1"
"68","Edinburg",3,"Burglary_pri8 | Theft_pri8 | Theft_pri1"
"69","Gilbert",3,"Burglary_pri8 | Theft_pri8 | Theft_pri1"
"70","Grand Island",3,"Theft_pri8 | MVT_pri8 | MVT_pri1"
"71","Greensboro",3,"Burglary_pri8 | Theft_pri8 | Theft_pri1"
"72","Hamilton",3,"Burglary_pri8 | Theft_pri8 | MVT_pri8"
"73","ID, Full Sample",3,"Burglary_pri8 | Theft_pri8 | Theft_pri1"
"74","Independence",3,"Agg.Assault_pri8 | Burglary_pri8 | Theft_pri8"
"75","Killeen",3,"Theft_pri8 | Theft_pri1 | MVT_pri1"
"76","Lexington",3,"Burglary_pri8 | Theft_pri8 | Theft_pri1"
"77","Lincoln",3,"Burglary_pri8 | Theft_pri8 | Theft_pri1"
"78","Mesquite",3,"Theft_pri8 | Theft_pri1 | MVT_pri1"
"79","MI, Full Sample",3,"Robbery_pri8 | Burglary_pri8 | Theft_pri1"
"80","MS, Full Sample",3,"Theft_pri8 | Theft_pri1 | MVT_pri1"
"81","New York City",3,"Burglary_pri8 | Burglary_pri1 | Theft_pri1"
"82","NY, Full Sample",3,"Burglary_pri8 | Burglary_pri1 | MVT_pri1"
"83","Roanoke",3,"Burglary_pri8 | Theft_pri8 | Burglary_pri1"
