"date","agency_name","state_name","agency_full","agency_abbr","location_full","region","population","source_link","agency_num","source_type","source_method","most_recent_month","in_national_sample","Last Updated"
2025-06-01,"Antioch","California","Antioch, California","Antioch, CA","Antioch, California","West",115271,"https://www.antiochca.gov/police/crime-statistics/",1,"Agency Aggregated","Open Source","June 2025",TRUE,"2025-08-27 14:02:08 EDT"
2024-05-01,"Apex","North Carolina","Apex, North Carolina","Apex, NC","Apex, North Carolina","South",74105,"From NC",1,"State UCR","Provided by State UCR Program","May 2024",FALSE,"2025-08-27 14:02:08 EDT"
2025-06-01,"Apple Valley","Minnesota","Apple Valley, Minnesota","Apple Valley, MN","Apple Valley, Minnesota","Midwest",54995,"https://cde.state.mn.us/",1,"State UCR","Open Source","June 2025",TRUE,"2025-08-27 14:02:08 EDT"
2025-05-01,"Appleton","Wisconsin","Appleton, Wisconsin","Appleton, WI","Appleton, Wisconsin","Midwest",73921,"From WI",1,"State UCR","Provided by State UCR Program","May 2025",FALSE,"2025-08-27 14:02:08 EDT"
2025-05-01,"Arapahoe County","Colorado","Arapahoe County, Colorado","Arapahoe County, CO","Arapahoe County, Colorado","West",104204,"https://coloradocrimestats.state.co.us/public/View/dispview.aspx",1,"State UCR","Open Source","May 2025",FALSE,"2025-08-27 14:02:08 EDT"
2025-06-01,"Arcadia","California","Arcadia, California","Arcadia, CA","Arcadia, California","West",54071,"https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/explorer/crime/crime-trend",1,"Crime Data Explorer","Open Source","June 2025",TRUE,"2025-08-27 14:02:08 EDT"
2025-06-01,"Arlington Heights","Illinois","Arlington Heights, Illinois","Arlington Heights, IL","Arlington Heights, Illinois","Midwest",74094,"https://ilucr.nibrs.com/AdvancedSearch/AdvancedSearch",1,"State UCR","Open Source","June 2025",TRUE,"2025-08-27 14:02:08 EDT"
2025-06-01,"Arlington","Texas","Arlington, Texas","Arlington, TX","Arlington, Texas","South",394799,"https://txucr.nibrs.com/SRSReport/CrimeTrends",1,"State UCR","Open Source","June 2025",TRUE,"2025-08-27 14:02:08 EDT"
2025-06-01,"Arlington County","Virginia","Arlington County, Virginia","Arlington County, VA","Arlington County, Virginia","South",231844,"From VA",1,"State UCR","Provided by State UCR Program","June 2025",TRUE,"2025-08-27 14:02:08 EDT"
2025-06-01,"Arvada","Colorado","Arvada, Colorado","Arvada, CO","Arvada, Colorado","West",120200,"https://coloradocrimestats.state.co.us/public/View/dispview.aspx",1,"State UCR","Open Source","June 2025",TRUE,"2025-08-27 14:02:08 EDT"
2025-06-01,"Asheville","North Carolina","Asheville, North Carolina","Asheville, NC","Asheville, North Carolina","South",93471,"From NC",1,"State UCR","Provided by State UCR Program","June 2025",TRUE,"2025-08-27 14:02:08 EDT"
2025-06-01,"Atlanta","Georgia","Atlanta, Georgia","Atlanta, GA","Atlanta, Georgia","South",500212,"https://experience.arcgis.com/experience/d5dd2be2977d40acb340ef42f80671b8/",1,"Agency RMS","Open Source","June 2025",TRUE,"2025-08-27 14:02:08 EDT"
2025-06-01,"Aurora","Colorado","Aurora, Colorado","Aurora, CO","Aurora, Colorado","West",396976,"https://coloradocrimestats.state.co.us/public/View/dispview.aspx",1,"State UCR","Open Source","June 2025",TRUE,"2025-08-27 14:02:08 EDT"
2025-06-01,"Austin","Texas","Austin, Texas","Austin, TX","Austin, Texas","South",978816,"https://txucr.nibrs.com/SRSReport/CrimeTrends, rape data for 2023 on from https://app.powerbigov.us/view?r=eyJrIjoiYmYyNTQ4NjgtNjhlMC00YjNiLWE0MDAtZTUwNWU5ZGIwNTk4IiwidCI6IjVjNWUxOWY2LWE2YWItNGI0NS1iMWQwLWJlNDYwOGE5YTY3ZiJ9",1,"State UCR","Open Source","June 2025",TRUE,"2025-08-27 14:02:08 EDT"
2025-06-01,"Avondale","Arizona","Avondale, Arizona","Avondale, AZ","Avondale, Arizona","West",92661,"https://azcrimestatistics.azdps.gov/",1,"State UCR","Open Source","June 2025",TRUE,"2025-08-27 14:02:08 EDT"
2025-06-01,"Bakersfield","California","Bakersfield, California","Bakersfield, CA","Bakersfield, California","West",413409,"https://www.bakersfieldcity.us/",1,"Agency Aggregated","Provided by Agency","June 2025",TRUE,"2025-08-27 14:02:08 EDT"
2025-06-01,"Baldwin Park","California","Baldwin Park, California","Baldwin Park, CA","Baldwin Park, California","West",68230,"https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/explorer/crime/crime-trend",1,"Crime Data Explorer","Open Source","June 2025",TRUE,"2025-08-27 14:02:08 EDT"
2025-06-01,"Baltimore","Maryland","Baltimore, Maryland","Baltimore, MD","Baltimore, Maryland","South",565192,"https://data.baltimorecity.gov/datasets/part-1-crime-data/explore",1,"Agency RMS","Open Source","June 2025",TRUE,"2025-08-27 14:02:08 EDT"
2025-06-01,"Baltimore County","Maryland","Baltimore County, Maryland","Baltimore County, MD","Baltimore County, Maryland","South",845222,"https://opendata.baltimorecountymd.gov/pages/dash",1,"Agency Aggregated","Open Source","June 2025",TRUE,"2025-08-27 14:02:08 EDT"
2025-05-01,"Barnstable","Massachusetts","Barnstable, Massachusetts","Barnstable, MA","Barnstable, Massachusetts","Northeast",50034,"https://www.mass.gov/crime-statistics",1,"State UCR","Provided by State UCR Program","May 2025",FALSE,"2025-08-27 14:02:08 EDT"
2025-06-01,"Bartlett","Tennessee","Bartlett, Tennessee","Bartlett, TN","Bartlett, Tennessee","South",56324,"https://crimeinsight.tbi.tn.gov/public/View/dispview.aspx",1,"State UCR","Open Source","June 2025",TRUE,"2025-08-27 14:02:08 EDT"
2025-04-01,"Baton Rouge","Louisiana","Baton Rouge, Louisiana","Baton Rouge, LA","Baton Rouge, Louisiana","South",219086,"https://data.brla.gov/Public-Safety/Baton-Rouge-Police-Crime-Incidents/pbin-pcm7/explore/query/SELECT%0A%20%20%60incident_number%60%2C%0A%20%20%60charge_id%60%2C%0A%20%20%60charge_date%60%2C%0A%20%20%60report_date%60%2C%0A%20%20%60approved_date%60%2C%0A%20%20%60attempted_committed%60%2C%0A%20%20%60street%60%2C%0A%20%20%60street_2%60%2C%0A%20%20%60city%60%2C%0A%20%20%60state%60%2C%0A%20%20%60postal_code%60%2C%0A%20%20%60district%60%2C%0A%20%20%60zone%60%2C%0A%20%20%60sub_zone%60%2C%0A%20%20%60statute_title%60%2C%0A%20%20%60statute_description%60%2C%0A%20%20%60statute_category%60%2C%0A%20%20%60crime_against%60%2C%0A%20%20%60nibrs_code%60%2C%0A%20%20%60offense_description%60%2C%0A%20%20%60census_block_group%60%2C%0A%20%20%60council_district%60%2C%0A%20%20%60crime_prevention_district%60%2C%0A%20%20%60neighborhood%60%2C%0A%20%20%60longitude%60%2C%0A%20%20%60latitude%60%2C%0A%20%20%60geolocation%60%2C%0A%20%20%60%3A%40computed_region_jrqt_zu77%60%2C%0A%20%20%60%3A%40computed_region_ntzg_c2w3%60%2C%0A%20%20%60%3A%40computed_region_uvg4_nwq8%60%0AWHERE%0A%20%20caseless_one_of%28%0A%20%20%20%20%60nibrs_code%60%2C%0A%20%20%20%20%2209A%22%2C%0A%20%20%20%20%2211A%22%2C%0A%20%20%20%20%2213A%22%2C%0A%20%20%20%20%22120%22%2C%0A%20%20%20%20%22220%22%2C%0A%20%20%20%20%22240%22%2C%0A%20%20%20%20%2223A%22%2C%0A%20%20%20%20%2223B%22%2C%0A%20%20%20%20%2223C%22%2C%0A%20%20%20%20%2223D%22%2C%0A%20%20%20%20%2223E%22%2C%0A%20%20%20%20%2223F%22%2C%0A%20%20%20%20%2223G%22%2C%0A%20%20%20%20%2223H%22%0A%20%20%29%0A%20%20AND%20%28%60report_date%60%20%3E%20%222024-01-01T00%3A00%3A00%22%20%3A%3A%20floating_timestamp%29%0AORDER%20BY%20%60report_date%60%20DESC%20NULL%20FIRST/page/filter",1,"Agency RMS","Open Source","April 2025",FALSE,"2025-08-27 14:02:08 EDT"
2025-06-01,"Battle Creek","Michigan","Battle Creek, Michigan","Battle Creek, MI","Battle Creek, Michigan","Midwest",60969,"https://www.michigan.gov/msp/divisions/cjic/dashboard-portal/crime-dashboard",1,"State UCR","Open Source","June 2025",TRUE,"2025-08-27 14:02:08 EDT"
2025-06-01,"Baytown","Texas","Baytown, Texas","Baytown, TX","Baytown, Texas","South",83809,"https://txucr.nibrs.com/SRSReport/CrimeTrends",1,"State UCR","Open Source","June 2025",TRUE,"2025-08-27 14:02:08 EDT"
2025-06-01,"Beaufort County","South Carolina","Beaufort County, South Carolina","Beaufort County, SC","Beaufort County, South Carolina","South",132948,"https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/explorer/crime/crime-trend",1,"Crime Data Explorer","Open Source","June 2025",TRUE,"2025-08-27 14:02:08 EDT"
2025-06-01,"Beaumont","California","Beaumont, California","Beaumont, CA","Beaumont, California","West",57819,"https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/explorer/crime/crime-trend",1,"Crime Data Explorer","Open Source","June 2025",TRUE,"2025-08-27 14:02:08 EDT"
2025-06-01,"Beaumont","Texas","Beaumont, Texas","Beaumont, TX","Beaumont, Texas","South",110671,"https://txucr.nibrs.com/SRSReport/CrimeTrends",1,"State UCR","Open Source","June 2025",TRUE,"2025-08-27 14:02:08 EDT"
2025-06-01,"Beaverton","Oregon","Beaverton, Oregon","Beaverton, OR","Beaverton, Oregon","West",96840,"https://www.oregon.gov/osp/pages/uniform-crime-reporting-data.aspx",1,"State UCR","Open Source","June 2025",TRUE,"2025-08-27 14:02:08 EDT"
2025-06-01,"Bellevue","Nebraska","Bellevue, Nebraska","Bellevue, NE","Bellevue, Nebraska","Midwest",62372,"https://crimestats.ne.gov/public/View/RSReport.aspx?ReportId=1082",1,"State UCR","Open Source","June 2025",TRUE,"2025-08-27 14:02:08 EDT"
2025-06-01,"Bellingham","Washington","Bellingham, Washington","Bellingham, WA","Bellingham, Washington","West",94968,"https://cob.org/gov/dept/police/news-police/crime-stats",1,"Agency Aggregated","Open Source","June 2025",TRUE,"2025-08-27 14:02:08 EDT"
2025-02-01,"Bend","Oregon","Bend, Oregon","Bend, OR","Bend, Oregon","West",105099,"https://www.oregon.gov/osp/pages/uniform-crime-reporting-data.aspx",1,"State UCR","Open Source","February 2025",FALSE,"2025-08-27 14:02:08 EDT"
2025-02-01,"Bensalem","Pennsylvania","Bensalem, Pennsylvania","Bensalem, PA","Bensalem, Pennsylvania","Northeast",62595,"https://www.ucr.pa.gov/PAUCRSPUBLIC/SRSReport/CrimeTrends",1,"State UCR","Open Source","February 2025",FALSE,"2025-08-27 14:02:08 EDT"
