"agency_name","state_name","is_county","address","lat","long","population","source_type","source_method","state_ucr_link","national_sample"
"Arvada","Colorado",FALSE,"Arvada, Colorado",39.8005505,-105.0811573,118508,"State UCR","Open Source","https://coloradocrimestats.state.co.us/public/View/dispview.aspx",TRUE
"Asheville","North Carolina",FALSE,"Asheville, North Carolina",35.595363,-82.5508407,95155,"State UCR","Provided by State UCR Program","From NC",TRUE
"Atlanta","Georgia",FALSE,"Atlanta, Georgia",33.7544657,-84.3898151,483291,"Agency RMS","Open Source","https://experience.arcgis.com/experience/d5dd2be2977d40acb340ef42f80671b8/",TRUE
"Aurora","Colorado",FALSE,"Aurora, Colorado",39.7401441,-104.8733376,342167,"State UCR","Open Source","https://coloradocrimestats.state.co.us/public/View/dispview.aspx",TRUE
"Austin","Texas",FALSE,"Austin, Texas",30.2711286,-97.7436995,926822,"State UCR","Open Source","https://data.austintexas.gov/Public-Safety/Crime-Reports/fdj4-gpfu/explore/query/SELECT%0A%20%20%60incident_report_number%60%2C%0A%20%20%60crime_type%60%2C%0A%20%20%60ucr_code%60%2C%0A%20%20%60family_violence%60%2C%0A%20%20%60occ_date_time%60%2C%0A%20%20%60occ_date%60%2C%0A%20%20%60occ_time%60%2C%0A%20%20%60rep_date_time%60%2C%0A%20%20%60rep_date%60%2C%0A%20%20%60rep_time%60%2C%0A%20%20%60location_type%60%2C%0A%20%20%60council_district%60%2C%0A%20%20%60sector%60%2C%0A%20%20%60district%60%2C%0A%20%20%60clearance_status%60%2C%0A%20%20%60clearance_date%60%2C%0A%20%20%60ucr_category%60%2C%0A%20%20%60category_description%60%2C%0A%20%20%60census_block_group%60%0AWHERE%20caseless_ne%28%60ucr_category%60%2C%20%22%22%29/page/filter",TRUE
"Avondale","Arizona",FALSE,"Avondale, Arizona",33.4355977,-112.349602,98457,"State UCR","Open Source","https://azcrimestatistics.azdps.gov/",TRUE
"Bakersfield","California",FALSE,"Bakersfield, California",35.3738712,-119.019463,420589,"Agency Aggregated","Provided by Agency","https://www.bakersfieldcity.us/",TRUE
"Baldwin Park","California",FALSE,"Baldwin Park, California",34.0854739,-117.9611761,68586,"Crime Data Explorer","Open Source","https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/explorer/crime/crime-trend",TRUE
"Baltimore","Maryland",FALSE,"Baltimore, Maryland",39.2908816,-76.610759,562811,"Agency RMS","Open Source","https://data.baltimorecity.gov/datasets/part-1-crime-data/explore",TRUE
"Baltimore County","Maryland",TRUE,"Baltimore County, Maryland",39.4445243,-76.6483482,849486,"Agency Aggregated","Open Source","https://opendata.baltimorecountymd.gov/pages/dash",TRUE
"Barnstable","Massachusetts",FALSE,"Barnstable, Massachusetts",41.7016936,-70.3036163,49944,"State UCR","Provided by State UCR Program","https://www.mass.gov/crime-statistics",FALSE
"Bartlett","Tennessee",FALSE,"Bartlett, Tennessee",35.2045329,-89.8739753,56471,"Crime Data Explorer","Open Source","https://crimeinsight.tbi.tn.gov/public/View/dispview.aspx",TRUE
