"agency_name","state_name","is_county","address","lat","long"
"Centennial","Colorado",FALSE,"Centennial, Colorado",39.579155,-104.8769227
"Champaign","Illinois",FALSE,"Champaign, Illinois",40.1164841,-88.2430932
"Chandler","Arizona",FALSE,"Chandler, Arizona",33.3062031,-111.841185
"Charlotte","North Carolina",FALSE,"Charlotte, North Carolina",35.2272086,-80.8430827
"Chattanooga","Tennessee",FALSE,"Chattanooga, Tennessee",35.0457219,-85.3094883
"Chesapeake","Virginia",FALSE,"Chesapeake, Virginia",36.7168315,-76.2494453
"Chesterfield County","Virginia",TRUE,"Chesterfield County, Virginia",37.3859982,-77.578509
"Cheyenne","Wyoming",FALSE,"Cheyenne, Wyoming",41.139981,-104.820246
"Chicago","Illinois",FALSE,"Chicago, Illinois",41.8755616,-87.6244212
"Chicopee","Massachusetts",FALSE,"Chicopee, Massachusetts",42.1487691,-72.6071119
"Chula Vista","California",FALSE,"Chula Vista, California",32.6400541,-117.084195
"Cicero","Illinois",FALSE,"Cicero, Illinois",41.8455398,-87.7540199
"Cincinnati","Ohio",FALSE,"Cincinnati, Ohio",39.1014537,-84.5124602
"Clackamas County","Oregon",TRUE,"Clackamas County, Oregon",45.1608821,-122.2305038
"Cleveland","Ohio",FALSE,"Cleveland, Ohio",41.4996574,-81.6936772
"Clinton Township","Michigan",FALSE,"Clinton Township, Michigan",42.05548745,-83.9478910567844
"Coeur D Alene","Idaho",FALSE,"Coeur D Alene, Idaho",47.6742994,-116.7811531
"Colerain Township","Ohio",FALSE,"Colerain Township, Ohio",39.2584995,-84.6329261679476
"College Station","Texas",FALSE,"College Station, Texas",30.6183939,-96.3455991
"Colorado Springs","Colorado",FALSE,"Colorado Springs, Colorado",38.8339578,-104.825348
"Columbia","Missouri",FALSE,"Columbia, Missouri",38.951883,-92.3337366
"Columbus","Ohio",FALSE,"Columbus, Ohio",39.9622601,-83.0007065
"Commerce City","Colorado",FALSE,"Commerce City, Colorado",39.8083196,-104.9338675
"Concord","California",FALSE,"Concord, California",37.9768525,-122.0335624
"Conroe","Texas",FALSE,"Conroe, Texas",30.3118769,-95.4560512
"Coon Rapids","Minnesota",FALSE,"Coon Rapids, Minnesota",45.1728923,-93.3023898
"Corpus Christi","Texas",FALSE,"Corpus Christi, Texas",27.7635302,-97.4033191
"Corvallis","Oregon",FALSE,"Corvallis, Oregon",44.5645659,-123.2620435
"Cranston","Rhode Island",FALSE,"Cranston, Rhode Island",41.779588,-71.4366813
"Cuyahoga Falls","Ohio",FALSE,"Cuyahoga Falls, Ohio",41.1362729,-81.4828123
"Dallas","Texas",FALSE,"Dallas, Texas",32.7762719,-96.7968559
"Danbury","Connecticut",FALSE,"Danbury, Connecticut",41.394817,-73.4540111
"Dayton","Ohio",FALSE,"Dayton, Ohio",39.7589478,-84.1916069
"Dearborn Heights","Michigan",FALSE,"Dearborn Heights, Michigan",42.3369816,-83.2732627
"Dearborn","Michigan",FALSE,"Dearborn, Michigan",42.3222599,-83.1763145
"Decatur","Illinois",FALSE,"Decatur, Illinois",39.8454163,-88.9524151
"Delaware County","Ohio",TRUE,"Delaware County, Ohio",40.2317686,-82.9651045
"Denton","Texas",FALSE,"Denton, Texas",33.1838787,-97.1413417
"Denton County","Texas",TRUE,"Denton County, Texas",33.1838787,-97.1413417
"Denver","Colorado",FALSE,"Denver, Colorado",39.7392364,-104.984862
"Des Plaines","Illinois",FALSE,"Des Plaines, Illinois",42.0415823,-87.8873916
"Desoto","Texas",FALSE,"Desoto, Texas",32.5897831,-96.8570183
"Detroit","Michigan",FALSE,"Detroit, Michigan",42.3315509,-83.0466403
"Douglas County","Colorado",TRUE,"Douglas County, Colorado",39.3420437,-104.9468945
